type,individual,biomass_shoot,note_leaf_sla
leaf_sla,1,0.0838,
leaf_sla,2,0.042,
leaf_sla,3,0.0344,
leaf_sla,4,0.0845,
leaf_sla,5,0.0835,
leaf_sla,6,0.0655,
leaf_sla,7,0.0624,
leaf_sla,8,0.0557,
leaf_sla,9,0.075,
leaf_sla,10,0.0284,
leaf_sla,11,0.0247,
leaf_sla,12,0.14,
leaf_sla,13,0.0753,
leaf_sla,14,0.0544,
leaf_sla,15,0.0913,
leaf_sla,16,0.0995,
leaf_sla,17,0.0638,
leaf_sla,18,0.0212,
leaf_sla,19,0.1095,
leaf_sla,20,0.0682,
leaf_sla,21,0.1152,
leaf_sla,22,0.0619,
leaf_sla,23,0.108,
leaf_sla,24,0.0697,
leaf_sla,25,0.1414,
leaf_sla,26,0.0336,
leaf_sla,27,0.0523,
leaf_sla,28,0.0613,
leaf_sla,29,0.0297,
leaf_sla,30,0.0567,
leaf_sla,31,0.1,
leaf_sla,32,0.0572,
leaf_sla,33,0.0242,
leaf_sla,34,0.0159,
leaf_sla,35,0.0271,
leaf_sla,36,0.0517,
leaf_sla,37,0.0621,
leaf_sla,38,0.0386,
leaf_sla,39,0.0122,
leaf_sla,40,0.0249,
leaf_sla,41,0.0548,
leaf_sla,42,0.0134,
leaf_sla,43,0.0622,
leaf_sla,44,0.0334,
leaf_sla,45,0.0604,
leaf_sla,46,0.036,
leaf_sla,47,0.0415,
leaf_sla,48,0.04,
leaf_sla,49,0.0216,
leaf_sla,50,0.019,
leaf_sla,51,0.0297,
leaf_sla,52,0.0343,
leaf_sla,53,0.1121,
leaf_sla,54,0.0366,
leaf_sla,55,0,no sample
leaf_sla,56,0.018,
leaf_sla,57,0.0543,licor
leaf_sla,58,0.0141,
leaf_sla,59,0.0591,
leaf_sla,60,0.0221,
leaf_sla,61,0.066,
leaf_sla,62,0.0184,
leaf_sla,63,0.0107,
leaf_sla,64,0.029,
leaf_sla,65,0.0878,
leaf_sla,66,0.0251,
leaf_sla,67,0.0522,
leaf_sla,68,0.0793,
leaf_sla,69,0.1164,
leaf_sla,70,0.0309,
leaf_sla,71,0.0656,
leaf_sla,72,0.0626,
leaf_sla,73,0.1406,
leaf_sla,74,0.0253,
leaf_sla,75,0.0371,
leaf_sla,76,0.0577,
leaf_sla,77,0.0801,
leaf_sla,78,0.0416,
leaf_sla,79,0.0698,
leaf_sla,80,0.0749,
leaf_sla,81,0.0684,
leaf_sla,82,0.0222,
leaf_sla,83,0.0449,
leaf_sla,84,0.1152,
leaf_sla,85,0.0799,
leaf_sla,86,0.0597,
leaf_sla,87,0.0463,
leaf_sla,88,0.0899,
leaf_sla,89,0.1306,
leaf_sla,90,0.028,
leaf_sla,91,0.0378,
leaf_sla,92,0.0674,
leaf_sla,93,0.1148,
leaf_sla,94,0.0435,
leaf_sla,95,0.059,
leaf_sla,96,0.0685,
leaf_sla,97,0.0225,
leaf_sla,98,0.0261,
leaf_sla,99,0.0489,
leaf_sla,100,0.029,
leaf_sla,101,0.1038,
leaf_sla,102,0.0357,
leaf_sla,103,0.0168,
leaf_sla,104,0.0343,
leaf_sla,105,0.0222,
leaf_sla,106,0.0205,
leaf_sla,107,0.0645,
leaf_sla,108,0.0791,
leaf_sla,109,0.0897,
leaf_sla,110,0.0386,
leaf_sla,111,0.0616,
leaf_sla,112,0.0344,
leaf_sla,113,0.0764,
leaf_sla,114,0.0229,
leaf_sla,115,0.0685,
leaf_sla,116,0.0328,
leaf_sla,117,0.0542,
leaf_sla,118,0.0432,
leaf_sla,119,0.0437,
leaf_sla,120,0.0166,
leaf_sla,121,0.0348,
leaf_sla,122,0.0236,
leaf_sla,123,0.0659,
leaf_sla,124,0.052,
leaf_sla,125,0.0667,
leaf_sla,126,0.043,
leaf_sla,127,0.0256,
leaf_sla,128,0.0404,
leaf_sla,129,0.1018,
leaf_sla,130,0.025,
leaf_sla,131,0.0355,
leaf_sla,132,0.0481,
leaf_sla,133,0.0966,
leaf_sla,134,0.0462,
leaf_sla,135,0.0873,
leaf_sla,136,0.0778,
leaf_sla,137,0.1203,
leaf_sla,138,0.0348,
leaf_sla,139,0.1023,
leaf_sla,140,0.0629,
leaf_sla,141,0.0878,
leaf_sla,142,0.066,
leaf_sla,143,0.0909,
leaf_sla,144,0.0486,
leaf_sla,145,0.0775,
leaf_sla,146,0.0245,
leaf_sla,147,0.0528,
leaf_sla,148,0.0769,
leaf_sla,149,0.0908,
leaf_sla,150,0.0567,
leaf_sla,151,0.1015,
leaf_sla,152,0,no sample
leaf_sla,153,0.1621,
leaf_sla,154,0.0273,
leaf_sla,155,0.0442,
leaf_sla,156,0.0674,
leaf_sla,157,0.1101,
leaf_sla,158,0.0509,
leaf_sla,159,0.0625,
leaf_sla,160,0.0749,
leaf_sla,161,0.0349,
leaf_sla,162,0.0213,
leaf_sla,163,0.0412,
leaf_sla,164,0.0275,
leaf_sla,165,0.0839,
leaf_sla,166,0.0257,
leaf_sla,167,0.0236,
leaf_sla,168,0.021,
leaf_sla,169,0.0965,
leaf_sla,170,0.017,
leaf_sla,171,0.0645,
leaf_sla,172,0.0252,
leaf_sla,173,0.0625,
leaf_sla,174,0.0311,
leaf_sla,175,0.0125,
leaf_sla,176,0.0261,
leaf_sla,177,0.035,
leaf_sla,178,0.0193,
leaf_sla,179,0.0643,
leaf_sla,180,0.0439,
leaf_sla,181,0.0653,
leaf_sla,182,0.0369,
leaf_sla,183,0.0401,
leaf_sla,184,0.0324,
leaf_sla,185,0.0192,
leaf_sla,186,0.0137,
leaf_sla,187,0.0498,
leaf_sla,188,0.0418,
leaf_sla,189,0.0818,
leaf_sla,190,0.0309,
leaf_sla,191,0.0263,
leaf_sla,192,0.0272,
leaf_sla,193,0.1065,
leaf_sla,194,0.0374,
leaf_sla,195,0.0373,
leaf_sla,196,0.0542,
leaf_sla,197,0.0722,
leaf_sla,198,0.0385,
leaf_sla,199,0.03,
leaf_sla,200,0.0909,
leaf_sla,201,0.0578,
leaf_sla,202,0.0395,
leaf_sla,203,0.086,
leaf_sla,204,0.039,
leaf_sla,205,0.1,
leaf_sla,206,0.0457,
leaf_sla,207,0.1,
leaf_sla,208,0.0356,
leaf_sla,209,0.117,
leaf_sla,210,0.0302,
leaf_sla,211,0.0789,
leaf_sla,212,0.0501,
leaf_sla,213,0.0793,
leaf_sla,214,0.0531,
leaf_sla,215,0.0687,
leaf_sla,216,0.0704,
leaf_sla,217,0.0844,
leaf_sla,218,0.0443,
leaf_sla,219,0.0538,
leaf_sla,220,0.0978,
leaf_sla,221,0.0727,
leaf_sla,222,0.0482,
leaf_sla,223,0.074,
leaf_sla,224,0.0653,
leaf_sla,225,0.0531,
leaf_sla,226,0.0194,
leaf_sla,227,0.0581,
leaf_sla,228,0.021,
leaf_sla,229,0.0409,
leaf_sla,230,0.0378,
leaf_sla,231,0.0355,
leaf_sla,232,0.0246,
leaf_sla,233,0.0645,
leaf_sla,234,0.0168,
leaf_sla,235,0.0575,
leaf_sla,236,0.0405,
leaf_sla,237,0.0246,
leaf_sla,238,0.03,
leaf_sla,239,0.0257,
leaf_sla,240,0.0242,
leaf_sla,241,0.0128,
leaf_sla,242,0.0047,
leaf_sla,243,0.064,
leaf_sla,244,0.0159,
leaf_sla,245,0.0688,
leaf_sla,246,0.0353,
leaf_sla,247,0.0462,
leaf_sla,248,0.0258,
leaf_sla,249,0.0243,
leaf_sla,250,0.0189,
leaf_sla,251,0.0511,
leaf_sla,252,0.0172,
leaf_sla,253,0.0682,
leaf_sla,254,0.0207,
leaf_sla,255,0.0531,
leaf_sla,256,0.0572,
leaf_sla,257,0.0821,
leaf_sla,258,0.0458,
leaf_sla,259,0.0833,
leaf_sla,260,0.0856,
leaf_sla,261,0.0479,
leaf_sla,262,0.0396,
leaf_sla,263,0.0776,
leaf_sla,264,0.0879,
leaf_sla,265,0.0669,
leaf_sla,266,0.0405,
leaf_sla,267,0.1103,
leaf_sla,268,0.0464,
leaf_sla,269,0.13,
leaf_sla,270,0.0358,
leaf_sla,271,0.1,
leaf_sla,272,0.1,
leaf_sla,273,0.0227,
leaf_sla,274,0.0375,
leaf_sla,275,0.0429,
leaf_sla,276,0.0699,
leaf_sla,277,0.13,
leaf_sla,278,0.0564,
leaf_sla,279,0.1077,
leaf_sla,280,0.0444,
leaf_sla,281,0.0974,
leaf_sla,282,0.0324,
leaf_sla,283,0.0787,
leaf_sla,284,0.0753,
leaf_sla,285,0.0745,
leaf_sla,286,0.0299,
leaf_sla,287,0.09,
leaf_sla,288,0.0741,
leaf_sla,289,0.0423,
leaf_sla,290,0.0082,
leaf_sla,291,0.0257,
leaf_sla,292,0.0155,
leaf_sla,293,0.0348,
leaf_sla,294,0.0215,
leaf_sla,295,0.0201,
leaf_sla,296,0.0314,
leaf_sla,297,0,no sample
leaf_sla,298,0.0237,
leaf_sla,299,0.0534,
leaf_sla,300,0.0106,
leaf_sla,301,0.0276,
leaf_sla,302,0.0264,
leaf_sla,303,0.0048,
leaf_sla,304,0.0288,
leaf_sla,305,0.0212,
leaf_sla,306,0.007,
leaf_sla,307,0.0445,
leaf_sla,308,0.018,
leaf_sla,309,0.052,
leaf_sla,310,0.0183,
leaf_sla,311,0.0063,
leaf_sla,312,0.0217,
leaf_sla,313,0.0093,"ripped, printted label"
leaf_sla,314,0.0095,
leaf_sla,315,0.0345,
leaf_sla,316,0.0157,
leaf_sla,317,0.0365,
leaf_sla,318,0.0135,
leaf_sla,319,0.0122,
leaf_sla,320,0.018,
leaf_sla,321,0.1194,
leaf_sla,322,0.0235,
leaf_sla,323,0.0176,
leaf_sla,324,0.0945,
leaf_sla,325,0.0744,
leaf_sla,326,0.0632,
leaf_sla,327,0.0862,"printed label says ""337"", hand written label says 327. "
leaf_sla,328,0.1146,
leaf_sla,329,0.1816,
leaf_sla,330,0.0275,
leaf_sla,331,0.102,
leaf_sla,332,0.0932,
leaf_sla,333,0.0622,
leaf_sla,334,0.049,
leaf_sla,335,0.0822,
leaf_sla,336,0.0811,
leaf_sla,337,0.16,
leaf_sla,338,0.0563,
leaf_sla,339,0.0722,
leaf_sla,340,0.0811,
leaf_sla,341,0.0613,
leaf_sla,342,0.0607,
leaf_sla,343,0.128,
leaf_sla,344,0.0664,
leaf_sla,345,0.0993,
leaf_sla,346,0.0211,
leaf_sla,347,0.0356,
leaf_sla,348,0.1039,
leaf_sla,349,0.1005,
leaf_sla,350,0.0544,
leaf_sla,351,0.149,
leaf_sla,352,0.0541,
leaf_sla,353,0.0407,
leaf_sla,354,0.0102,
leaf_sla,355,0.073,
leaf_sla,356,0.0308,
leaf_sla,357,0.0372,
leaf_sla,358,0.0288,
leaf_sla,359,0.0326,
leaf_sla,360,0.0317,
leaf_sla,361,0.0311,
leaf_sla,362,0.0117,
leaf_sla,363,0.0334,
leaf_sla,364,0.0299,
leaf_sla,365,0.066,
leaf_sla,366,0.0313,
leaf_sla,367,0.0236,
leaf_sla,368,0.0166,
leaf_sla,369,0.0295,
leaf_sla,370,0.0116,
leaf_sla,371,0.0444,
leaf_sla,372,0.0209,
leaf_sla,373,0.0642,
leaf_sla,374,0.0255,
leaf_sla,375,0,no sample
leaf_sla,376,0.0298,
leaf_sla,377,0.0206,
leaf_sla,378,0.0186,
leaf_sla,379,0.0461,
leaf_sla,380,0.0183,
leaf_sla,381,0.0426,
leaf_sla,382,0.0331,
leaf_sla,383,0.0267,
leaf_sla,384,0.0369,
leaf_sla,12.5,0.085,lower
leaf_sla,267.5,0.0882,handwritten label
leaf_sla,313.5,0.0146,
leaf_sla,382.5,0.0305,licor
leaf_sla,57.5,0.0726,"non licor, not ripped"
