#,Date-Time (CDT/CST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,08/06/2025 14:00:00,38.44,8632.32,,
2,08/06/2025 14:05:00,38.61,8990.72,,
3,08/06/2025 14:10:00,39.21,9077.76,,
4,08/06/2025 14:15:00,39.42,8783.36,,
5,08/06/2025 14:20:00,39.68,9326.08,,
6,08/06/2025 14:25:00,40.19,9666.56,,
7,08/06/2025 14:30:00,40.62,9679.36,,
8,08/06/2025 14:35:00,40.84,9507.84,,
9,08/06/2025 14:40:00,40.19,8724.48,,
10,08/06/2025 14:45:00,39.42,8716.80,,
11,08/06/2025 14:50:00,39.17,8755.20,,
12,08/06/2025 14:55:00,39.21,8775.68,,
13,08/06/2025 15:00:00,39.55,8808.96,,
14,08/06/2025 15:05:00,39.98,8742.40,,
15,08/06/2025 15:10:00,40.28,8755.20,,
16,08/06/2025 15:15:00,40.32,8691.20,,
17,08/06/2025 15:20:00,40.07,8650.24,,
18,08/06/2025 15:25:00,39.85,8624.64,,
19,08/06/2025 15:30:00,39.85,8637.44,,
20,08/06/2025 15:35:00,39.98,8678.40,,
21,08/06/2025 15:40:00,39.89,8637.44,,
22,08/06/2025 15:45:00,39.77,8678.40,,
23,08/06/2025 15:50:00,39.68,8650.24,,
24,08/06/2025 15:55:00,39.64,8637.44,,
25,08/06/2025 16:00:00,39.64,8599.04,,
26,08/06/2025 16:05:00,39.55,8611.84,,
27,08/06/2025 16:10:00,39.68,8847.36,,
28,08/06/2025 16:15:00,40.41,10137.60,,
29,08/06/2025 16:20:00,41.78,9902.08,,
30,08/06/2025 16:25:00,41.01,9108.48,,
31,08/06/2025 16:30:00,40.19,9128.96,,
32,08/06/2025 16:35:00,39.64,9070.08,,
33,08/06/2025 16:40:00,39.42,9167.36,,
34,08/06/2025 16:45:00,39.25,9822.72,,
35,08/06/2025 16:50:00,40.02,20367.36,,
36,08/06/2025 16:55:00,39.85,15042.56,,
37,08/06/2025 17:00:00,41.70,23971.84,,
38,08/06/2025 17:05:00,42.47,23377.92,,
39,08/06/2025 17:10:00,42.60,22394.88,,
40,08/06/2025 17:15:00,40.80,8990.72,,
41,08/06/2025 17:20:00,39.51,8337.92,,
42,08/06/2025 17:25:00,38.74,7892.48,,
43,08/06/2025 17:30:00,38.26,7603.20,,
44,08/06/2025 17:35:00,37.92,7539.20,,
45,08/06/2025 17:40:00,38.69,14515.20,,
46,08/06/2025 17:45:00,38.01,7203.84,,
47,08/06/2025 17:50:00,37.49,7014.40,,
48,08/06/2025 17:55:00,37.32,7682.56,,
49,08/06/2025 18:00:00,37.49,11648.00,,
50,08/06/2025 18:05:00,37.06,6745.60,,
51,08/06/2025 18:10:00,36.59,6592.00,,
52,08/06/2025 18:15:00,36.46,6510.08,,
53,08/06/2025 18:20:00,35.99,6138.88,,
54,08/06/2025 18:25:00,35.73,5928.96,,
55,08/06/2025 18:30:00,35.43,5632.00,,
56,08/06/2025 18:35:00,35.13,5355.52,,
57,08/06/2025 18:40:00,34.88,6566.40,,
58,08/06/2025 18:45:00,34.66,5335.04,,
59,08/06/2025 18:50:00,34.36,4924.16,,
60,08/06/2025 18:55:00,34.06,4450.56,,
61,08/06/2025 19:00:00,33.72,4515.84,,
62,08/06/2025 19:05:00,33.50,3978.24,,
63,08/06/2025 19:10:00,33.20,3845.12,,
64,08/06/2025 19:15:00,32.94,3690.24,,
65,08/06/2025 19:20:00,32.73,3366.40,,
66,08/06/2025 19:25:00,32.47,3001.60,,
67,08/06/2025 19:30:00,32.13,3001.60,,
68,08/06/2025 19:35:00,32.30,3513.60,,
69,08/06/2025 19:40:00,32.09,2941.44,,
70,08/06/2025 19:45:00,31.66,2172.80,,
71,08/06/2025 19:50:00,31.27,1959.68,,
72,08/06/2025 19:55:00,30.97,1699.84,,
73,08/06/2025 20:00:00,30.67,1550.72,,
74,08/06/2025 20:05:00,30.46,1312.64,,
75,08/06/2025 20:10:00,30.11,1114.24,,
76,08/06/2025 20:15:00,29.90,914.56,,
77,08/06/2025 20:20:00,29.64,728.00,,
78,08/06/2025 20:25:00,29.43,485.92,,
79,08/06/2025 20:30:00,29.21,318.24,,
80,08/06/2025 20:35:00,28.95,214.72,,
81,08/06/2025 20:40:00,28.74,135.68,,
82,08/06/2025 20:45:00,28.57,81.40,,
83,08/06/2025 20:50:00,28.40,39.88,,
84,08/06/2025 20:55:00,28.23,16.64,,
85,08/06/2025 21:00:00,28.05,5.72,,
86,08/06/2025 21:05:00,27.93,1.43,,
87,08/06/2025 21:10:00,27.88,0.20,,
88,08/06/2025 21:15:00,27.80,0.00,,
89,08/06/2025 21:20:00,27.67,0.00,,
90,08/06/2025 21:25:00,27.58,0.00,,
91,08/06/2025 21:30:00,27.45,0.00,,
92,08/06/2025 21:35:00,27.41,0.00,,
93,08/06/2025 21:40:00,27.28,0.00,,
94,08/06/2025 21:45:00,27.24,0.00,,
95,08/06/2025 21:50:00,27.20,0.00,,
96,08/06/2025 21:55:00,27.11,0.00,,
97,08/06/2025 22:00:00,27.02,0.00,,
98,08/06/2025 22:05:00,27.02,0.00,,
99,08/06/2025 22:10:00,26.94,0.00,,
100,08/06/2025 22:15:00,26.90,0.00,,
101,08/06/2025 22:20:00,26.90,0.00,,
102,08/06/2025 22:25:00,26.85,0.00,,
103,08/06/2025 22:30:00,26.85,0.00,,
104,08/06/2025 22:35:00,26.77,0.00,,
105,08/06/2025 22:40:00,26.72,0.00,,
106,08/06/2025 22:45:00,26.72,0.00,,
107,08/06/2025 22:50:00,26.64,0.00,,
108,08/06/2025 22:55:00,26.51,0.00,,
109,08/06/2025 23:00:00,26.42,0.00,,
110,08/06/2025 23:05:00,26.34,0.00,,
111,08/06/2025 23:10:00,26.25,0.00,,
112,08/06/2025 23:15:00,26.12,0.00,,
113,08/06/2025 23:20:00,25.91,0.00,,
114,08/06/2025 23:25:00,25.82,0.00,,
115,08/06/2025 23:30:00,25.78,0.00,,
116,08/06/2025 23:35:00,25.74,0.00,,
117,08/06/2025 23:40:00,25.65,0.00,,
118,08/06/2025 23:45:00,25.57,0.00,,
119,08/06/2025 23:50:00,25.52,0.00,,
120,08/06/2025 23:55:00,25.44,0.00,,
121,08/07/2025 00:00:00,25.39,0.00,,
122,08/07/2025 00:05:00,25.27,0.00,,
123,08/07/2025 00:10:00,25.22,0.00,,
124,08/07/2025 00:15:00,25.22,0.00,,
125,08/07/2025 00:20:00,25.14,0.00,,
126,08/07/2025 00:25:00,25.09,0.00,,
127,08/07/2025 00:30:00,25.09,0.00,,
128,08/07/2025 00:35:00,25.05,0.00,,
129,08/07/2025 00:40:00,25.01,0.00,,
130,08/07/2025 00:45:00,24.97,0.00,,
131,08/07/2025 00:50:00,24.88,0.00,,
132,08/07/2025 00:55:00,24.88,0.00,,
133,08/07/2025 01:00:00,24.84,0.00,,
134,08/07/2025 01:05:00,24.79,0.00,,
135,08/07/2025 01:10:00,24.75,0.00,,
136,08/07/2025 01:15:00,24.66,0.00,,
137,08/07/2025 01:20:00,24.62,0.00,,
138,08/07/2025 01:25:00,24.54,0.00,,
139,08/07/2025 01:30:00,24.45,0.00,,
140,08/07/2025 01:35:00,24.41,0.00,,
141,08/07/2025 01:40:00,24.36,0.00,,
142,08/07/2025 01:45:00,24.32,0.00,,
143,08/07/2025 01:50:00,24.24,0.00,,
144,08/07/2025 01:55:00,24.15,0.00,,
145,08/07/2025 02:00:00,24.11,0.00,,
146,08/07/2025 02:05:00,24.02,0.00,,
147,08/07/2025 02:10:00,23.98,0.00,,
148,08/07/2025 02:15:00,23.98,0.00,,
149,08/07/2025 02:20:00,23.89,0.00,,
150,08/07/2025 02:25:00,23.81,0.00,,
151,08/07/2025 02:30:00,23.72,0.00,,
152,08/07/2025 02:35:00,23.72,0.00,,
153,08/07/2025 02:40:00,23.68,0.00,,
154,08/07/2025 02:45:00,23.59,0.00,,
155,08/07/2025 02:50:00,23.55,0.00,,
156,08/07/2025 02:55:00,23.46,0.00,,
157,08/07/2025 03:00:00,23.46,0.00,,
158,08/07/2025 03:05:00,23.38,0.00,,
159,08/07/2025 03:10:00,23.34,0.00,,
160,08/07/2025 03:15:00,23.29,0.00,,
161,08/07/2025 03:20:00,23.25,0.00,,
162,08/07/2025 03:25:00,23.16,0.00,,
163,08/07/2025 03:30:00,23.16,0.00,,
164,08/07/2025 03:35:00,23.03,0.00,,
165,08/07/2025 03:40:00,23.03,0.00,,
166,08/07/2025 03:45:00,22.95,0.00,,
167,08/07/2025 03:50:00,22.95,0.00,,
168,08/07/2025 03:55:00,22.91,0.00,,
169,08/07/2025 04:00:00,22.82,0.00,,
170,08/07/2025 04:05:00,22.73,0.00,,
171,08/07/2025 04:10:00,22.65,0.00,,
172,08/07/2025 04:15:00,22.65,0.00,,
173,08/07/2025 04:20:00,22.65,0.00,,
174,08/07/2025 04:25:00,22.65,0.00,,
175,08/07/2025 04:30:00,22.65,0.00,,
176,08/07/2025 04:35:00,22.65,0.00,,
177,08/07/2025 04:40:00,22.65,0.00,,
178,08/07/2025 04:45:00,22.61,0.00,,
179,08/07/2025 04:50:00,22.52,0.00,,
180,08/07/2025 04:55:00,22.48,0.00,,
181,08/07/2025 05:00:00,22.43,0.00,,
182,08/07/2025 05:05:00,22.43,0.00,,
183,08/07/2025 05:10:00,22.31,0.00,,
184,08/07/2025 05:15:00,22.22,0.00,,
185,08/07/2025 05:20:00,22.18,0.00,,
186,08/07/2025 05:25:00,22.18,0.00,,
187,08/07/2025 05:30:00,22.09,0.00,,
188,08/07/2025 05:35:00,22.01,0.00,,
189,08/07/2025 05:40:00,22.01,0.00,,
190,08/07/2025 05:45:00,21.88,0.00,,
191,08/07/2025 05:50:00,21.83,0.00,,
192,08/07/2025 05:55:00,21.79,0.00,,
193,08/07/2025 06:00:00,21.75,0.00,,
194,08/07/2025 06:05:00,21.75,0.00,,
195,08/07/2025 06:10:00,21.70,0.00,,
196,08/07/2025 06:15:00,21.62,0.00,,
197,08/07/2025 06:20:00,21.66,0.00,,
198,08/07/2025 06:25:00,21.66,0.00,,
199,08/07/2025 06:30:00,21.62,0.00,,
200,08/07/2025 06:35:00,21.62,0.20,,
201,08/07/2025 06:40:00,21.62,1.22,,
202,08/07/2025 06:45:00,21.53,4.49,,
203,08/07/2025 06:50:00,21.53,14.16,,
204,08/07/2025 06:55:00,21.58,34.97,,
205,08/07/2025 07:00:00,21.58,76.48,,
206,08/07/2025 07:05:00,21.62,143.16,,
207,08/07/2025 07:10:00,22.01,232.96,,
208,08/07/2025 07:15:00,21.79,352.16,,
209,08/07/2025 07:20:00,21.70,495.36,,
210,08/07/2025 07:25:00,21.75,647.52,,
211,08/07/2025 07:30:00,22.01,810.24,,
212,08/07/2025 07:35:00,22.01,976.64,,
213,08/07/2025 07:40:00,22.01,1151.68,,
214,08/07/2025 07:45:00,22.05,1321.60,,
215,08/07/2025 07:50:00,22.09,1500.80,,
216,08/07/2025 07:55:00,22.31,1680.64,,
217,08/07/2025 08:00:00,22.43,1871.36,,
218,08/07/2025 08:05:00,22.65,2072.96,,
219,08/07/2025 08:10:00,22.82,2308.48,,
220,08/07/2025 08:15:00,23.03,2517.76,,
221,08/07/2025 08:20:00,23.25,2899.20,,
222,08/07/2025 08:25:00,23.68,3441.92,,
223,08/07/2025 08:30:00,23.98,3416.32,,
224,08/07/2025 08:35:00,24.24,3880.96,,
225,08/07/2025 08:40:00,25.87,11136.00,,
226,08/07/2025 08:45:00,25.74,4718.08,,
227,08/07/2025 08:50:00,25.95,5192.96,,
228,08/07/2025 08:55:00,26.38,6353.92,,
229,08/07/2025 09:00:00,27.41,7564.80,,
230,08/07/2025 09:05:00,27.15,7139.84,,
231,08/07/2025 09:10:00,27.63,16266.24,,
232,08/07/2025 09:15:00,30.20,24268.80,,
233,08/07/2025 09:20:00,29.77,8729.60,,
234,08/07/2025 09:25:00,29.60,15370.24,,
235,08/07/2025 09:30:00,30.28,11484.16,,
236,08/07/2025 09:35:00,30.46,10209.28,,
237,08/07/2025 09:40:00,30.41,9031.68,,
238,08/07/2025 09:45:00,30.50,9187.84,,
239,08/07/2025 09:50:00,30.46,9031.68,,
240,08/07/2025 09:55:00,30.59,9830.40,,
241,08/07/2025 10:00:00,30.67,8768.00,,
242,08/07/2025 10:05:00,30.84,9448.96,,
243,08/07/2025 10:10:00,31.83,14279.68,,
244,08/07/2025 10:15:00,33.55,21329.92,,
245,08/07/2025 10:20:00,35.48,12605.44,,
246,08/07/2025 10:25:00,34.15,9953.28,,
247,08/07/2025 10:30:00,37.19,41687.04,,
248,08/07/2025 10:35:00,40.15,46018.56,,
249,08/07/2025 10:40:00,42.13,46796.80,,
250,08/07/2025 10:45:00,42.85,31252.48,,
251,08/07/2025 10:50:00,39.34,17817.60,,
252,08/07/2025 10:55:00,38.22,11233.28,,
253,08/07/2025 11:00:00,37.06,11878.40,,
254,08/07/2025 11:05:00,36.51,12467.20,,
255,08/07/2025 11:10:00,35.86,10170.88,,
256,08/07/2025 11:15:00,35.39,9986.56,,
257,08/07/2025 11:20:00,35.09,9907.20,,
258,08/07/2025 11:25:00,35.05,9758.72,,
259,08/07/2025 11:30:00,35.09,9843.20,,
260,08/07/2025 11:35:00,35.09,10032.64,,
261,08/07/2025 11:40:00,35.35,10327.04,,
262,08/07/2025 11:45:00,35.86,18590.72,,
263,08/07/2025 11:50:00,40.15,42741.76,,
264,08/07/2025 11:55:00,42.90,42516.48,,
265,08/07/2025 12:00:00,44.57,43294.72,,
266,08/07/2025 12:05:00,45.81,44277.76,,
267,08/07/2025 12:10:00,45.81,21053.44,,
268,08/07/2025 12:15:00,43.11,37785.60,,
269,08/07/2025 12:20:00,45.26,46325.76,,
270,08/07/2025 12:25:00,43.11,10112.00,,
271,08/07/2025 12:30:00,42.21,10583.04,,
