#,Date-Time (CDT/CST),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,07/21/2025 17:05:44,23.51,51.08,12.83,,
2,07/21/2025 18:05:44,33.69,49.03,21.52,,
3,07/21/2025 19:05:44,29.35,60.50,20.93,,
4,07/21/2025 20:05:44,27.80,61.61,19.77,,
5,07/21/2025 21:05:44,27.47,62.70,19.74,,
6,07/21/2025 22:05:44,26.82,65.20,19.76,,
7,07/21/2025 23:05:44,26.56,67.19,20.00,,
8,07/22/2025 00:05:44,25.64,67.77,19.26,,
9,07/22/2025 01:05:44,24.32,69.38,18.38,,
10,07/22/2025 02:05:44,24.02,70.26,18.29,,
11,07/22/2025 03:05:44,23.67,72.32,18.42,,
12,07/22/2025 04:05:44,23.38,75.41,18.81,,
13,07/22/2025 05:05:44,23.56,73.91,18.66,,
14,07/22/2025 06:05:44,23.79,71.47,18.34,,
15,07/22/2025 07:05:44,23.82,70.03,18.05,,
16,07/22/2025 08:05:44,23.79,69.36,17.87,,
17,07/22/2025 09:05:44,23.61,71.14,18.10,,
18,07/22/2025 10:05:44,25.84,66.37,19.12,,
19,07/22/2025 11:05:44,27.88,61.84,19.91,,
20,07/22/2025 12:05:44,30.79,55.75,20.95,,
21,07/22/2025 13:05:44,32.86,51.21,21.47,,
22,07/22/2025 14:05:44,34.32,46.88,21.36,,
23,07/22/2025 15:05:44,34.91,46.90,21.91,,
24,07/22/2025 16:05:44,37.59,40.55,21.93,,
25,07/22/2025 17:05:44,34.51,43.09,20.17,,
26,07/22/2025 18:05:44,32.80,46.44,19.83,,
27,07/22/2025 19:05:44,30.56,51.35,19.40,,
28,07/22/2025 20:05:44,27.26,59.77,18.78,,
29,07/22/2025 21:05:44,26.46,64.81,19.32,,
30,07/22/2025 22:05:44,24.97,68.12,18.70,,
31,07/22/2025 23:05:44,23.89,71.33,18.41,,
32,07/23/2025 00:05:44,23.80,67.11,17.36,,
33,07/23/2025 01:05:44,23.82,68.03,17.59,,
34,07/23/2025 02:05:44,23.81,73.10,18.73,,
35,07/23/2025 03:05:44,23.81,75.63,19.27,,
36,07/23/2025 04:05:44,23.83,75.89,19.34,,
37,07/23/2025 05:05:44,23.87,77.04,19.62,,
38,07/23/2025 06:05:44,23.83,78.03,19.80,,
39,07/23/2025 07:05:44,23.84,78.74,19.95,,
40,07/23/2025 08:05:44,23.52,82.23,20.34,,
41,07/23/2025 09:05:44,23.67,79.60,19.96,,
42,07/23/2025 10:05:44,26.41,72.18,21.02,,
43,07/23/2025 11:05:44,29.75,61.21,21.50,,
44,07/23/2025 12:05:44,30.29,60.26,21.75,,
45,07/23/2025 13:05:44,32.12,54.97,21.96,,
46,07/23/2025 14:05:44,34.36,48.20,21.85,,
47,07/23/2025 15:05:44,33.42,49.72,21.50,,
48,07/23/2025 16:05:44,33.52,46.21,20.40,,
49,07/23/2025 17:05:44,34.50,44.32,20.61,,
50,07/23/2025 18:05:44,33.44,45.23,19.98,,
51,07/23/2025 19:05:44,31.34,50.81,19.95,,
52,07/23/2025 20:05:44,29.08,58.03,20.00,,
53,07/23/2025 21:05:44,27.34,61.99,19.44,,
54,07/23/2025 22:05:44,26.39,67.02,19.80,,
55,07/23/2025 23:05:44,25.76,67.84,19.39,,
56,07/24/2025 00:05:44,25.07,69.76,19.18,,
57,07/24/2025 01:05:44,24.57,70.65,18.91,,
58,07/24/2025 02:05:44,23.79,73.59,18.81,,
59,07/24/2025 03:05:44,23.32,77.15,19.12,,
60,07/24/2025 04:05:44,23.12,78.72,19.24,,
61,07/24/2025 05:05:44,23.55,76.54,19.21,,
62,07/24/2025 06:05:44,23.75,77.60,19.62,,
63,07/24/2025 07:05:44,23.75,77.09,19.52,,
64,07/24/2025 08:05:44,23.61,78.29,19.63,,
65,07/24/2025 09:05:44,24.18,79.82,20.50,,
66,07/24/2025 10:05:44,25.66,74.05,20.72,,
67,07/24/2025 11:05:44,29.53,63.33,21.85,,
68,07/24/2025 12:05:44,31.78,55.71,21.86,,
69,07/24/2025 13:05:44,33.90,51.77,22.61,,
70,07/24/2025 14:05:44,36.03,45.01,22.24,,
71,07/24/2025 15:05:44,37.17,42.55,22.34,,
72,07/24/2025 16:05:44,35.83,43.43,21.47,,
73,07/24/2025 17:05:44,35.12,43.56,20.89,,
74,07/24/2025 18:05:44,32.03,49.75,20.24,,
75,07/24/2025 19:05:44,29.84,56.41,20.26,,
76,07/24/2025 20:05:44,28.21,59.92,19.71,,
77,07/24/2025 21:05:44,26.65,63.98,19.30,,
78,07/24/2025 22:05:44,25.33,69.78,19.43,,
79,07/24/2025 23:05:44,23.87,75.84,19.37,,
80,07/25/2025 00:05:44,23.34,80.11,19.74,,
81,07/25/2025 01:05:44,23.85,75.88,19.36,,
82,07/25/2025 02:05:44,23.90,75.92,19.42,,
83,07/25/2025 03:05:44,23.94,77.96,19.88,,
84,07/25/2025 04:05:44,23.85,78.03,19.81,,
85,07/25/2025 05:05:44,23.80,77.91,19.74,,
86,07/25/2025 06:05:44,23.85,77.20,19.64,,
87,07/25/2025 07:05:44,23.87,76.77,19.57,,
88,07/25/2025 08:05:44,23.84,76.93,19.57,,
89,07/25/2025 09:05:44,23.43,78.22,19.44,,
90,07/25/2025 10:05:44,25.91,70.76,20.22,,
91,07/25/2025 11:05:44,29.05,60.67,20.69,,
92,07/25/2025 12:05:44,30.87,56.44,21.22,,
93,07/25/2025 13:05:44,32.60,53.11,21.83,,
94,07/25/2025 14:05:44,34.96,45.82,21.57,,
95,07/25/2025 15:05:44,35.79,44.80,21.95,,
96,07/25/2025 16:05:44,35.86,42.34,21.09,,
97,07/25/2025 17:05:44,36.06,42.11,21.18,,
98,07/25/2025 18:05:44,34.68,43.92,20.63,,
99,07/25/2025 19:05:44,32.08,47.29,19.47,,
100,07/25/2025 20:05:44,29.52,53.52,19.11,,
101,07/25/2025 21:05:44,27.70,58.13,18.75,,
102,07/25/2025 22:05:44,26.47,63.20,18.92,,
103,07/25/2025 23:05:44,25.73,69.05,19.65,,
104,07/26/2025 00:05:44,25.14,71.97,19.75,,
105,07/26/2025 01:05:44,24.57,73.52,19.55,,
106,07/26/2025 02:05:44,24.23,72.48,19.00,,
107,07/26/2025 03:05:44,23.73,74.11,18.87,,
108,07/26/2025 04:05:44,23.34,76.37,18.97,,
109,07/26/2025 05:05:44,23.33,77.86,19.27,,
110,07/26/2025 06:05:44,23.43,77.94,19.39,,
111,07/26/2025 07:05:44,23.52,77.01,19.28,,
112,07/26/2025 08:05:44,23.33,77.14,19.12,,
113,07/26/2025 09:05:44,24.75,73.43,19.70,,
114,07/26/2025 10:05:44,27.81,64.35,20.49,,
115,07/26/2025 11:05:44,31.45,53.60,20.92,,
116,07/26/2025 12:05:44,33.33,50.71,21.74,,
117,07/26/2025 13:05:44,34.95,47.56,22.17,,
118,07/26/2025 14:05:44,36.71,42.25,21.81,,
119,07/26/2025 15:05:44,37.17,38.24,20.60,,
120,07/26/2025 16:05:44,36.81,39.68,20.88,,
121,07/26/2025 17:05:44,34.59,42.87,20.15,,
122,07/26/2025 18:05:44,33.71,44.08,19.81,,
123,07/26/2025 19:05:44,29.86,55.17,19.91,,
124,07/26/2025 20:05:44,28.55,59.35,19.88,,
125,07/26/2025 21:05:44,26.61,61.81,18.70,,
126,07/26/2025 22:05:44,25.47,63.10,17.95,,
127,07/26/2025 23:05:44,25.20,66.54,18.55,,
128,07/27/2025 00:05:44,24.64,65.27,17.71,,
129,07/27/2025 01:05:44,24.16,69.62,18.28,,
130,07/27/2025 02:05:44,23.98,69.29,18.04,,
131,07/27/2025 03:05:44,23.55,67.99,17.32,,
132,07/27/2025 04:05:44,23.56,71.32,18.09,,
133,07/27/2025 05:05:44,23.58,73.37,18.57,,
134,07/27/2025 06:05:44,23.60,76.28,19.21,,
135,07/27/2025 07:05:44,23.59,78.09,19.57,,
136,07/27/2025 08:05:44,23.51,77.84,19.45,,
137,07/27/2025 09:05:44,23.97,76.81,19.67,,
138,07/27/2025 10:05:44,26.64,69.36,20.59,,
139,07/27/2025 11:05:44,29.83,60.02,21.25,,
140,07/27/2025 12:05:44,31.52,55.78,21.63,,
141,07/27/2025 13:05:44,32.46,53.09,21.70,,
142,07/27/2025 14:05:44,34.21,49.21,22.06,,
143,07/27/2025 15:05:44,35.36,46.03,22.00,,
144,07/27/2025 16:05:44,35.36,44.60,21.49,,
145,07/27/2025 17:05:44,33.90,47.96,21.35,,
146,07/27/2025 18:05:44,32.72,49.39,20.75,,
147,07/27/2025 19:05:44,30.30,54.43,20.11,,
148,07/27/2025 20:05:44,28.58,57.33,19.34,,
149,07/27/2025 21:05:44,26.77,60.94,18.63,,
150,07/27/2025 22:05:44,25.64,63.49,18.22,,
151,07/27/2025 23:05:44,24.91,65.60,18.05,,
152,07/28/2025 00:05:44,24.42,67.64,18.07,,
153,07/28/2025 01:05:44,23.96,69.41,18.04,,
154,07/28/2025 02:05:44,23.40,70.84,17.83,,
155,07/28/2025 03:05:44,22.94,72.57,17.77,,
156,07/28/2025 04:05:44,23.34,71.72,17.97,,
157,07/28/2025 05:05:44,23.60,73.87,18.69,,
158,07/28/2025 06:05:44,23.65,75.37,19.06,,
159,07/28/2025 07:05:44,23.68,77.09,19.45,,
160,07/28/2025 08:05:44,23.65,78.32,19.68,,
161,07/28/2025 09:05:44,23.69,80.46,20.16,,
162,07/28/2025 10:05:44,26.42,71.14,20.79,,
163,07/28/2025 11:05:44,29.18,63.17,21.48,,
164,07/28/2025 12:05:44,30.48,61.01,22.13,,
165,07/28/2025 13:05:44,31.50,57.49,22.11,,
166,07/28/2025 14:05:44,33.52,49.47,21.52,,
167,07/28/2025 15:05:44,34.24,47.66,21.56,,
168,07/28/2025 16:05:44,33.98,45.20,20.46,,
169,07/28/2025 17:05:44,34.18,44.40,20.35,,
170,07/28/2025 18:05:44,32.72,46.83,19.89,,
171,07/28/2025 19:05:44,29.95,52.05,19.06,,
172,07/28/2025 20:05:44,28.04,54.61,18.06,,
173,07/28/2025 21:05:44,26.46,57.98,17.54,,
174,07/28/2025 22:05:44,25.45,61.42,17.51,,
175,07/28/2025 23:05:44,24.72,63.00,17.22,,
176,07/29/2025 00:05:44,24.20,63.67,16.90,,
177,07/29/2025 01:05:44,23.88,65.64,17.08,,
178,07/29/2025 02:05:44,23.43,67.47,17.08,,
179,07/29/2025 03:05:44,23.42,69.66,17.58,,
180,07/29/2025 04:05:44,23.56,70.71,17.95,,
181,07/29/2025 05:05:44,23.65,71.47,18.21,,
182,07/29/2025 06:05:44,23.69,71.64,18.28,,
183,07/29/2025 07:05:44,23.72,71.66,18.32,,
184,07/29/2025 08:05:44,23.88,71.07,18.34,,
185,07/29/2025 09:05:44,23.69,74.67,18.95,,
186,07/29/2025 10:05:44,26.65,64.76,19.50,,
187,07/29/2025 11:05:44,29.35,57.34,20.06,,
188,07/29/2025 12:05:44,30.05,54.01,19.75,,
189,07/29/2025 13:05:44,31.16,50.28,19.62,,
190,07/29/2025 14:05:44,32.88,44.48,19.21,,
191,07/29/2025 15:05:44,33.58,44.29,19.77,,
192,07/29/2025 16:05:44,33.70,42.82,19.33,,
193,07/29/2025 17:05:44,33.72,42.64,19.29,,
194,07/29/2025 18:05:44,32.35,44.07,18.58,,
195,07/29/2025 19:05:44,29.72,48.27,17.64,,
196,07/29/2025 20:05:44,30.42,47.55,18.05,,
197,07/29/2025 21:05:44,31.28,56.23,21.54,,
198,07/29/2025 22:05:44,30.70,60.43,22.18,,
199,07/29/2025 23:05:44,30.12,62.93,22.31,,
200,07/30/2025 00:05:44,29.61,63.06,21.86,,
201,07/30/2025 01:05:44,29.04,62.76,21.24,,
202,07/30/2025 02:05:44,28.40,64.39,21.05,,
203,07/30/2025 03:05:44,27.94,63.85,20.49,,
204,07/30/2025 04:05:44,27.60,64.09,20.22,,
205,07/30/2025 05:05:44,27.19,65.14,20.09,,
206,07/30/2025 06:05:44,26.74,66.32,19.96,,
207,07/30/2025 07:05:44,26.38,66.74,19.72,,
208,07/30/2025 08:05:44,26.71,66.55,19.99,,
209,07/30/2025 09:05:44,28.65,51.61,17.73,,
210,07/30/2025 10:05:44,29.72,45.93,16.85,,
211,07/30/2025 11:05:44,30.49,45.95,17.56,,
212,07/30/2025 12:05:44,30.61,44.53,17.17,,
213,07/30/2025 13:05:44,32.55,42.70,18.26,,
214,07/30/2025 14:05:44,34.30,40.12,18.82,,
215,07/30/2025 15:05:44,35.98,39.51,20.07,,
216,07/30/2025 16:05:44,36.08,35.71,18.53,,
217,07/30/2025 17:05:44,34.93,37.54,18.32,,
218,07/30/2025 18:05:44,32.41,40.62,17.34,,
219,07/30/2025 19:05:44,30.04,44.07,16.49,,
220,07/30/2025 20:05:44,28.29,48.13,16.29,,
221,07/30/2025 21:05:44,27.29,61.05,19.14,,
222,07/30/2025 22:05:44,25.96,64.34,18.73,,
223,07/30/2025 23:05:44,24.86,66.02,18.10,,
224,07/31/2025 00:05:44,24.11,69.20,18.13,,
225,07/31/2025 01:05:44,24.04,69.59,18.16,,
226,07/31/2025 02:05:44,24.05,70.17,18.30,,
227,07/31/2025 03:05:44,23.98,70.63,18.33,,
228,07/31/2025 04:05:44,23.95,71.80,18.57,,
229,07/31/2025 05:05:44,23.90,72.44,18.66,,
230,07/31/2025 06:05:44,23.87,73.80,18.94,,
231,07/31/2025 07:05:44,23.82,73.03,18.71,,
232,07/31/2025 08:05:44,23.82,73.83,18.89,,
233,07/31/2025 09:05:44,23.45,75.01,18.79,,
234,07/31/2025 10:05:44,24.94,71.94,19.55,,
235,07/31/2025 11:05:44,28.54,58.81,19.72,,
236,07/31/2025 12:05:44,27.76,61.51,19.71,,
237,07/31/2025 13:05:44,27.11,63.42,19.59,,
238,07/31/2025 14:05:44,28.01,61.33,19.89,,
239,07/31/2025 15:05:44,28.63,58.76,19.79,,
240,07/31/2025 16:05:44,29.18,59.38,20.47,,
241,07/31/2025 17:05:44,31.22,53.02,20.53,,
242,07/31/2025 18:05:44,30.09,54.15,19.83,,
243,07/31/2025 19:05:44,27.16,60.69,18.93,,
244,07/31/2025 20:05:44,25.47,66.45,18.79,,
245,07/31/2025 21:05:44,24.87,68.41,18.68,,
246,07/31/2025 22:05:44,24.27,68.80,18.20,,
247,07/31/2025 23:05:44,23.79,70.48,18.12,,
248,08/01/2025 00:05:44,23.73,74.60,18.97,,
249,08/01/2025 01:05:44,23.73,75.96,19.26,,
250,08/01/2025 02:05:44,23.72,75.87,19.23,,
251,08/01/2025 03:05:44,23.71,76.07,19.27,,
252,08/01/2025 04:05:44,23.75,76.46,19.39,,
253,08/01/2025 05:05:44,23.78,76.15,19.35,,
254,08/01/2025 06:05:44,23.82,77.14,19.60,,
255,08/01/2025 07:05:44,23.86,77.76,19.77,,
256,08/01/2025 08:05:44,23.80,77.17,19.59,,
257,08/01/2025 09:05:44,23.45,81.00,20.03,,
258,08/01/2025 10:05:44,25.43,76.32,20.98,,
259,08/01/2025 11:05:44,28.06,65.81,21.09,,
260,08/01/2025 12:05:44,29.70,61.35,21.49,,
261,08/01/2025 13:05:44,30.70,56.93,21.20,,
262,08/01/2025 14:05:44,31.78,55.71,21.86,,
263,08/01/2025 15:05:44,27.57,65.26,20.49,,
264,08/01/2025 16:05:44,24.16,79.44,20.41,,
265,08/01/2025 17:05:44,28.00,68.27,21.63,,
266,08/01/2025 18:05:44,32.62,62.95,24.67,,
267,08/01/2025 19:05:44,36.75,51.82,25.24,,
268,08/01/2025 20:05:44,36.98,45.80,23.39,,
269,08/01/2025 21:05:44,37.80,44.90,23.80,,
270,08/01/2025 22:05:44,37.46,46.68,24.14,,
271,08/01/2025 23:05:44,37.15,47.56,24.18,,
272,08/02/2025 00:05:44,36.19,48.59,23.66,,
273,08/02/2025 01:05:44,34.65,50.23,22.80,,
274,08/02/2025 02:05:44,33.63,51.74,22.35,,
275,08/02/2025 03:05:44,33.25,52.40,22.21,,
276,08/02/2025 04:05:44,33.71,51.68,22.40,,
277,08/02/2025 05:05:44,33.25,52.71,22.31,,
278,08/02/2025 06:05:44,32.90,53.90,22.35,,
279,08/02/2025 07:05:44,32.67,54.57,22.34,,
280,08/02/2025 08:05:44,33.48,54.87,23.19,,
281,08/02/2025 09:05:44,37.58,45.74,23.91,,
282,08/02/2025 10:05:44,39.86,43.26,25.03,,
283,08/02/2025 11:05:44,38.97,40.99,23.33,,
284,08/02/2025 12:05:44,30.53,59.38,21.74,,
285,08/02/2025 13:05:44,32.11,56.03,22.25,,
286,08/02/2025 14:05:44,34.57,50.93,22.95,,
