"","SysObs.Filename","UserDefCon.id","machine"
"1","2025-09-20-1825_logdata_dark",318,"yadi"
"2","2025-09-20-1825_logdata_dark",316,"yadi"
"3","2025-09-20-1825_logdata_dark",283,"yadi"
"4","2025-09-20-1825_logdata_dark",277,"yadi"
"5","2025-09-20-1825_logdata_dark",300,"yadi"
"6","2025-09-20-1825_logdata_dark",306,"yadi"
"7","2025-09-20-1825_logdata_dark",288,"yadi"
"8","2025-09-20-1825_logdata_dark",274,"yadi"
"9","2025-09-20-1825_logdata_dark",273,"yadi"
"10","2025-09-20-1825_logdata_dark",285,"yadi"
"11","2025-09-20-1825_logdata_dark",276,"yadi"
"12","2025-09-21-1944_logdata",279,"yadi"
"13","2025-09-21-1944_logdata",266,"yadi"
"14","2025-09-21-1944_logdata",264,"yadi"
"15","2025-09-21-1944_logdata",272,"yadi"
"16","2025-09-21-1944_logdata",262,"yadi"
"17","2025-09-21-1944_logdata",290,"yadi"
"18","2025-09-21-1944_logdata",301,"yadi"
"19","2025-09-21-1944_logdata",294,"yadi"
"20","2025-09-22-1813_logdata",281,"yadi"
"21","2025-09-22-1813_logdata",317,"yadi"
"22","2025-09-22-1813_logdata",214,"yadi"
"23","2025-09-22-1813_logdata",229,"yadi"
"24","2025-09-22-1813_logdata",263,"yadi"
"25","2025-09-22-1813_logdata",196,"yadi"
"26","2025-09-23-1752_logdata",253,"yadi"
"27","2025-09-23-1752_logdata",211,"yadi"
"28","2025-09-23-1752_logdata",232,"yadi"
"29","2025-09-23-1752_logdata",220,"yadi"
"30","2025-09-23-1752_logdata",207,"yadi"
"31","2025-09-23-1752_logdata",222,"yadi"
"32","2025-09-23-1752_logdata",208,"yadi"
"33","2025-09-24-1609_logdata",255,"yadi"
"34","2025-09-24-1609_logdata",235,"yadi"
"35","2025-09-24-1609_logdata",17,"yadi"
"36","2025-09-24-1609_logdata",203,"yadi"
"37","2025-09-24-1609_logdata",6,"yadi"
"38","2025-09-24-1609_logdata",62,"yadi"
"39","2025-09-24-1609_logdata",3,"yadi"
"40","2025-09-24-1609_logdata",19,"yadi"
"41","2025-09-25-1638_logdata",57,"yadi"
"42","2025-09-25-1638_logdata",10,"yadi"
"43","2025-09-25-1638_logdata",15,"yadi"
"44","2025-09-25-1638_logdata",59,"yadi"
"45","2025-09-25-1638_logdata",30,"yadi"
"46","2025-09-25-1638_logdata",24,"yadi"
"47","2025-09-25-1638_logdata",40,"yadi"
"48","2025-09-25-1638_logdata",43,"yadi"
"49","2025-09-25-1638_logdata",44,"yadi"
"50","2025-09-25-1638_logdata",50,"yadi"
"51","2025-09-26-1650_logdata",63,"yadi"
"52","2025-09-26-1650_logdata",165,"yadi"
"53","2025-09-26-1650_logdata",130,"yadi"
"54","2025-09-26-1650_logdata",4,"yadi"
"55","2025-09-26-1650_logdata",47,"yadi"
"56","2025-09-26-1650_logdata",177,"yadi"
"57","2025-09-27-1600_logdata",172,"yadi"
"58","2025-09-27-1600_logdata",139,"yadi"
"59","2025-09-27-1600_logdata",184,"yadi"
"60","2025-09-27-1600_logdata",157,"yadi"
"61","2025-09-27-1600_logdata",138,"yadi"
"62","2025-09-27-1600_logdata",146,"yadi"
"63","2025-09-27-1600_logdata",169,"yadi"
"64","2025-09-27-1600_logdata",176,"yadi"
"65","2025-09-27-1600_logdata",133,"yadi"
"66","2025-09-28-1557_logdata",187,"yadi"
"67","2025-09-28-1557_logdata",167,"yadi"
"68","2025-09-28-1557_logdata",156,"yadi"
"69","2025-09-28-1557_logdata",173,"yadi"
"70","2025-09-28-1557_logdata",349,"yadi"
"71","2025-09-28-1557_logdata",348,"yadi"
"72","2025-09-28-1557_logdata",370,"yadi"
"73","2025-09-29-1656_logdata",354,"yadi"
"74","2025-09-29-1656_logdata",373,"yadi"
"75","2025-09-29-1656_logdata",330,"yadi"
"76","2025-09-30-1651_logdata",382,"yadi"
"77","2025-09-30-1651_logdata",322,"yadi"
"78","2025-09-30-1651_logdata",366,"yadi"
"79","2025-09-30-1651_logdata",376,"yadi"
"80","2025-09-30-1651_logdata",88,"yadi"
"81","2025-09-30-1651_logdata",384,"yadi"
"82","2025-09-30-1651_logdata",363,"yadi"
"83","2025-10-02-1708_logdata",101,"yadi"
"84","2025-10-02-1708_logdata",84,"yadi"
"85","2025-10-02-1708_logdata",65,"yadi"
"86","2025-09-21-1948_logdata",296,"stan"
"87","2025-09-21-1948_logdata",299,"stan"
"88","2025-09-21-1948_logdata",303,"stan"
"89","2025-09-21-1948_logdata",305,"stan"
"90","2025-09-21-1948_logdata",271,"stan"
"91","2025-09-21-1948_logdata",315,"stan"
"92","2025-09-22-1814_logdata",257,"stan"
"93","2025-09-22-1814_logdata",225,"stan"
"94","2025-09-22-1814_logdata",293,"stan"
"95","2025-09-22-1814_logdata",212,"stan"
"96","2025-09-22-1814_logdata",247,"stan"
"97","2025-09-22-1814_logdata",237,"stan"
"98","2025-09-22-1814_logdata",249,"stan"
"99","2025-09-22-1814_logdata",244,"stan"
"100","2025-09-23-1801_logdata",252,"stan"
"101","2025-09-23-1801_logdata",215,"stan"
"102","2025-09-23-1801_logdata",210,"stan"
"103","2025-09-23-1801_logdata",213,"stan"
"104","2025-09-23-1801_logdata",227,"stan"
"105","2025-09-23-1801_logdata",197,"stan"
"106","2025-09-23-1801_logdata",233,"stan"
"107","2025-09-24-1616_logdata",246,"stan"
"108","2025-09-24-1616_logdata",53,"stan"
"109","2025-09-24-1616_logdata",201,"stan"
"110","2025-09-24-1616_logdata",221,"stan"
"111","2025-09-24-1616_logdata",33,"stan"
"112","2025-09-24-1616_logdata",26,"stan"
"113","2025-09-24-1616_logdata",23,"stan"
"114","2025-09-25-1637_logdata",46,"stan"
"115","2025-09-25-1637_logdata",20,"stan"
"116","2025-09-25-1637_logdata",11,"stan"
"117","2025-09-25-1637_logdata",58,"stan"
"118","2025-09-25-1637_logdata",52,"stan"
"119","2025-09-25-1637_logdata",34,"stan"
"120","2025-09-25-1637_logdata",56,"stan"
"121","2025-09-25-1637_logdata",14,"stan"
"122","2025-09-26-1632_logdata",135,"stan"
"123","2025-09-26-1632_logdata",171,"stan"
"124","2025-09-26-1632_logdata",37,"stan"
"125","2025-09-26-1632_logdata",41,"stan"
"126","2025-09-26-1632_logdata",48,"stan"
"127","2025-09-26-1632_logdata",164,"stan"
"128","2025-09-27-1614_logdata",154,"stan"
"129","2025-09-27-1614_logdata",182,"stan"
"130","2025-09-27-1614_logdata",140,"stan"
"131","2025-09-27-1614_logdata",181,"stan"
"132","2025-09-27-1614_logdata",137,"stan"
"133","2025-09-27-1614_logdata",148,"stan"
"134","2025-09-27-1614_logdata",190,"stan"
"135","2025-09-28-1601_logdata",158,"stan"
"136","2025-09-28-1601_logdata",323,"stan"
"137","2025-09-28-1601_logdata",175,"stan"
"138","2025-09-28-1601_logdata",346,"stan"
"139","2025-09-28-1601_logdata",339,"stan"
"140","2025-09-28-1601_logdata",334,"stan"
"141","2025-09-28-1601_logdata",338,"stan"
"142","2025-09-28-1601_logdata",378,"stan"
"143","2025-09-28-1601_logdata",353,"stan"
"144","2025-09-30-1656_logdata",379,"stan"
"145","2025-09-30-1656_logdata",100,"stan"
"146","2025-09-30-1656_logdata",81,"stan"
"147","2025-09-30-1656_logdata",114,"stan"
"148","2025-09-30-1656_logdata",347,"stan"
"149","2025-09-30-1656_logdata",350,"stan"
"150","2025-09-30-1656_logdata",72,"stan"
"151","2025-09-30-1656_logdata",376,"stan"
"152","2025-10-01-1813_logdata",69,"stan"
"153","2025-10-01-1813_logdata",71,"stan"
"154","2025-10-01-1813_logdata",128,"stan"
"155","2025-10-01-1813_logdata",74,"stan"
"156","2025-10-01-1813_logdata",121,"stan"
"157","2025-10-01-1813_logdata",131,"stan"
"158","2025-10-01-1813_logdata",76,"stan"
"159","2025-10-01-1813_logdata",66,"stan"
"160","2025-10-01-1813_logdata",105,"stan"
"161","2025-10-01-1813_logdata",107,"stan"
"162","2025-10-01-1813_logdata",108,"stan"
"163","2025-10-01-1813_logdata",77,"stan"
"164","2025-10-01-1813_logdata",97,"stan"
"165","2025-10-02-1711_logdata",98,"stan"
"166","2025-10-02-1711_logdata",70,"stan"
"167","2025-10-02-1711_logdata",92,"stan"
"168","2025-10-02-1711_logdata",65,"stan"
"169","2025-10-02-1711_logdata",78,"stan"
"170","2025-10-02-1711_logdata",91,"stan"
"171","2025-10-02-1711_logdata",8,"stan"
"172","2025-10-02-1711_logdata",123,"stan"
"173","2025-09-21-1948_logdata",296,"ozzie"
"174","2025-09-21-1948_logdata",299,"ozzie"
"175","2025-09-21-1948_logdata",303,"ozzie"
"176","2025-09-21-1948_logdata",305,"ozzie"
"177","2025-09-21-1948_logdata",271,"ozzie"
"178","2025-09-21-1948_logdata",315,"ozzie"
"179","2025-09-22-1814_logdata",257,"ozzie"
"180","2025-09-22-1814_logdata",225,"ozzie"
"181","2025-09-22-1814_logdata",293,"ozzie"
"182","2025-09-22-1814_logdata",212,"ozzie"
"183","2025-09-22-1814_logdata",247,"ozzie"
"184","2025-09-22-1814_logdata",237,"ozzie"
"185","2025-09-22-1814_logdata",249,"ozzie"
"186","2025-09-22-1814_logdata",244,"ozzie"
"187","2025-09-23-1801_logdata",252,"ozzie"
"188","2025-09-23-1801_logdata",215,"ozzie"
"189","2025-09-23-1801_logdata",210,"ozzie"
"190","2025-09-23-1801_logdata",213,"ozzie"
"191","2025-09-23-1801_logdata",227,"ozzie"
"192","2025-09-23-1801_logdata",197,"ozzie"
"193","2025-09-23-1801_logdata",233,"ozzie"
"194","2025-09-24-1616_logdata",246,"ozzie"
"195","2025-09-24-1616_logdata",53,"ozzie"
"196","2025-09-24-1616_logdata",201,"ozzie"
"197","2025-09-24-1616_logdata",221,"ozzie"
"198","2025-09-24-1616_logdata",33,"ozzie"
"199","2025-09-24-1616_logdata",26,"ozzie"
"200","2025-09-24-1616_logdata",23,"ozzie"
"201","2025-09-25-1637_logdata",46,"ozzie"
"202","2025-09-25-1637_logdata",20,"ozzie"
"203","2025-09-25-1637_logdata",11,"ozzie"
"204","2025-09-25-1637_logdata",58,"ozzie"
"205","2025-09-25-1637_logdata",52,"ozzie"
"206","2025-09-25-1637_logdata",34,"ozzie"
"207","2025-09-25-1637_logdata",56,"ozzie"
"208","2025-09-25-1637_logdata",14,"ozzie"
"209","2025-09-26-1632_logdata",135,"ozzie"
"210","2025-09-26-1632_logdata",171,"ozzie"
"211","2025-09-26-1632_logdata",37,"ozzie"
"212","2025-09-26-1632_logdata",41,"ozzie"
"213","2025-09-26-1632_logdata",48,"ozzie"
"214","2025-09-26-1632_logdata",164,"ozzie"
"215","2025-09-27-1614_logdata",154,"ozzie"
"216","2025-09-27-1614_logdata",182,"ozzie"
"217","2025-09-27-1614_logdata",140,"ozzie"
"218","2025-09-27-1614_logdata",181,"ozzie"
"219","2025-09-27-1614_logdata",137,"ozzie"
"220","2025-09-27-1614_logdata",148,"ozzie"
