flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251006062516_c3c,06:25:16,2025-10-06,PFA-00474,PSA-00486,PSF-00438,628.821045,155.752304,0.752311,0.000000,0.000000,0.000000,0.495687

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,417.021271,5996.140625
0.010000,556.468628,5996.140625
0.020000,579.979797,5996.140625
0.030000,584.763428,5996.140625
0.040000,587.994934,5996.140625
0.050000,592.348694,5996.140625
0.060000,597.665894,5996.140625
0.070000,603.336121,5996.140625
0.080000,608.840698,5996.140625
0.090000,613.637573,5996.140625
0.100000,617.544312,5996.140625
0.110000,620.506897,5996.140625
0.120000,622.829651,5996.140625
0.130000,624.506226,5996.140625
0.140000,625.667114,5996.140625
0.150000,626.448853,5996.140625
0.160000,627.040405,5996.140625
0.170000,627.553955,5996.140625
0.180000,627.981689,5996.140625
0.190000,628.239868,5996.140625
0.200000,628.324646,5996.140625
0.210000,628.278503,5996.140625
0.220000,628.367920,5996.140625
0.230000,628.493042,5996.140625
0.240000,628.589294,5996.140625
0.250000,628.611450,5996.140625
0.260000,628.637207,5996.140625
0.270000,628.660461,5996.140625
0.280000,628.709106,5996.140625
0.290000,628.729492,5996.140625
0.300000,628.774902,5996.140625
0.310000,628.725525,5996.140625
0.320000,628.768433,5996.140625
0.330000,628.818176,5996.140625
0.340000,628.821045,5996.140625
0.350000,628.727661,5996.140625
0.360000,628.614685,5996.140625
0.370000,628.477356,5996.140625
0.380000,628.436218,5996.140625
0.390000,628.423340,5996.140625
0.400000,628.428345,5996.140625
0.410000,628.308167,5996.140625
0.420000,628.163696,5996.140625
0.430000,628.004883,5996.140625
0.440000,627.928711,5996.140625
0.450000,627.867249,5996.140625
0.460000,627.762085,5996.140625
0.470000,627.634399,5996.140625
0.480000,627.521423,5996.140625
0.490000,627.397644,5996.140625
0.500000,627.281067,5996.140625
0.510000,627.135864,5996.140625
0.520000,627.042542,5996.140625
0.530000,626.904114,5996.140625
0.540000,626.709961,5996.140625
0.550000,626.502502,5996.140625
0.560000,626.321533,5996.140625
0.570000,626.167786,5996.140625
0.580000,626.071228,5996.140625
0.590000,625.962524,5996.140625
0.600000,625.886658,5996.140625
0.610000,625.819458,5996.140625
0.620000,625.797974,5996.140625
0.630000,625.845215,5996.140625
0.640000,625.810120,5996.140625
0.650000,625.688171,5996.140625
0.660000,625.546936,5996.140625
0.670000,625.363464,5996.140625
0.680000,625.140686,5996.140625
0.690000,624.920715,5996.140625
0.700000,624.783752,5996.140625
0.710000,624.660034,5996.140625
0.720000,624.596741,5996.140625
0.730000,624.525208,5996.140625
0.740000,624.450439,5996.140625
0.750000,624.381409,5996.140625
0.760000,624.293823,5996.140625
0.770000,624.188293,5996.140625
0.780000,623.981262,5996.140625
0.790000,623.801697,5996.140625
