flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251007072714_add,07:27:14,2025-10-07,PFA-00474,PSA-00486,PSF-00438,333.712219,84.861519,0.745705,0.000000,0.000000,0.000000,0.122781

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,175.907486,5996.140625
0.010000,261.135925,5996.140625
0.020000,283.290253,5996.140625
0.030000,289.350616,5996.140625
0.040000,291.788940,5996.140625
0.050000,294.121033,5996.140625
0.060000,297.508118,5996.140625
0.070000,301.950226,5996.140625
0.080000,306.891907,5996.140625
0.090000,311.689484,5996.140625
0.100000,316.033966,5996.140625
0.110000,319.622040,5996.140625
0.120000,322.538147,5996.140625
0.130000,324.831970,5996.140625
0.140000,326.623322,5996.140625
0.150000,328.020569,5996.140625
0.160000,329.106689,5996.140625
0.170000,329.933167,5996.140625
0.180000,330.633057,5996.140625
0.190000,331.139801,5996.140625
0.200000,331.565369,5996.140625
0.210000,331.877960,5996.140625
0.220000,332.160828,5996.140625
0.230000,332.369324,5996.140625
0.240000,332.531677,5996.140625
0.250000,332.679047,5996.140625
0.260000,332.779541,5996.140625
0.270000,332.877869,5996.140625
0.280000,332.956909,5996.140625
0.290000,332.994812,5996.140625
0.300000,333.065643,5996.140625
0.310000,333.075989,5996.140625
0.320000,333.119995,5996.140625
0.330000,333.143250,5996.140625
0.340000,333.156464,5996.140625
0.350000,333.183990,5996.140625
0.360000,333.206879,5996.140625
0.370000,333.225128,5996.140625
0.380000,333.247650,5996.140625
0.390000,333.280914,5996.140625
0.400000,333.308472,5996.140625
0.410000,333.318481,5996.140625
0.420000,333.343506,5996.140625
0.430000,333.378204,5996.140625
0.440000,333.410034,5996.140625
0.450000,333.420746,5996.140625
0.460000,333.454010,5996.140625
0.470000,333.471191,5996.140625
0.480000,333.517670,5996.140625
0.490000,333.549133,5996.140625
0.500000,333.590637,5996.140625
0.510000,333.595642,5996.140625
0.520000,333.641052,5996.140625
0.530000,333.662506,5996.140625
0.540000,333.672882,5996.140625
0.550000,333.677887,5996.140625
0.560000,333.706146,5996.140625
0.570000,333.706512,5996.140625
0.580000,333.712219,5996.140625
0.590000,333.710419,5996.140625
0.600000,333.707581,5996.140625
0.610000,333.690033,5996.140625
0.620000,333.683258,5996.140625
0.630000,333.660004,5996.140625
0.640000,333.632812,5996.140625
0.650000,333.585266,5996.140625
0.660000,333.543060,5996.140625
0.670000,333.494080,5996.140625
0.680000,333.460815,5996.140625
0.690000,333.400024,5996.140625
0.700000,333.376038,5996.140625
0.710000,333.286652,5996.140625
0.720000,333.237305,5996.140625
0.730000,333.171844,5996.140625
0.740000,333.109985,5996.140625
0.750000,333.042755,5996.140625
0.760000,332.950836,5996.140625
0.770000,332.878235,5996.140625
0.780000,332.818146,5996.140625
0.790000,332.738037,5996.140625
