flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251005153713_ac7,15:37:13,2025-10-05,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,442.698120,174.548859,0.605716,1127.922974

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,300.206421,6995.495117,1
0.010000,382.230164,6995.495117,1
0.020000,408.067352,6995.495117,1
0.030000,415.666565,6995.495117,1
0.040000,418.065552,6995.495117,1
0.050000,419.047607,6995.495117,1
0.060000,419.573303,6995.495117,1
0.070000,419.931641,6995.495117,1
0.080000,420.173767,6995.495117,1
0.090000,420.355072,6995.495117,1
0.100000,420.505280,6995.495117,1
0.110000,420.588257,6995.495117,1
0.120000,420.694824,6995.495117,1
0.130000,420.787811,6995.495117,1
0.140000,420.855408,6995.495117,1
0.150000,420.917267,6995.495117,1
0.160000,420.974854,6995.495117,1
0.170000,421.027771,6995.495117,1
0.180000,421.076416,6995.495117,1
0.190000,421.082489,6995.495117,1
0.200000,421.141144,6995.495117,1
0.210000,421.142212,6995.495117,1
0.220000,421.147217,6995.495117,1
0.230000,421.120758,6995.495117,1
0.240000,421.130066,6995.495117,1
0.250000,421.116821,6995.495117,1
0.260000,421.135437,6995.495117,1
0.270000,421.130432,6995.495117,1
0.280000,421.136139,6995.495117,1
0.290000,421.161896,6995.495117,1
0.300000,421.199799,6937.205566,2
0.310000,420.911194,6878.916016,2
0.320000,420.830719,6820.626465,2
0.330000,420.552124,6762.336914,2
0.340000,420.468445,6704.047363,2
0.350000,420.194855,6645.757812,2
0.360000,420.114044,6587.468262,2
0.370000,419.814697,6529.178711,2
0.380000,419.727448,6470.889160,2
0.390000,419.457428,6412.599609,2
0.400000,419.122681,6354.310059,2
0.410000,419.008606,6296.020508,2
0.420000,418.718933,6237.730957,2
0.430000,418.657410,6179.441406,2
0.440000,418.397797,6121.151855,2
0.450000,418.046936,6062.862305,2
0.460000,417.987213,6004.572754,2
0.470000,417.658203,5946.283203,2
0.480000,417.313812,5887.993652,2
0.490000,417.224396,5829.704102,2
0.500000,416.958344,5771.414551,2
0.510000,416.558136,5713.125000,2
0.520000,416.442627,5654.835449,2
0.530000,416.096802,5596.545898,2
0.540000,415.713776,5538.256348,2
0.550000,415.305725,5479.966797,2
0.560000,415.208099,5421.677246,2
0.570000,414.911255,5363.387695,2
0.580000,414.542908,5305.098145,2
0.590000,414.150940,5246.808594,2
0.600000,419.260376,6995.495117,3
0.610000,420.341858,6995.495117,3
0.620000,420.506012,6995.495117,3
0.630000,420.530334,6995.495117,3
0.640000,420.482391,6995.495117,3
0.650000,420.422302,6995.495117,3
0.660000,420.402283,6995.495117,3
0.670000,420.344360,6995.495117,3
0.680000,420.284973,6995.495117,3
0.690000,420.217407,6995.495117,3
0.700000,420.180908,6995.495117,3
0.710000,420.089020,6995.495117,3
0.720000,420.027496,6995.495117,3
0.730000,419.974579,6995.495117,3
0.740000,419.918762,6995.495117,3
0.750000,419.830811,6995.495117,3
0.760000,419.731384,6995.495117,3
0.770000,419.669495,6995.495117,3
0.780000,419.584747,6995.495117,3
0.790000,419.487488,6995.495117,3
0.800000,419.434540,6995.495117,3
0.810000,419.307220,6995.495117,3
0.820000,419.211395,6995.495117,3
0.830000,419.150238,6995.495117,3
0.839999,419.039001,6995.495117,3
0.849999,418.997894,6995.495117,3
0.859999,418.892395,6995.495117,3
0.869999,418.842682,6995.495117,3
0.879999,418.740387,6995.495117,3
0.889999,418.687469,6995.495117,3
