flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251010151600_6e7,15:16:00,2025-10-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,310.237335,215.529083,0.305277,869.793335

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,254.250519,6995.495117,1
0.010000,278.298492,6995.495117,1
0.020000,282.647247,6995.495117,1
0.030000,283.301361,6995.495117,1
0.040000,283.123962,6995.495117,1
0.050000,282.775635,6995.495117,1
0.060000,282.433380,6995.495117,1
0.070000,282.078278,6995.495117,1
0.080000,281.746033,6995.495117,1
0.090000,281.378754,6995.495117,1
0.100000,281.032562,6995.495117,1
0.110000,280.673157,6995.495117,1
0.120000,280.309784,6995.495117,1
0.130000,279.953949,6995.495117,1
0.140000,279.605621,6995.495117,1
0.150000,279.213654,6995.495117,1
0.160000,278.858551,6995.495117,1
0.170000,278.487671,6995.495117,1
0.180000,278.110016,6995.495117,1
0.190000,277.728790,6995.495117,1
0.200000,277.368652,6995.495117,1
0.210000,276.972412,6995.495117,1
0.220000,276.605835,6995.495117,1
0.230000,276.249298,6995.495117,1
0.240000,275.869843,6995.495117,1
0.250000,275.484680,6995.495117,1
0.260000,275.109528,6995.495117,1
0.270000,274.751190,6995.495117,1
0.280000,274.352081,6995.495117,1
0.290000,273.981201,6995.495117,1
0.300000,273.611786,6937.205566,2
0.310000,273.213043,6878.916016,2
0.320000,272.825348,6820.626465,2
0.330000,272.397278,6762.336914,2
0.340000,272.024994,6704.047363,2
0.350000,271.615143,6645.757812,2
0.360000,271.225342,6587.468262,2
0.370000,270.806549,6529.178711,2
0.380000,270.426758,6470.889160,2
0.390000,270.016541,6412.599609,2
0.400000,269.586334,6354.310059,2
0.410000,269.184723,6296.020508,2
0.420000,268.775238,6237.730957,2
0.430000,268.385040,6179.441406,2
0.440000,267.961609,6121.151855,2
0.450000,267.548920,6062.862305,2
0.460000,267.139801,6004.572754,2
0.470000,266.724945,5946.283203,2
0.480000,266.283264,5887.993652,2
0.490000,265.902771,5829.704102,2
0.500000,265.504364,5771.414551,2
0.510000,265.040161,5713.125000,2
0.520000,264.678253,5654.835449,2
0.530000,264.250885,5596.545898,2
0.540000,263.803131,5538.256348,2
0.550000,263.369690,5479.966797,2
0.560000,262.985931,5421.677246,2
0.570000,262.566437,5363.387695,2
0.580000,262.100830,5305.098145,2
0.590000,261.668793,5246.808594,2
0.600000,262.281769,6995.495117,3
0.610000,262.037170,6995.495117,3
0.620000,261.674164,6995.495117,3
0.630000,261.295807,6995.495117,3
0.640000,260.929230,6995.495117,3
0.650000,260.553009,6995.495117,3
0.660000,260.190369,6995.495117,3
0.670000,259.819153,6995.495117,3
0.680000,259.461517,6995.495117,3
0.690000,259.115692,6995.495117,3
0.700000,258.770599,6995.495117,3
0.710000,258.401520,6995.495117,3
0.720000,258.033508,6995.495117,3
0.730000,257.697357,6995.495117,3
0.740000,257.337219,6995.495117,3
0.750000,256.981384,6995.495117,3
0.760000,256.623383,6995.495117,3
0.770000,256.289001,6995.495117,3
0.780000,255.946396,6995.495117,3
0.790000,255.604858,6995.495117,3
0.800000,255.266907,6995.495117,3
0.810000,254.935028,6995.495117,3
0.820000,254.581696,6995.495117,3
0.830000,254.227997,6995.495117,3
0.839999,253.910065,6995.495117,3
0.849999,253.567810,6995.495117,3
0.859999,253.242737,6995.495117,3
0.869999,252.906555,6995.495117,3
0.879999,252.579330,6995.495117,3
0.889999,252.237442,6995.495117,3
