flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011132935_a74,13:29:35,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,493.093842,129.901535,0.736558,185.006958

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,278.779510,6995.495117,1
0.010000,422.414307,6995.495117,1
0.020000,467.735413,6995.495117,1
0.030000,478.559387,6995.495117,1
0.040000,481.750122,6995.495117,1
0.050000,483.080505,6995.495117,1
0.060000,483.859772,6995.495117,1
0.070000,484.409088,6995.495117,1
0.080000,484.826447,6995.495117,1
0.090000,485.161896,6995.495117,1
0.100000,485.476624,6995.495117,1
0.110000,485.663300,6995.495117,1
0.120000,485.862854,6995.495117,1
0.130000,486.035583,6995.495117,1
0.140000,486.185791,6995.495117,1
0.150000,486.347809,6995.495117,1
0.160000,486.486542,6995.495117,1
0.170000,486.599915,6995.495117,1
0.180000,486.719360,6995.495117,1
0.190000,486.844543,6995.495117,1
0.200000,486.973999,6995.495117,1
0.210000,487.035522,6995.495117,1
0.220000,487.147095,6995.495117,1
0.230000,487.253296,6995.495117,1
0.240000,487.346649,6995.495117,1
0.250000,487.423187,6995.495117,1
0.260000,487.513672,6995.495117,1
0.270000,487.606995,6995.495117,1
0.280000,487.677826,6995.495117,1
0.290000,487.755432,6995.495117,1
0.300000,487.876282,6937.205566,2
0.310000,487.804779,6878.916016,2
0.320000,487.822296,6820.626465,2
0.330000,487.794037,6762.336914,2
0.340000,487.827667,6704.047363,2
0.350000,487.786163,6645.757812,2
0.360000,487.815155,6587.468262,2
0.370000,487.752197,6529.178711,2
0.380000,487.775818,6470.889160,2
0.390000,487.701782,6412.599609,2
0.400000,487.612000,6354.310059,2
0.410000,487.614502,6296.020508,2
0.420000,487.563019,6237.730957,2
0.430000,487.588409,6179.441406,2
0.440000,487.509369,6121.151855,2
0.450000,487.368835,6062.862305,2
0.460000,487.397430,6004.572754,2
0.470000,487.302673,5946.283203,2
0.480000,487.153900,5887.993652,2
0.490000,487.193939,5829.704102,2
0.500000,487.142456,5771.414551,2
0.510000,486.977234,5713.125000,2
0.520000,487.000824,5654.835449,2
0.530000,486.885315,5596.545898,2
0.540000,486.735474,5538.256348,2
0.550000,486.585968,5479.966797,2
0.560000,486.622467,5421.677246,2
0.570000,486.501587,5363.387695,2
0.580000,486.365662,5305.098145,2
0.590000,486.213318,5246.808594,2
0.600000,489.181274,6995.495117,3
0.610000,489.906555,6995.495117,3
0.620000,489.995972,6995.495117,3
0.630000,489.970917,6995.495117,3
0.640000,489.979156,6995.495117,3
0.650000,489.983429,6995.495117,3
0.660000,489.998474,6995.495117,3
0.670000,490.018127,6995.495117,3
0.680000,490.044250,6995.495117,3
0.690000,490.058899,6995.495117,3
0.700000,490.119324,6995.495117,3
0.710000,490.134369,6995.495117,3
0.720000,490.141876,6995.495117,3
0.730000,490.152252,6995.495117,3
0.740000,490.169403,6995.495117,3
0.750000,490.199097,6995.495117,3
0.760000,490.223755,6995.495117,3
0.770000,490.265259,6995.495117,3
0.780000,490.278137,6995.495117,3
0.790000,490.302429,6995.495117,3
0.800000,490.339630,6995.495117,3
0.810000,490.324982,6995.495117,3
0.820000,490.365753,6995.495117,3
0.830000,490.373260,6995.495117,3
0.839999,490.401520,6995.495117,3
0.849999,490.422974,6995.495117,3
0.859999,490.439423,6995.495117,3
0.869999,490.469818,6995.495117,3
0.879999,490.505585,6995.495117,3
0.889999,490.509521,6995.495117,3
