flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011133804_acf,13:38:04,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,541.718994,223.912949,0.586662,250.956146

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,390.713806,6995.495117,1
0.010000,501.556641,6995.495117,1
0.020000,526.555176,6995.495117,1
0.030000,531.699646,6995.495117,1
0.040000,532.733215,6995.495117,1
0.050000,533.003906,6995.495117,1
0.060000,533.235291,6995.495117,1
0.070000,533.418030,6995.495117,1
0.080000,533.574341,6995.495117,1
0.090000,533.647644,6995.495117,1
0.100000,533.750305,6995.495117,1
0.110000,533.724548,6995.495117,1
0.120000,533.741333,6995.495117,1
0.130000,533.724548,6995.495117,1
0.140000,533.716675,6995.495117,1
0.150000,533.678406,6995.495117,1
0.160000,533.645142,6995.495117,1
0.170000,533.586487,6995.495117,1
0.180000,533.532471,6995.495117,1
0.190000,533.479919,6995.495117,1
0.200000,533.447388,6995.495117,1
0.210000,533.365112,6995.495117,1
0.220000,533.282532,6995.495117,1
0.230000,533.223877,6995.495117,1
0.240000,533.156982,6995.495117,1
0.250000,533.077576,6995.495117,1
0.260000,532.998535,6995.495117,1
0.270000,532.925232,6995.495117,1
0.280000,532.819763,6995.495117,1
0.290000,532.737488,6995.495117,1
0.300000,532.697815,6937.205566,2
0.310000,532.633057,6878.916016,2
0.320000,532.519348,6820.626465,2
0.330000,532.492493,6762.336914,2
0.340000,532.410645,6704.047363,2
0.350000,532.355164,6645.757812,2
0.360000,532.254700,6587.468262,2
0.370000,532.188904,6529.178711,2
0.380000,532.085876,6470.889160,2
0.390000,532.009705,6412.599609,2
0.400000,531.953186,6354.310059,2
0.410000,531.819824,6296.020508,2
0.420000,531.765808,6237.730957,2
0.430000,531.660706,6179.441406,2
0.440000,531.587708,6121.151855,2
0.450000,531.449341,6062.862305,2
0.460000,531.390320,6004.572754,2
0.470000,531.261902,5946.283203,2
0.480000,531.135315,5887.993652,2
0.490000,531.042725,5829.704102,2
0.500000,530.996582,5771.414551,2
0.510000,530.821350,5713.125000,2
0.520000,530.737305,5654.835449,2
0.530000,530.600281,5596.545898,2
0.540000,530.460144,5538.256348,2
0.550000,530.320312,5479.966797,2
0.560000,530.223022,5421.677246,2
0.570000,530.073547,5363.387695,2
0.580000,529.940491,5305.098145,2
0.590000,529.773499,5246.808594,2
0.600000,530.239136,6995.495117,3
0.610000,530.488342,6995.495117,3
0.620000,530.370361,6995.495117,3
0.630000,530.218750,6995.495117,3
0.640000,530.104309,6995.495117,3
0.650000,529.970886,6995.495117,3
0.660000,529.836426,6995.495117,3
0.670000,529.741638,6995.495117,3
0.680000,529.633972,6995.495117,3
0.690000,529.522034,6995.495117,3
0.700000,529.453735,6995.495117,3
0.710000,529.283142,6995.495117,3
0.720000,529.175537,6995.495117,3
0.730000,529.064636,6995.495117,3
0.740000,528.940918,6995.495117,3
0.750000,528.842896,6995.495117,3
0.760000,528.719543,6995.495117,3
0.770000,528.601196,6995.495117,3
0.780000,528.481384,6995.495117,3
0.790000,528.370117,6995.495117,3
0.800000,528.300049,6995.495117,3
0.810000,528.173096,6995.495117,3
0.820000,528.050049,6995.495117,3
0.830000,527.935242,6995.495117,3
0.839999,527.833679,6995.495117,3
0.849999,527.701050,6995.495117,3
0.859999,527.611267,6995.495117,3
0.869999,527.505066,6995.495117,3
0.879999,527.394897,6995.495117,3
0.889999,527.285095,6995.495117,3
