flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251014143211_ebd,14:32:11,2025-10-14,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,368.185455,234.486221,0.363130,1110.273926

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,306.015015,6995.495117,1
0.010000,340.064392,6995.495117,1
0.020000,349.767212,6995.495117,1
0.030000,353.157532,6995.495117,1
0.040000,354.144928,6995.495117,1
0.050000,354.407074,6995.495117,1
0.060000,354.422821,6995.495117,1
0.070000,354.376678,6995.495117,1
0.080000,354.326965,6995.495117,1
0.090000,354.230774,6995.495117,1
0.100000,354.176056,6995.495117,1
0.110000,354.088074,6995.495117,1
0.120000,354.021545,6995.495117,1
0.130000,353.923553,6995.495117,1
0.140000,353.853455,6995.495117,1
0.150000,353.779083,6995.495117,1
0.160000,353.709351,6995.495117,1
0.170000,353.642120,6995.495117,1
0.180000,353.571655,6995.495117,1
0.190000,353.492249,6995.495117,1
0.200000,353.434326,6995.495117,1
0.210000,353.343140,6995.495117,1
0.220000,353.263367,6995.495117,1
0.230000,353.182922,6995.495117,1
0.240000,353.099945,6995.495117,1
0.250000,353.012329,6995.495117,1
0.260000,352.928284,6995.495117,1
0.270000,352.860687,6995.495117,1
0.280000,352.789520,6995.495117,1
0.290000,352.700470,6995.495117,1
0.300000,352.636108,6937.205566,2
0.310000,352.455505,6878.916016,2
0.320000,352.342834,6820.626465,2
0.330000,352.175842,6762.336914,2
0.340000,352.078552,6704.047363,2
0.350000,351.902618,6645.757812,2
0.360000,351.799957,6587.468262,2
0.370000,351.615082,6529.178711,2
0.380000,351.517090,6470.889160,2
0.390000,351.311096,6412.599609,2
0.400000,351.131927,6354.310059,2
0.410000,350.989227,6296.020508,2
0.420000,350.796448,6237.730957,2
0.430000,350.708832,6179.441406,2
0.440000,350.515381,6121.151855,2
0.450000,350.271454,6062.862305,2
0.460000,350.169525,6004.572754,2
0.470000,349.966766,5946.283203,2
0.480000,349.746460,5887.993652,2
0.490000,349.644897,5829.704102,2
0.500000,349.454285,5771.414551,2
0.510000,349.193573,5713.125000,2
0.520000,349.075928,5654.835449,2
0.530000,348.872772,5596.545898,2
0.540000,348.640320,5538.256348,2
0.550000,348.398560,5479.966797,2
0.560000,348.292358,5421.677246,2
0.570000,348.070251,5363.387695,2
0.580000,347.828857,5305.098145,2
0.590000,347.571716,5246.808594,2
0.600000,349.815857,6995.495117,3
0.610000,350.153442,6995.495117,3
0.620000,350.090851,6995.495117,3
0.630000,349.964630,6995.495117,3
0.640000,349.845520,6995.495117,3
0.650000,349.726074,6995.495117,3
0.660000,349.615570,6995.495117,3
0.670000,349.504364,6995.495117,3
0.680000,349.406372,6995.495117,3
0.690000,349.290131,6995.495117,3
0.700000,349.209656,6995.495117,3
0.710000,349.072327,6995.495117,3
0.720000,348.981873,6995.495117,3
0.730000,348.871338,6995.495117,3
0.740000,348.766571,6995.495117,3
0.750000,348.656067,6995.495117,3
0.760000,348.545898,6995.495117,3
0.770000,348.431122,6995.495117,3
0.780000,348.319519,6995.495117,3
0.790000,348.218323,6995.495117,3
0.800000,348.113190,6995.495117,3
0.810000,347.972992,6995.495117,3
0.820000,347.865692,6995.495117,3
0.830000,347.750916,6995.495117,3
0.839999,347.634674,6995.495117,3
0.849999,347.523102,6995.495117,3
0.859999,347.394714,6995.495117,3
0.869999,347.284546,6995.495117,3
0.879999,347.166901,6995.495117,3
0.889999,347.051392,6995.495117,3
