flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251014145451_f6a,14:54:51,2025-10-14,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,499.330017,162.358047,0.674848,77.392815

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,328.742981,6995.495117,1
0.010000,456.763397,6995.495117,1
0.020000,487.177490,6995.495117,1
0.030000,491.825592,6995.495117,1
0.040000,492.322693,6995.495117,1
0.050000,492.448578,6995.495117,1
0.060000,492.642395,6995.495117,1
0.070000,492.769348,6995.495117,1
0.080000,492.844452,6995.495117,1
0.090000,492.862335,6995.495117,1
0.100000,492.878082,6995.495117,1
0.110000,492.805115,6995.495117,1
0.120000,492.770447,6995.495117,1
0.130000,492.687469,6995.495117,1
0.140000,492.648132,6995.495117,1
0.150000,492.584839,6995.495117,1
0.160000,492.517578,6995.495117,1
0.170000,492.437134,6995.495117,1
0.180000,492.357361,6995.495117,1
0.190000,492.294434,6995.495117,1
0.200000,492.259735,6995.495117,1
0.210000,492.151733,6995.495117,1
0.220000,492.092743,6995.495117,1
0.230000,492.001892,6995.495117,1
0.240000,491.938934,6995.495117,1
0.250000,491.858826,6995.495117,1
0.260000,491.787659,6995.495117,1
0.270000,491.731171,6995.495117,1
0.280000,491.641388,6995.495117,1
0.290000,491.579895,6995.495117,1
0.300000,491.524811,6937.205566,2
0.310000,491.488708,6878.916016,2
0.320000,491.396790,6820.626465,2
0.330000,491.364227,6762.336914,2
0.340000,491.303436,6704.047363,2
0.350000,491.267334,6645.757812,2
0.360000,491.183990,6587.468262,2
0.370000,491.111755,6529.178711,2
0.380000,491.046295,6470.889160,2
0.390000,490.987671,6412.599609,2
0.400000,490.948334,6354.310059,2
0.410000,490.826721,6296.020508,2
0.420000,490.770233,6237.730957,2
0.430000,490.690826,6179.441406,2
0.440000,490.637177,6121.151855,2
0.450000,490.524536,6062.862305,2
0.460000,490.431549,6004.572754,2
0.470000,490.352142,5946.283203,2
0.480000,490.240570,5887.993652,2
0.490000,490.172974,5829.704102,2
0.500000,490.089294,5771.414551,2
0.510000,489.966980,5713.125000,2
0.520000,489.876862,5654.835449,2
0.530000,489.777435,5596.545898,2
0.540000,489.634766,5538.256348,2
0.550000,489.496704,5479.966797,2
0.560000,489.410522,5421.677246,2
0.570000,489.304657,5363.387695,2
0.580000,489.176636,5305.098145,2
0.590000,489.007111,5246.808594,2
0.600000,489.386566,6995.495117,3
0.610000,489.668732,6995.495117,3
0.620000,489.543213,6995.495117,3
0.630000,489.414459,6995.495117,3
0.640000,489.293945,6995.495117,3
0.650000,489.191650,6995.495117,3
0.660000,489.086151,6995.495117,3
0.670000,488.980652,6995.495117,3
0.680000,488.876587,6995.495117,3
0.690000,488.800049,6995.495117,3
0.700000,488.721008,6995.495117,3
0.710000,488.614807,6995.495117,3
0.720000,488.521088,6995.495117,3
0.730000,488.426331,6995.495117,3
0.740000,488.332275,6995.495117,3
0.750000,488.221405,6995.495117,3
0.760000,488.134857,6995.495117,3
0.770000,488.044037,6995.495117,3
0.780000,487.947815,6995.495117,3
0.790000,487.848389,6995.495117,3
0.800000,487.785095,6995.495117,3
0.810000,487.649902,6995.495117,3
0.820000,487.547272,6995.495117,3
0.830000,487.470032,6995.495117,3
0.839999,487.338409,6995.495117,3
0.849999,487.281921,6995.495117,3
0.859999,487.162842,6995.495117,3
0.869999,487.079498,6995.495117,3
0.879999,486.991516,6995.495117,3
0.889999,486.913208,6995.495117,3
