flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015114001_5b6,11:40:01,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,311.347656,179.253815,0.424265,496.224121

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,252.660156,6995.495117,1
0.010000,289.442902,6995.495117,1
0.020000,299.346680,6995.495117,1
0.030000,303.515198,6995.495117,1
0.040000,305.277222,6995.495117,1
0.050000,306.118713,6995.495117,1
0.060000,306.560394,6995.495117,1
0.070000,306.811096,6995.495117,1
0.080000,306.997406,6995.495117,1
0.090000,307.109009,6995.495117,1
0.100000,307.208771,6995.495117,1
0.110000,307.269928,6995.495117,1
0.120000,307.328217,6995.495117,1
0.130000,307.403320,6995.495117,1
0.140000,307.459839,6995.495117,1
0.150000,307.522064,6995.495117,1
0.160000,307.602173,6995.495117,1
0.170000,307.680481,6995.495117,1
0.180000,307.750580,6995.495117,1
0.190000,307.830322,6995.495117,1
0.200000,307.940125,6995.495117,1
0.210000,307.983765,6995.495117,1
0.220000,308.039185,6995.495117,1
0.230000,308.113586,6995.495117,1
0.240000,308.182251,6995.495117,1
0.250000,308.245911,6995.495117,1
0.260000,308.310638,6995.495117,1
0.270000,308.368927,6995.495117,1
0.280000,308.446167,6995.495117,1
0.290000,308.508026,6995.495117,1
0.300000,308.580627,6937.205566,2
0.310000,308.549530,6878.916016,2
0.320000,308.601013,6820.626465,2
0.330000,308.589935,6762.336914,2
0.340000,308.637512,6704.047363,2
0.350000,308.629639,6645.757812,2
0.360000,308.671844,6587.468262,2
0.370000,308.644287,6529.178711,2
0.380000,308.680786,6470.889160,2
0.390000,308.654663,6412.599609,2
0.400000,308.627472,6354.310059,2
0.410000,308.621765,6296.020508,2
0.420000,308.559174,6237.730957,2
0.430000,308.595642,6179.441406,2
0.440000,308.539520,6121.151855,2
0.450000,308.482635,6062.862305,2
0.460000,308.502319,6004.572754,2
0.470000,308.430420,5946.283203,2
0.480000,308.362488,5887.993652,2
0.490000,308.376434,5829.704102,2
0.500000,308.316711,5771.414551,2
0.510000,308.229095,5713.125000,2
0.520000,308.268433,5654.835449,2
0.530000,308.174744,5596.545898,2
0.540000,308.104279,5538.256348,2
0.550000,308.018799,5479.966797,2
0.560000,308.026306,5421.677246,2
0.570000,307.945862,5363.387695,2
0.580000,307.854309,5305.098145,2
0.590000,307.763458,5246.808594,2
0.600000,309.274078,6995.495117,3
0.610000,309.389954,6995.495117,3
0.620000,309.394226,6995.495117,3
0.630000,309.370270,6995.495117,3
0.640000,309.326660,6995.495117,3
0.650000,309.287323,6995.495117,3
0.660000,309.235809,6995.495117,3
0.670000,309.203278,6995.495117,3
0.680000,309.155334,6995.495117,3
0.690000,309.099915,6995.495117,3
0.700000,309.056641,6995.495117,3
0.710000,308.977234,6995.495117,3
0.720000,308.928955,6995.495117,3
0.730000,308.886047,6995.495117,3
0.740000,308.834198,6995.495117,3
0.750000,308.759094,6995.495117,3
0.760000,308.716888,6995.495117,3
0.770000,308.662903,6995.495117,3
0.780000,308.606384,6995.495117,3
0.790000,308.548096,6995.495117,3
0.800000,308.512695,6995.495117,3
0.810000,308.460846,6995.495117,3
0.820000,308.408264,6995.495117,3
0.830000,308.329590,6995.495117,3
0.839999,308.278442,6995.495117,3
0.849999,308.216583,6995.495117,3
0.859999,308.156860,6995.495117,3
0.869999,308.080688,6995.495117,3
0.879999,308.022369,6995.495117,3
0.889999,307.959808,6995.495117,3
