flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015114824_267,11:48:24,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,213.012527,164.162628,0.229329,1377.727783

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,188.541412,6995.495117,1
0.010000,201.385254,6995.495117,1
0.020000,204.096436,6995.495117,1
0.030000,205.248001,6995.495117,1
0.040000,205.795532,6995.495117,1
0.050000,206.073044,6995.495117,1
0.060000,206.218964,6995.495117,1
0.070000,206.293701,6995.495117,1
0.080000,206.358078,6995.495117,1
0.090000,206.379883,6995.495117,1
0.100000,206.410645,6995.495117,1
0.110000,206.398483,6995.495117,1
0.120000,206.392761,6995.495117,1
0.130000,206.375595,6995.495117,1
0.140000,206.385620,6995.495117,1
0.150000,206.378464,6995.495117,1
0.160000,206.377747,6995.495117,1
0.170000,206.370239,6995.495117,1
0.180000,206.350922,6995.495117,1
0.190000,206.339844,6995.495117,1
0.200000,206.349487,6995.495117,1
0.210000,206.302292,6995.495117,1
0.220000,206.297272,6995.495117,1
0.230000,206.283691,6995.495117,1
0.240000,206.277252,6995.495117,1
0.250000,206.256516,6995.495117,1
0.260000,206.241486,6995.495117,1
0.270000,206.224686,6995.495117,1
0.280000,206.212524,6995.495117,1
0.290000,206.198578,6995.495117,1
0.300000,206.188919,6937.205566,2
0.310000,206.100586,6878.916016,2
0.320000,206.065186,6820.626465,2
0.330000,205.987579,6762.336914,2
0.340000,205.953949,6704.047363,2
0.350000,205.878494,6645.757812,2
0.360000,205.844879,6587.468262,2
0.370000,205.757614,6529.178711,2
0.380000,205.719711,6470.889160,2
0.390000,205.629944,6412.599609,2
0.400000,205.540894,6354.310059,2
0.410000,205.502625,6296.020508,2
0.420000,205.408569,6237.730957,2
0.430000,205.354935,6179.441406,2
0.440000,205.273392,6121.151855,2
0.450000,205.163956,6062.862305,2
0.460000,205.121399,6004.572754,2
0.470000,205.013031,5946.283203,2
0.480000,204.932220,5887.993652,2
0.490000,204.894669,5829.704102,2
0.500000,204.814560,5771.414551,2
0.510000,204.700119,5713.125000,2
0.520000,204.661133,5654.835449,2
0.530000,204.550629,5596.545898,2
0.540000,204.442261,5538.256348,2
0.550000,204.330688,5479.966797,2
0.560000,204.300644,5421.677246,2
0.570000,204.197281,5363.387695,2
0.580000,204.086426,5305.098145,2
0.590000,203.978058,5246.808594,2
0.600000,205.182556,6995.495117,3
0.610000,205.335968,6995.495117,3
0.620000,205.367798,6995.495117,3
0.630000,205.347778,6995.495117,3
0.640000,205.314163,6995.495117,3
0.650000,205.274826,6995.495117,3
0.660000,205.254440,6995.495117,3
0.670000,205.226898,6995.495117,3
0.680000,205.177902,6995.495117,3
0.690000,205.141785,6995.495117,3
0.700000,205.118179,6995.495117,3
0.710000,205.065964,6995.495117,3
0.720000,205.034134,6995.495117,3
0.730000,204.984787,6995.495117,3
0.740000,204.957611,6995.495117,3
0.750000,204.909683,6995.495117,3
0.760000,204.881424,6995.495117,3
0.770000,204.836365,6995.495117,3
0.780000,204.806335,6995.495117,3
0.790000,204.765564,6995.495117,3
0.800000,204.735519,6995.495117,3
0.810000,204.689026,6995.495117,3
0.820000,204.656845,6995.495117,3
0.830000,204.606049,6995.495117,3
0.839999,204.571014,6995.495117,3
0.849999,204.554199,6995.495117,3
0.859999,204.496979,6995.495117,3
0.869999,204.464432,6995.495117,3
0.879999,204.431885,6995.495117,3
0.889999,204.387543,6995.495117,3
