flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015115806_0be,11:58:06,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,178.760101,117.867706,0.340638,542.980896

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,149.696945,6995.495117,1
0.010000,164.079315,6995.495117,1
0.020000,169.233078,6995.495117,1
0.030000,172.067993,6995.495117,1
0.040000,173.543579,6995.495117,1
0.050000,174.304611,6995.495117,1
0.060000,174.720520,6995.495117,1
0.070000,174.945480,6995.495117,1
0.080000,175.101044,6995.495117,1
0.090000,175.194382,6995.495117,1
0.100000,175.262695,6995.495117,1
0.110000,175.293442,6995.495117,1
0.120000,175.334930,6995.495117,1
0.130000,175.363541,6995.495117,1
0.140000,175.385712,6995.495117,1
0.150000,175.401443,6995.495117,1
0.160000,175.406815,6995.495117,1
0.170000,175.400726,6995.495117,1
0.180000,175.428268,6995.495117,1
0.190000,175.436859,6995.495117,1
0.200000,175.453308,6995.495117,1
0.210000,175.466888,6995.495117,1
0.220000,175.467606,6995.495117,1
0.230000,175.483353,6995.495117,1
0.240000,175.484772,6995.495117,1
0.250000,175.493713,6995.495117,1
0.260000,175.514465,6995.495117,1
0.270000,175.516251,6995.495117,1
0.280000,175.530548,6995.495117,1
0.290000,175.536987,6995.495117,1
0.300000,175.568466,6937.205566,2
0.310000,175.513748,6878.916016,2
0.320000,175.511597,6820.626465,2
0.330000,175.486923,6762.336914,2
0.340000,175.486923,6704.047363,2
0.350000,175.436142,6645.757812,2
0.360000,175.434708,6587.468262,2
0.370000,175.390366,6529.178711,2
0.380000,175.383926,6470.889160,2
0.390000,175.343872,6412.599609,2
0.400000,175.300949,6354.310059,2
0.410000,175.279144,6296.020508,2
0.420000,175.234436,6237.730957,2
0.430000,175.234085,6179.441406,2
0.440000,175.186157,6121.151855,2
0.450000,175.125717,6062.862305,2
0.460000,175.122864,6004.572754,2
0.470000,175.077789,5946.283203,2
0.480000,175.015564,5887.993652,2
0.490000,175.002701,5829.704102,2
0.500000,174.960846,5771.414551,2
0.510000,174.893616,5713.125000,2
0.520000,174.891113,5654.835449,2
0.530000,174.848557,5596.545898,2
0.540000,174.787766,5538.256348,2
0.550000,174.717667,5479.966797,2
0.560000,174.711945,5421.677246,2
0.570000,174.653290,5363.387695,2
0.580000,174.591415,5305.098145,2
0.590000,174.525620,5246.808594,2
0.600000,175.586700,6995.495117,3
0.610000,175.757294,6995.495117,3
0.620000,175.818085,6995.495117,3
0.630000,175.854568,6995.495117,3
0.640000,175.863861,6995.495117,3
0.650000,175.878876,6995.495117,3
0.660000,175.875671,6995.495117,3
0.670000,175.877457,6995.495117,3
0.680000,175.883530,6995.495117,3
0.690000,175.886749,6995.495117,3
0.700000,175.890320,6995.495117,3
0.710000,175.879959,6995.495117,3
0.720000,175.872803,6995.495117,3
0.730000,175.883896,6995.495117,3
0.740000,175.878525,6995.495117,3
0.750000,175.884247,6995.495117,3
0.760000,175.887466,6995.495117,3
0.770000,175.881027,6995.495117,3
0.780000,175.884598,6995.495117,3
0.790000,175.887817,6995.495117,3
0.800000,175.881378,6995.495117,3
0.810000,175.876022,6995.495117,3
0.820000,175.873871,6995.495117,3
0.830000,175.885681,6995.495117,3
0.839999,175.877090,6995.495117,3
0.849999,175.879593,6995.495117,3
0.859999,175.872452,6995.495117,3
0.869999,175.880676,6995.495117,3
0.879999,175.868149,6995.495117,3
0.889999,175.878876,6995.495117,3
