flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015125641_bbf,12:56:41,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,174.573807,126.284836,0.276611,787.623474

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,153.229599,6995.495117,1
0.010000,164.496307,6995.495117,1
0.020000,168.274643,6995.495117,1
0.030000,170.251602,6995.495117,1
0.040000,171.294815,6995.495117,1
0.050000,171.849136,6995.495117,1
0.060000,172.172424,6995.495117,1
0.070000,172.351959,6995.495117,1
0.080000,172.473907,6995.495117,1
0.090000,172.563309,6995.495117,1
0.100000,172.616608,6995.495117,1
0.110000,172.647354,6995.495117,1
0.120000,172.679184,6995.495117,1
0.130000,172.729614,6995.495117,1
0.140000,172.760727,6995.495117,1
0.150000,172.778244,6995.495117,1
0.160000,172.797913,6995.495117,1
0.170000,172.836899,6995.495117,1
0.180000,172.847275,6995.495117,1
0.190000,172.883392,6995.495117,1
0.200000,172.906631,6995.495117,1
0.210000,172.916656,6995.495117,1
0.220000,172.940964,6995.495117,1
0.230000,172.958847,6995.495117,1
0.240000,172.980316,6995.495117,1
0.250000,173.005707,6995.495117,1
0.260000,173.023575,6995.495117,1
0.270000,173.049332,6995.495117,1
0.280000,173.091171,6995.495117,1
0.290000,173.096893,6995.495117,1
0.300000,173.126572,6937.205566,2
0.310000,173.097610,6878.916016,2
0.320000,173.116211,6820.626465,2
0.330000,173.097961,6762.336914,2
0.340000,173.106903,6704.047363,2
0.350000,173.080093,6645.757812,2
0.360000,173.096542,6587.468262,2
0.370000,173.072937,6529.178711,2
0.380000,173.088669,6470.889160,2
0.390000,173.053986,6412.599609,2
0.400000,173.030380,6354.310059,2
0.410000,173.027878,6296.020508,2
0.420000,173.011063,6237.730957,2
0.430000,173.022507,6179.441406,2
0.440000,172.994965,6121.151855,2
0.450000,172.956345,6062.862305,2
0.460000,172.961716,6004.572754,2
0.470000,172.938110,5946.283203,2
0.480000,172.905212,5887.993652,2
0.490000,172.917007,5829.704102,2
0.500000,172.904495,5771.414551,2
0.510000,172.848694,5713.125000,2
0.520000,172.864441,5654.835449,2
0.530000,172.835464,5596.545898,2
0.540000,172.799713,5538.256348,2
0.550000,172.751068,5479.966797,2
0.560000,172.765015,5421.677246,2
0.570000,172.726746,5363.387695,2
0.580000,172.690277,5305.098145,2
0.590000,172.657364,5246.808594,2
0.600000,173.519257,6995.495117,3
0.610000,173.696991,6995.495117,3
0.620000,173.778183,6995.495117,3
0.630000,173.838623,6995.495117,3
0.640000,173.870438,6995.495117,3
0.650000,173.892624,6995.495117,3
0.660000,173.923737,6995.495117,3
0.670000,173.933746,6995.495117,3
0.680000,173.951981,6995.495117,3
0.690000,173.979874,6995.495117,3
0.700000,174.024231,6995.495117,3
0.710000,174.028519,6995.495117,3
0.720000,174.047470,6995.495117,3
0.730000,174.072861,6995.495117,3
0.740000,174.105042,6995.495117,3
0.750000,174.104340,6995.495117,3
0.760000,174.117203,6995.495117,3
0.770000,174.142242,6995.495117,3
0.780000,174.168701,6995.495117,3
0.790000,174.189804,6995.495117,3
0.800000,174.223785,6995.495117,3
0.810000,174.229858,6995.495117,3
0.820000,174.268127,6995.495117,3
0.830000,174.271347,6995.495117,3
0.839999,174.284943,6995.495117,3
0.849999,174.303528,6995.495117,3
0.859999,174.328201,6995.495117,3
0.869999,174.352173,6995.495117,3
0.879999,174.370758,6995.495117,3
0.889999,174.389359,6995.495117,3
