flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015143941_3bf,14:39:41,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,508.976746,131.600983,0.741440,112.548203

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,288.067474,6995.495117,1
0.010000,433.394562,6995.495117,1
0.020000,473.105896,6995.495117,1
0.030000,482.683167,6995.495117,1
0.040000,486.254822,6995.495117,1
0.050000,488.085510,6995.495117,1
0.060000,489.217041,6995.495117,1
0.070000,489.926575,6995.495117,1
0.080000,490.430481,6995.495117,1
0.090000,490.804901,6995.495117,1
0.100000,491.162903,6995.495117,1
0.110000,491.379272,6995.495117,1
0.120000,491.623535,6995.495117,1
0.130000,491.811279,6995.495117,1
0.140000,492.015137,6995.495117,1
0.150000,492.238647,6995.495117,1
0.160000,492.413177,6995.495117,1
0.170000,492.560516,6995.495117,1
0.180000,492.728577,6995.495117,1
0.190000,492.899170,6995.495117,1
0.200000,493.085510,6995.495117,1
0.210000,493.191376,6995.495117,1
0.220000,493.333710,6995.495117,1
0.230000,493.447418,6995.495117,1
0.240000,493.595490,6995.495117,1
0.250000,493.732452,6995.495117,1
0.260000,493.839020,6995.495117,1
0.270000,493.959198,6995.495117,1
0.280000,494.055023,6995.495117,1
0.290000,494.163025,6995.495117,1
0.300000,494.222748,6937.205566,2
0.310000,494.158752,6878.916016,2
0.320000,494.180573,6820.626465,2
0.330000,494.129791,6762.336914,2
0.340000,494.141235,6704.047363,2
0.350000,494.042877,6645.757812,2
0.360000,494.047180,6587.468262,2
0.370000,493.927368,6529.178711,2
0.380000,493.918762,6470.889160,2
0.390000,493.774658,6412.599609,2
0.400000,493.610870,6354.310059,2
0.410000,493.511078,6296.020508,2
0.420000,493.341919,6237.730957,2
0.430000,493.272888,6179.441406,2
0.440000,493.093018,6121.151855,2
0.450000,492.876282,6062.862305,2
0.460000,492.768646,6004.572754,2
0.470000,492.551575,5946.283203,2
0.480000,492.291565,5887.993652,2
0.490000,492.195740,5829.704102,2
0.500000,492.016907,5771.414551,2
0.510000,491.711853,5713.125000,2
0.520000,491.617432,5654.835449,2
0.530000,491.356384,5596.545898,2
0.540000,491.057404,5538.256348,2
0.550000,490.760559,5479.966797,2
0.560000,490.648621,5421.677246,2
0.570000,490.395782,5363.387695,2
0.580000,490.089294,5305.098145,2
0.590000,489.745605,5246.808594,2
0.600000,492.902039,6995.495117,3
0.610000,493.602997,6995.495117,3
0.620000,493.573669,6995.495117,3
0.630000,493.434906,6995.495117,3
0.640000,493.336212,6995.495117,3
0.650000,493.267548,6995.495117,3
0.660000,493.174194,6995.495117,3
0.670000,493.086945,6995.495117,3
0.680000,493.055450,6995.495117,3
0.690000,492.950317,6995.495117,3
0.700000,492.944611,6995.495117,3
0.710000,492.816559,6995.495117,3
0.720000,492.775787,6995.495117,3
0.730000,492.687836,6995.495117,3
0.740000,492.625946,6995.495117,3
0.750000,492.599487,6995.495117,3
0.760000,492.567657,6995.495117,3
0.770000,492.540466,6995.495117,3
0.780000,492.485046,6995.495117,3
0.790000,492.478607,6995.495117,3
0.800000,492.457855,6995.495117,3
0.810000,492.407806,6995.495117,3
0.820000,492.369537,6995.495117,3
0.830000,492.374908,6995.495117,3
0.839999,492.374542,6995.495117,3
0.849999,492.367035,6995.495117,3
0.859999,492.348419,6995.495117,3
0.869999,492.358093,6995.495117,3
0.879999,492.327698,6995.495117,3
0.889999,492.382751,6995.495117,3
