flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015151046_58a,15:10:46,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,247.865280,211.540466,0.146551,1666.559814

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,229.017380,6995.495117,1
0.010000,239.442947,6995.495117,1
0.020000,241.069794,6995.495117,1
0.030000,241.486069,6995.495117,1
0.040000,241.634125,6995.495117,1
0.050000,241.682770,6995.495117,1
0.060000,241.690994,6995.495117,1
0.070000,241.679199,6995.495117,1
0.080000,241.658096,6995.495117,1
0.090000,241.634491,6995.495117,1
0.100000,241.621262,6995.495117,1
0.110000,241.577988,6995.495117,1
0.120000,241.547226,6995.495117,1
0.130000,241.531128,6995.495117,1
0.140000,241.466400,6995.495117,1
0.150000,241.418121,6995.495117,1
0.160000,241.374130,6995.495117,1
0.170000,241.349823,6995.495117,1
0.180000,241.319778,6995.495117,1
0.190000,241.289734,6995.495117,1
0.200000,241.263626,6995.495117,1
0.210000,241.224640,6995.495117,1
0.220000,241.181015,6995.495117,1
0.230000,241.150620,6995.495117,1
0.240000,241.129517,6995.495117,1
0.250000,241.064789,6995.495117,1
0.260000,241.040466,6995.495117,1
0.270000,241.017227,6995.495117,1
0.280000,240.966080,6995.495117,1
0.290000,240.923172,6995.495117,1
0.300000,240.911011,6937.205566,2
0.310000,240.826965,6878.916016,2
0.320000,240.779755,6820.626465,2
0.330000,240.706802,6762.336914,2
0.340000,240.647079,6704.047363,2
0.350000,240.588791,6645.757812,2
0.360000,240.540146,6587.468262,2
0.370000,240.451462,6529.178711,2
0.380000,240.400314,6470.889160,2
0.390000,240.326279,6412.599609,2
0.400000,240.231506,6354.310059,2
0.410000,240.181091,6296.020508,2
0.420000,240.090607,6237.730957,2
0.430000,240.053421,6179.441406,2
0.440000,239.976166,6121.151855,2
0.450000,239.865295,6062.862305,2
0.460000,239.804153,6004.572754,2
0.470000,239.728333,5946.283203,2
0.480000,239.622116,5887.993652,2
0.490000,239.572052,5829.704102,2
0.500000,239.485504,5771.414551,2
0.510000,239.370697,5713.125000,2
0.520000,239.341385,5654.835449,2
0.530000,239.233017,5596.545898,2
0.540000,239.134308,5538.256348,2
0.550000,239.023087,5479.966797,2
0.560000,238.971237,5421.677246,2
0.570000,238.863235,5363.387695,2
0.580000,238.740570,5305.098145,2
0.590000,238.630768,5246.808594,2
0.600000,239.455109,6995.495117,3
0.610000,239.577057,6995.495117,3
0.620000,239.540939,6995.495117,3
0.630000,239.493729,6995.495117,3
0.640000,239.454025,6995.495117,3
0.650000,239.392883,6995.495117,3
0.660000,239.356049,6995.495117,3
0.670000,239.295609,6995.495117,3
0.680000,239.246613,6995.495117,3
0.690000,239.198685,6995.495117,3
0.700000,239.170425,6995.495117,3
0.710000,239.105347,6995.495117,3
0.720000,239.078171,6995.495117,3
0.730000,239.023087,6995.495117,3
0.740000,238.991623,6995.495117,3
0.750000,238.929749,6995.495117,3
0.760000,238.893265,6995.495117,3
0.770000,238.870743,6995.495117,3
0.780000,238.810303,6995.495117,3
0.790000,238.782410,6995.495117,3
0.800000,238.756302,6995.495117,3
0.810000,238.699432,6995.495117,3
0.820000,238.681915,6995.495117,3
0.830000,238.648651,6995.495117,3
0.839999,238.619690,6995.495117,3
0.849999,238.574631,6995.495117,3
0.859999,238.544937,6995.495117,3
0.869999,238.492004,6995.495117,3
0.879999,238.431580,6995.495117,3
0.889999,238.361832,6995.495117,3
