flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016124701_0ef,12:47:01,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,250.741653,95.719818,0.618253,61.933098

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,170.254471,6995.495117,1
0.010000,223.499893,6995.495117,1
0.020000,238.336807,6995.495117,1
0.030000,242.663025,6995.495117,1
0.040000,244.368561,6995.495117,1
0.050000,245.251892,6995.495117,1
0.060000,245.837326,6995.495117,1
0.070000,246.257538,6995.495117,1
0.080000,246.587631,6995.495117,1
0.090000,246.841904,6995.495117,1
0.100000,247.038605,6995.495117,1
0.110000,247.168427,6995.495117,1
0.120000,247.276779,6995.495117,1
0.130000,247.375839,6995.495117,1
0.140000,247.457748,6995.495117,1
0.150000,247.537140,6995.495117,1
0.160000,247.590424,6995.495117,1
0.170000,247.639420,6995.495117,1
0.180000,247.705215,6995.495117,1
0.190000,247.746353,6995.495117,1
0.200000,247.803925,6995.495117,1
0.210000,247.842194,6995.495117,1
0.220000,247.884399,6995.495117,1
0.230000,247.929459,6995.495117,1
0.240000,247.982025,6995.495117,1
0.250000,248.016006,6995.495117,1
0.260000,248.054626,6995.495117,1
0.270000,248.103256,6995.495117,1
0.280000,248.127579,6995.495117,1
0.290000,248.162628,6995.495117,1
0.300000,248.223068,6937.205566,2
0.310000,248.176224,6878.916016,2
0.320000,248.195526,6820.626465,2
0.330000,248.180145,6762.336914,2
0.340000,248.194092,6704.047363,2
0.350000,248.172638,6645.757812,2
0.360000,248.191589,6587.468262,2
0.370000,248.152969,6529.178711,2
0.380000,248.182648,6470.889160,2
0.390000,248.133667,6412.599609,2
0.400000,248.102539,6354.310059,2
0.410000,248.102188,6296.020508,2
0.420000,248.055695,6237.730957,2
0.430000,248.087173,6179.441406,2
0.440000,248.049622,6121.151855,2
0.450000,247.995621,6062.862305,2
0.460000,248.006348,6004.572754,2
0.470000,247.948410,5946.283203,2
0.480000,247.890121,5887.993652,2
0.490000,247.906570,5829.704102,2
0.500000,247.868652,5771.414551,2
0.510000,247.783905,5713.125000,2
0.520000,247.819656,5654.835449,2
0.530000,247.747772,5596.545898,2
0.540000,247.667664,5538.256348,2
0.550000,247.590424,5479.966797,2
0.560000,247.610443,5421.677246,2
0.570000,247.557877,5363.387695,2
0.580000,247.485275,5305.098145,2
0.590000,247.391220,5246.808594,2
0.600000,248.938324,6995.495117,3
0.610000,249.152191,6995.495117,3
0.620000,249.175079,6995.495117,3
0.630000,249.165054,6995.495117,3
0.640000,249.160767,6995.495117,3
0.650000,249.145035,6995.495117,3
0.660000,249.141098,6995.495117,3
0.670000,249.142883,6995.495117,3
0.680000,249.161118,6995.495117,3
0.690000,249.141098,6995.495117,3
0.700000,249.155762,6995.495117,3
0.710000,249.137161,6995.495117,3
0.720000,249.135010,6995.495117,3
0.730000,249.122147,6995.495117,3
0.740000,249.121429,6995.495117,3
0.750000,249.129654,6995.495117,3
0.760000,249.126083,6995.495117,3
0.770000,249.118927,6995.495117,3
0.780000,249.120712,6995.495117,3
0.790000,249.098175,6995.495117,3
0.800000,249.116776,6995.495117,3
0.810000,249.090668,6995.495117,3
0.820000,249.087097,6995.495117,3
0.830000,249.074219,6995.495117,3
0.839999,249.073502,6995.495117,3
0.849999,249.077438,6995.495117,3
0.859999,249.046326,6995.495117,3
0.869999,249.047043,6995.495117,3
0.879999,249.039886,6995.495117,3
0.889999,249.022003,6995.495117,3
