SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,id,barcode,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,05:31:17,2025-10-06,g34p_dark,mrk,,130,65002,,4.490917,2.923597,1.770801,14.907690,2.022248,1.651802,2.762269,0.740021,18.293343,22.395947,30.591518,0.441786,7.500000,PSF-00438_20251006053117_b25,65.287109,233.691574,0.720627,0.000000,0.000000,0.000000,0.5,0.80,0.014859,1.000000,75.84,61.95,22.08,22.66,22.66,90.30,156.9,-18.2,111.6,0,4.113,05:30:49,2025-10-06,-0.22,1,0.440,0.780,-2.110,0.884,64.960,32.184,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.483915,2.516599,1.657481,0.569116,0.306509,0.007073,0.071636,0.107347,65.287109,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053117_b25,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
2,05:32:24,2025-10-06,g34p_dark,mrk,,153,,,0.050892,2.922694,0.050021,1.070519,1.764211,1.737513,3.638763,1.874552,19.243212,19.538893,40.299835,0.441786,7.500000,PSF-00438_20251006053224_0fe,79.331161,333.291656,0.761977,0.000000,0.000000,0.000000,0.5,0.80,0.007472,1.000000,65.58,64.58,22.23,27.28,27.28,90.29,156.8,156.7,0.1,0,4.109,05:30:49,2025-10-06,-0.22,1,-0.090,-0.574,-1.902,0.013,55.313,51.154,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.487289,2.503263,1.656533,0.938004,0.304715,0.058502,0.082494,0.107323,79.378006,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053224_0fe,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
3,05:33:10,2025-10-06,g34p_dark,mrk,,165,,,0.077830,2.921324,0.075811,0.784992,1.790974,1.771379,2.702749,0.911775,19.616280,19.833267,29.930277,0.441786,7.500000,PSF-00438_20251006053310_d1f,116.415024,603.924377,0.807236,0.000000,0.000000,0.000000,0.5,0.80,0.008430,1.000000,66.04,65.32,22.36,22.30,22.30,90.30,156.7,157.2,-0.4,0,4.108,05:30:49,2025-10-06,-0.22,1,-0.045,-0.588,-2.326,-0.520,20.178,106.588,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488210,2.503839,1.655097,0.939403,0.303127,-0.000020,0.089432,0.107324,116.415024,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053310_d1f,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
4,05:34:23,2025-10-06,g34p_dark,mrk,,145,,,0.129252,2.920952,0.123775,1.261841,1.847257,1.815773,2.744383,0.897126,20.109169,20.457848,30.393269,0.441786,7.500000,PSF-00438_20251006053423_659,93.571182,413.168182,0.773528,0.000000,0.000000,0.000000,0.5,0.80,0.007585,1.000000,67.18,66.03,22.59,22.55,22.55,90.30,156.6,78.4,49.9,0,4.097,05:30:49,2025-10-06,-0.22,1,-1.211,-0.551,-0.450,47.497,36.255,28.352,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.489071,2.505255,1.654708,0.754268,0.300359,0.000212,0.100070,0.107323,93.620178,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053423_659,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
5,05:35:06,2025-10-06,g34p_dark,mrk,,142,,,0.049449,2.922122,0.048626,0.502274,1.836185,1.823663,2.745207,0.909021,20.196671,20.335350,30.402561,0.441786,7.500000,PSF-00438_20251006053506_4e1,115.499855,580.247986,0.800947,0.000000,0.000000,0.000000,0.5,0.80,0.009001,1.000000,66.19,65.74,22.73,22.56,22.56,90.30,156.8,157.1,-0.2,0,4.104,05:30:49,2025-10-06,-0.22,1,-0.025,-0.589,-1.138,-0.457,40.787,95.211,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488655,2.503934,1.655933,0.939068,0.298621,-0.001360,0.106067,0.107326,115.499855,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053506_4e1,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
6,05:36:06,2025-10-06,g34p_dark,mrk,,135,,,0.055794,2.922085,0.054748,0.576965,1.870568,1.856188,2.797611,0.927043,20.555452,20.714697,30.980785,0.441786,7.500000,PSF-00438_20251006053606_aee,101.833817,567.842590,0.820665,0.000000,0.000000,0.000000,0.5,0.80,0.010788,1.000000,66.59,66.08,22.94,22.87,22.87,90.30,156.7,157.0,-0.1,0,4.102,05:30:49,2025-10-06,-0.22,1,-0.232,-0.868,-0.810,6.775,93.166,46.419,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.489046,2.504405,1.655894,0.938709,0.296170,-0.000197,0.114278,0.107331,101.833817,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053606_aee,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
7,05:36:48,2025-10-06,g34p_dark,mrk,,129,,,0.072979,2.922452,0.071201,0.950226,1.887666,1.863995,3.059720,1.172055,20.643051,20.905191,33.885258,0.441786,7.500000,PSF-00438_20251006053648_263,76.723694,353.445068,0.782926,0.000000,0.000000,0.000000,0.5,0.80,0.007553,1.000000,66.61,65.77,23.08,24.36,24.36,90.30,156.8,63.3,59.7,0,4.102,05:30:49,2025-10-06,-0.22,1,-0.264,-0.417,-0.702,3.062,74.701,37.219,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488606,2.504383,1.656279,0.722338,0.294428,0.014883,0.119917,0.107323,76.723694,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053648_263,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
8,05:37:25,2025-10-06,g34p_dark,mrk,,149,,,0.046745,2.923117,0.046009,0.526229,1.897822,1.884723,2.903060,1.005238,20.873991,21.019070,32.152443,0.441786,7.500000,PSF-00438_20251006053725_d2f,105.779884,574.986206,0.816031,0.000000,0.000000,0.000000,0.5,0.80,0.008911,1.000000,66.42,65.97,23.22,23.48,23.48,90.29,156.9,157.0,-0.1,0,4.101,05:30:49,2025-10-06,-0.22,1,-0.588,-0.388,-0.535,83.182,63.406,31.756,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488825,2.504113,1.656976,0.938725,0.292854,0.003492,0.124801,0.107326,105.779884,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053725_d2f,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
9,05:38:36,2025-10-06,g34p_dark,mrk,,160,,,0.024351,2.923779,0.024150,0.233901,1.907728,1.901909,2.759662,0.851934,21.063459,21.127903,30.562990,0.441786,7.500000,PSF-00438_20251006053836_c59,116.502289,583.420898,0.800312,0.000000,0.000000,0.000000,0.5,0.80,0.011157,1.000000,65.89,65.69,23.44,22.64,22.64,90.29,157.0,156.9,0.0,0,4.099,05:30:49,2025-10-06,-0.22,1,-0.042,-0.650,-0.553,-5.916,66.474,84.696,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488413,2.503362,1.657673,0.938567,0.290290,-0.008349,0.133966,0.107332,116.502289,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053836_c59,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
10,05:39:07,2025-10-06,g34p_dark,mrk,,151,,,0.031281,2.921039,0.030950,0.333636,1.907698,1.899379,2.855453,0.947755,21.034098,21.126221,31.621843,0.441786,7.500000,PSF-00438_20251006053907_6d5,104.777458,616.629822,0.830080,0.000000,0.000000,0.000000,0.5,0.80,0.012628,1.000000,65.55,65.26,23.52,23.21,23.21,90.30,156.6,157.1,-0.3,0,4.097,05:30:49,2025-10-06,-0.22,1,-0.081,-0.537,-0.396,-8.994,97.096,48.710,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.487834,2.502889,1.654799,0.938981,0.289281,-0.003044,0.137879,0.107335,104.777458,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053907_6d5,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
11,05:39:43,2025-10-06,g34p_dark,mrk,,152,,,0.013807,2.921208,0.013742,0.138516,1.923751,1.920299,2.810100,0.886349,21.264883,21.303118,31.118313,0.441786,7.500000,PSF-00438_20251006053943_4b9,111.529831,621.619080,0.820582,0.000000,0.000000,0.000000,0.5,0.80,0.020965,1.000000,65.73,65.61,23.62,22.94,22.94,90.30,156.6,157.0,-0.2,0,4.096,05:30:49,2025-10-06,-0.22,1,-0.002,-0.003,-0.060,-1.142,-1.678,5.748,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488266,2.503105,1.654977,0.938749,0.288213,-0.007046,0.142336,0.107358,111.529831,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006053943_4b9,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
12,05:40:28,2025-10-06,g34p_dark,mrk,,139,,,0.041122,2.923048,0.040552,0.424239,1.948244,1.937688,2.867741,0.919496,21.458401,21.575300,31.758015,0.441786,7.500000,PSF-00438_20251006054028_65e,89.995262,402.179352,0.776231,0.000000,0.000000,0.000000,0.5,0.80,0.008846,1.000000,66.15,65.79,23.72,23.28,23.28,90.30,156.9,155.9,0.6,0,4.096,05:30:49,2025-10-06,-0.22,1,-0.321,-0.384,-0.261,37.425,27.070,57.559,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488467,2.503620,1.656904,0.936121,0.287003,-0.004483,0.147778,0.107327,90.252754,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054028_65e,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
13,05:41:04,2025-10-06,g34p_dark,mrk,,136,,,0.009839,2.920574,0.009806,0.122260,1.938657,1.935609,3.033605,1.094948,21.434126,21.467884,33.592880,0.441786,7.500000,PSF-00438_20251006054104_896,145.861023,595.239380,0.754954,0.000000,0.000000,0.000000,0.5,0.80,0.010885,1.000000,65.51,65.41,23.80,24.21,24.21,90.31,156.6,156.7,-0.1,0,4.094,05:30:49,2025-10-06,-0.22,1,-0.103,-0.465,-0.233,14.066,139.677,72.744,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.487957,2.502773,1.654314,0.938161,0.286106,0.005145,0.152108,0.107333,145.861023,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054104_896,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
14,05:42:04,2025-10-06,g34p_dark,mrk,,159,,,0.005152,2.921681,0.005143,0.051431,1.968403,1.967122,2.847338,0.878935,21.783270,21.797455,31.530499,0.441786,7.500000,PSF-00438_20251006054204_a93,111.447929,598.172668,0.813686,0.000000,0.000000,0.000000,0.5,0.80,0.008238,1.000000,65.92,65.88,23.95,23.16,23.16,90.30,156.7,156.9,-0.1,0,4.093,05:41:17,2025-10-06,-0.17,1,-0.038,-0.389,-0.315,10.157,52.658,79.427,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488527,2.503206,1.655470,0.938507,0.284404,-0.008379,0.159364,0.107324,111.447929,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054204_a93,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
15,05:43:26,2025-10-06,g34p_dark,mrk,,159,,,0.014710,2.921338,0.014636,0.146874,1.978328,1.974669,2.860364,0.882036,21.864246,21.904758,31.670973,0.441786,7.500000,PSF-00438_20251006054326_1db,117.177490,579.047424,0.797637,0.000000,0.000000,0.000000,0.5,0.80,0.009344,1.000000,65.74,65.62,24.08,23.24,23.24,90.32,156.7,156.8,-0.1,0,4.091,05:41:17,2025-10-06,-0.17,1,-0.457,-0.257,-9999.000,116.305,59.197,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488155,2.502933,1.655111,0.938253,0.282928,-0.009010,0.169081,0.107327,117.177490,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054326_1db,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
16,05:44:00,2025-10-06,g34p_dark,mrk,,157,,,0.013901,2.922745,0.013835,0.158037,1.989593,1.985661,2.992779,1.003186,21.986380,22.029917,33.137768,0.441786,7.500000,PSF-00438_20251006054400_c4e,109.739182,609.062073,0.819823,0.000000,0.000000,0.000000,0.5,0.80,0.009213,1.000000,65.90,65.77,24.13,23.99,23.99,90.31,156.8,156.6,0.2,0,4.090,05:41:17,2025-10-06,-0.17,1,-0.100,-0.376,-0.256,17.588,113.600,59.547,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488344,2.503134,1.656586,0.937726,0.282331,-0.001176,0.172896,0.107326,109.739182,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054400_c4e,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
17,05:44:33,2025-10-06,g34p_dark,mrk,,155,,,0.025183,2.923327,0.024968,0.300736,1.993598,1.986119,3.050988,1.057391,21.992548,22.075356,33.783974,0.441786,7.500000,PSF-00438_20251006054433_49f,91.941475,397.953979,0.768965,0.000000,0.000000,0.000000,0.5,0.80,0.009130,1.000000,65.82,65.57,24.19,24.31,24.31,90.31,156.9,155.0,1.2,0,4.061,05:41:17,2025-10-06,-0.17,1,-0.034,-0.284,-0.182,-1.129,62.974,45.742,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488067,2.503006,1.657197,0.933615,0.281706,0.001819,0.176737,0.107328,91.941475,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054433_49f,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
18,05:44:56,2025-10-06,g34p_dark,mrk,,134,,,0.000580,2.921103,0.000580,0.005894,1.980331,1.980184,2.873211,0.892880,21.926033,21.927658,31.814274,0.441786,7.500000,PSF-00438_20251006054456_798,118.865135,587.229248,0.797583,0.000000,0.000000,0.000000,0.5,0.80,0.023802,1.000000,65.24,65.23,24.22,23.31,23.31,90.31,156.6,156.9,-0.2,0,4.088,05:41:17,2025-10-06,-0.17,1,-0.114,-0.229,-0.144,15.967,109.975,54.860,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.487626,2.502246,1.654866,0.938639,0.281308,-0.009810,0.179198,0.107368,118.865135,0.000240,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054456_798,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
19,05:45:22,2025-10-06,g34p_dark,mrk,,140,,,0.293420,2.920870,0.266635,3.265534,2.082400,2.001113,3.156447,1.074047,22.156614,23.056625,34.948631,0.441786,7.500000,PSF-00438_20251006054522_c0f,80.847504,349.496124,0.768674,0.000000,0.000000,0.000000,0.5,0.80,0.011327,1.000000,68.44,65.77,24.26,24.88,24.88,90.32,156.6,-11.6,107.4,0,4.087,05:41:17,2025-10-06,-0.17,1,0.008,-0.007,-0.143,12.183,65.346,40.867,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488307,2.506403,1.654623,0.580534,0.280867,0.007420,0.182113,0.107334,80.822823,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054522_c0f,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
20,05:46:17,2025-10-06,g34p_dark,mrk,,132,,,0.240452,2.922192,0.222171,3.040055,2.081306,2.005717,3.280377,1.199071,22.209183,23.046183,36.323425,0.441786,7.500000,PSF-00438_20251006054617_ead,76.955437,328.700775,0.765880,0.000000,0.000000,0.000000,0.5,0.80,0.008607,1.000000,68.08,65.61,24.34,25.52,25.52,90.31,156.8,-14.3,109.1,0,4.086,05:41:17,2025-10-06,-0.17,1,-0.003,-0.026,-0.021,4.528,59.771,32.175,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488075,2.505911,1.656006,0.575893,0.279972,0.013902,0.188241,0.107326,76.955437,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054617_ead,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
21,05:46:42,2025-10-06,g34p_dark,mrk,,143,,,0.007695,2.921972,0.007674,0.105415,2.033460,2.030837,3.237785,1.204325,22.487089,22.516132,35.851398,0.441786,7.500000,PSF-00438_20251006054642_ef9,124.178406,581.390625,0.786411,0.000000,0.000000,0.000000,0.5,0.80,0.017466,1.000000,66.36,66.27,24.38,25.30,25.30,90.31,156.7,156.7,-0.0,0,4.086,05:41:17,2025-10-06,-0.17,1,-0.125,-0.371,-0.344,43.750,102.849,51.700,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488930,2.503665,1.655776,0.938141,0.279544,0.010945,0.190977,0.107351,124.178406,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054642_ef9,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
22,05:47:11,2025-10-06,g34p_dark,mrk,,138,,,0.283544,2.922248,0.258465,3.324021,2.108981,2.026362,3.236026,1.127045,22.438349,23.353205,35.833218,0.441786,7.500000,PSF-00438_20251006054711_32e,80.371140,322.661865,0.750912,0.000000,0.000000,0.000000,0.5,0.80,0.017872,1.000000,68.65,65.96,24.42,25.29,25.29,90.31,156.8,-14.1,109.0,0,4.085,05:41:17,2025-10-06,-0.17,1,0.027,0.013,-0.090,30.824,64.631,31.850,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488519,2.506640,1.656065,0.576269,0.279082,0.010368,0.194033,0.107355,80.371140,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251006054711_32e,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:23.367Z
