flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251005133449_8cd,13:34:49,2025-10-05,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,388.352631,144.981628,0.626675,180.863632

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,259.994751,6995.495117,1
0.010000,350.432404,6995.495117,1
0.020000,372.128967,6995.495117,1
0.030000,376.436951,6995.495117,1
0.040000,377.702240,6995.495117,1
0.050000,378.271942,6995.495117,1
0.060000,378.582001,6995.495117,1
0.070000,378.761902,6995.495117,1
0.080000,378.843079,6995.495117,1
0.090000,378.875610,6995.495117,1
0.100000,378.920319,6995.495117,1
0.110000,378.882416,6995.495117,1
0.120000,378.888123,6995.495117,1
0.130000,378.868103,6995.495117,1
0.140000,378.887787,6995.495117,1
0.150000,378.881683,6995.495117,1
0.160000,378.867737,6995.495117,1
0.170000,378.854523,6995.495117,1
0.180000,378.864899,6995.495117,1
0.190000,378.868805,6995.495117,1
0.200000,378.869904,6995.495117,1
0.210000,378.848419,6995.495117,1
0.220000,378.835571,6995.495117,1
0.230000,378.812317,6995.495117,1
0.240000,378.788361,6995.495117,1
0.250000,378.773682,6995.495117,1
0.260000,378.734344,6995.495117,1
0.270000,378.694305,6995.495117,1
0.280000,378.652802,6995.495117,1
0.290000,378.612030,6995.495117,1
0.300000,378.585938,6937.205566,2
0.310000,378.511536,6878.916016,2
0.320000,378.429657,6820.626465,2
0.330000,378.373138,6762.336914,2
0.340000,378.306641,6704.047363,2
0.350000,378.241882,6645.757812,2
0.360000,378.162872,6587.468262,2
0.370000,378.077026,6529.178711,2
0.380000,377.994049,6470.889160,2
0.390000,377.877106,6412.599609,2
0.400000,377.807373,6354.310059,2
0.410000,377.697937,6296.020508,2
0.420000,377.596375,6237.730957,2
0.430000,377.521637,6179.441406,2
0.440000,377.418274,6121.151855,2
0.450000,377.270233,6062.862305,2
0.460000,377.186523,6004.572754,2
0.470000,377.056000,5946.283203,2
0.480000,376.914368,5887.993652,2
0.490000,376.827118,5829.704102,2
0.500000,376.727356,5771.414551,2
0.510000,376.575714,5713.125000,2
0.520000,376.494873,5654.835449,2
0.530000,376.351837,5596.545898,2
0.540000,376.193390,5538.256348,2
0.550000,376.033905,5479.966797,2
0.560000,375.929840,5421.677246,2
0.570000,375.797516,5363.387695,2
0.580000,375.647308,5305.098145,2
0.590000,375.478851,5246.808594,2
0.600000,376.196625,6995.495117,3
0.610000,376.316772,6995.495117,3
0.620000,376.224152,6995.495117,3
0.630000,376.071808,6995.495117,3
0.640000,375.969543,6995.495117,3
0.650000,375.859009,6995.495117,3
0.660000,375.743866,6995.495117,3
0.670000,375.628723,6995.495117,3
0.680000,375.517120,6995.495117,3
0.690000,375.401978,6995.495117,3
0.700000,375.327942,6995.495117,3
0.710000,375.162720,6995.495117,3
0.720000,375.035767,6995.495117,3
0.730000,374.923828,6995.495117,3
0.740000,374.810455,6995.495117,3
0.750000,374.703522,6995.495117,3
0.760000,374.583008,6995.495117,3
0.770000,374.458191,6995.495117,3
0.780000,374.337677,6995.495117,3
0.790000,374.212860,6995.495117,3
0.800000,374.121307,6995.495117,3
0.810000,373.973602,6995.495117,3
0.820000,373.861328,6995.495117,3
0.830000,373.738647,6995.495117,3
0.839999,373.608459,6995.495117,3
0.849999,373.480438,6995.495117,3
0.859999,373.352051,6995.495117,3
0.869999,373.235809,6995.495117,3
0.879999,373.084198,6995.495117,3
0.889999,372.961884,6995.495117,3
