flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251005143132_1c3,14:31:32,2025-10-05,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,168.707352,99.170563,0.412174,205.557770

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,140.847809,6995.495117,1
0.010000,163.418411,6995.495117,1
0.020000,166.544800,6995.495117,1
0.030000,167.318344,6995.495117,1
0.040000,167.674545,6995.495117,1
0.050000,167.845840,6995.495117,1
0.060000,167.958145,6995.495117,1
0.070000,168.037888,6995.495117,1
0.080000,168.093323,6995.495117,1
0.090000,168.132309,6995.495117,1
0.100000,168.163422,6995.495117,1
0.110000,168.163055,6995.495117,1
0.120000,168.164139,6995.495117,1
0.130000,168.165924,6995.495117,1
0.140000,168.179153,6995.495117,1
0.150000,168.168777,6995.495117,1
0.160000,168.159134,6995.495117,1
0.170000,168.144821,6995.495117,1
0.180000,168.129807,6995.495117,1
0.190000,168.120499,6995.495117,1
0.200000,168.126587,6995.495117,1
0.210000,168.107635,6995.495117,1
0.220000,168.093323,6995.495117,1
0.230000,168.087250,6995.495117,1
0.240000,168.054337,6995.495117,1
0.250000,168.051117,6995.495117,1
0.260000,168.033600,6995.495117,1
0.270000,168.012863,6995.495117,1
0.280000,168.005341,6995.495117,1
0.290000,167.984955,6995.495117,1
0.300000,167.977097,6937.205566,2
0.310000,167.984253,6878.916016,2
0.320000,167.960648,6820.626465,2
0.330000,167.970657,6762.336914,2
0.340000,167.959930,6704.047363,2
0.350000,167.954926,6645.757812,2
0.360000,167.957062,6587.468262,2
0.370000,167.945618,6529.178711,2
0.380000,167.932388,6470.889160,2
0.390000,167.938477,6412.599609,2
0.400000,167.948486,6354.310059,2
0.410000,167.910217,6296.020508,2
0.420000,167.910583,6237.730957,2
0.430000,167.896622,6179.441406,2
0.440000,167.907364,6121.151855,2
0.450000,167.892700,6062.862305,2
0.460000,167.878754,6004.572754,2
0.470000,167.872665,5946.283203,2
0.480000,167.873734,5887.993652,2
0.490000,167.845490,5829.704102,2
0.500000,167.866226,5771.414551,2
0.510000,167.851562,5713.125000,2
0.520000,167.824387,5654.835449,2
0.530000,167.817596,5596.545898,2
0.540000,167.804718,5538.256348,2
0.550000,167.796844,5479.966797,2
0.560000,167.778961,5421.677246,2
0.570000,167.770737,5363.387695,2
0.580000,167.769318,5305.098145,2
0.590000,167.749649,5246.808594,2
0.600000,167.502884,6995.495117,3
0.610000,167.501099,6995.495117,3
0.620000,167.473190,6995.495117,3
0.630000,167.454605,6995.495117,3
0.640000,167.432068,6995.495117,3
0.650000,167.422775,6995.495117,3
0.660000,167.398453,6995.495117,3
0.670000,167.379852,6995.495117,3
0.680000,167.356964,6995.495117,3
0.690000,167.350525,6995.495117,3
0.700000,167.335159,6995.495117,3
0.710000,167.314407,6995.495117,3
0.720000,167.291519,6995.495117,3
0.730000,167.274719,6995.495117,3
0.740000,167.258972,6995.495117,3
0.750000,167.239670,6995.495117,3
0.760000,167.228943,6995.495117,3
0.770000,167.201050,6995.495117,3
0.780000,167.194962,6995.495117,3
0.790000,167.181015,6995.495117,3
0.800000,167.176727,6995.495117,3
0.810000,167.154190,6995.495117,3
0.820000,167.138809,6995.495117,3
0.830000,167.117722,6995.495117,3
0.839999,167.110565,6995.495117,3
0.849999,167.100906,6995.495117,3
0.859999,167.080170,6995.495117,3
0.869999,167.069427,6995.495117,3
0.879999,167.065140,6995.495117,3
0.889999,167.039398,6995.495117,3
