flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251010123247_7ed,12:32:47,2025-10-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,244.798828,82.986473,0.661001,158.900314

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,153.845795,6995.495117,1
0.010000,199.348923,6995.495117,1
0.020000,211.553696,6995.495117,1
0.030000,217.077606,6995.495117,1
0.040000,220.640656,6995.495117,1
0.050000,223.222733,6995.495117,1
0.060000,225.170380,6995.495117,1
0.070000,226.635574,6995.495117,1
0.080000,227.798935,6995.495117,1
0.090000,228.700165,6995.495117,1
0.100000,229.441879,6995.495117,1
0.110000,230.031250,6995.495117,1
0.120000,230.511551,6995.495117,1
0.130000,230.937836,6995.495117,1
0.140000,231.274002,6995.495117,1
0.150000,231.547958,6995.495117,1
0.160000,231.787918,6995.495117,1
0.170000,231.973892,6995.495117,1
0.180000,232.142685,6995.495117,1
0.190000,232.242828,6995.495117,1
0.200000,232.357620,6995.495117,1
0.210000,232.389801,6995.495117,1
0.220000,232.432373,6995.495117,1
0.230000,232.457397,6995.495117,1
0.240000,232.462769,6995.495117,1
0.250000,232.439880,6995.495117,1
0.260000,232.430573,6995.495117,1
0.270000,232.386948,6995.495117,1
0.280000,232.333298,6995.495117,1
0.290000,232.301468,6995.495117,1
0.300000,232.256775,6937.205566,2
0.310000,232.112640,6878.916016,2
0.320000,232.054352,6820.626465,2
0.330000,231.922745,6762.336914,2
0.340000,231.837280,6704.047363,2
0.350000,231.710678,6645.757812,2
0.360000,231.619843,6587.468262,2
0.370000,231.472488,6529.178711,2
0.380000,231.382370,6470.889160,2
0.390000,231.216431,6412.599609,2
0.400000,231.075882,6354.310059,2
0.410000,230.965729,6296.020508,2
0.420000,230.816238,6237.730957,2
0.430000,230.727554,6179.441406,2
0.440000,230.568771,6121.151855,2
0.450000,230.388885,6062.862305,2
0.460000,230.310913,6004.572754,2
0.470000,230.123871,5946.283203,2
0.480000,229.943985,5887.993652,2
0.490000,229.869247,5829.704102,2
0.500000,229.710098,5771.414551,2
0.510000,229.509476,5713.125000,2
0.520000,229.434723,5654.835449,2
0.530000,229.254120,5596.545898,2
0.540000,229.065659,5538.256348,2
0.550000,228.870743,5479.966797,2
0.560000,228.792435,5421.677246,2
0.570000,228.598236,5363.387695,2
0.580000,228.409760,5305.098145,2
0.590000,228.210922,5246.808594,2
0.600000,229.937561,6995.495117,3
0.610000,229.940063,6995.495117,3
0.620000,229.838486,6995.495117,3
0.630000,229.729767,6995.495117,3
0.640000,229.605682,6995.495117,3
0.650000,229.485504,6995.495117,3
0.660000,229.354980,6995.495117,3
0.670000,229.240540,6995.495117,3
0.680000,229.116440,6995.495117,3
0.690000,229.005936,6995.495117,3
0.700000,228.901154,6995.495117,3
0.710000,228.781342,6995.495117,3
0.720000,228.668335,6995.495117,3
0.730000,228.565689,6995.495117,3
0.740000,228.449112,6995.495117,3
0.750000,228.343613,6995.495117,3
0.760000,228.237030,6995.495117,3
0.770000,228.133316,6995.495117,3
0.780000,228.047134,6995.495117,3
0.790000,227.937347,6995.495117,3
0.800000,227.855087,6995.495117,3
0.810000,227.743500,6995.495117,3
0.820000,227.658386,6995.495117,3
0.830000,227.563263,6995.495117,3
0.839999,227.469925,6995.495117,3
0.849999,227.377289,6995.495117,3
0.859999,227.279312,6995.495117,3
0.869999,227.198837,6995.495117,3
0.879999,227.109787,6995.495117,3
0.889999,227.022522,6995.495117,3
