flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251010123256_abe,12:32:56,2025-10-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,205.861725,82.843422,0.597577,170.954971

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,141.813034,6995.495117,1
0.010000,173.737045,6995.495117,1
0.020000,181.729675,6995.495117,1
0.030000,185.764786,6995.495117,1
0.040000,188.403015,6995.495117,1
0.050000,190.250870,6995.495117,1
0.060000,191.600555,6995.495117,1
0.070000,192.608353,6995.495117,1
0.080000,193.384415,6995.495117,1
0.090000,193.991302,6995.495117,1
0.100000,194.478027,6995.495117,1
0.110000,194.843887,6995.495117,1
0.120000,195.141083,6995.495117,1
0.130000,195.401428,6995.495117,1
0.140000,195.606705,6995.495117,1
0.150000,195.775864,6995.495117,1
0.160000,195.898178,6995.495117,1
0.170000,196.014755,6995.495117,1
0.180000,196.090576,6995.495117,1
0.190000,196.154602,6995.495117,1
0.200000,196.219330,6995.495117,1
0.210000,196.227905,6995.495117,1
0.220000,196.237915,6995.495117,1
0.230000,196.250793,6995.495117,1
0.240000,196.227554,6995.495117,1
0.250000,196.214676,6995.495117,1
0.260000,196.199661,6995.495117,1
0.270000,196.155304,6995.495117,1
0.280000,196.120270,6995.495117,1
0.290000,196.083420,6995.495117,1
0.300000,196.051239,6937.205566,2
0.310000,195.938583,6878.916016,2
0.320000,195.896744,6820.626465,2
0.330000,195.780518,6762.336914,2
0.340000,195.721512,6704.047363,2
0.350000,195.619232,6645.757812,2
0.360000,195.556992,6587.468262,2
0.370000,195.428253,6529.178711,2
0.380000,195.363876,6470.889160,2
0.390000,195.249802,6412.599609,2
0.400000,195.123199,6354.310059,2
0.410000,195.050598,6296.020508,2
0.420000,194.927933,6237.730957,2
0.430000,194.857117,6179.441406,2
0.440000,194.744461,6121.151855,2
0.450000,194.599625,6062.862305,2
0.460000,194.534180,6004.572754,2
0.470000,194.390411,5946.283203,2
0.480000,194.251663,5887.993652,2
0.490000,194.187637,5829.704102,2
0.500000,194.062469,5771.414551,2
0.510000,193.907623,5713.125000,2
0.520000,193.846466,5654.835449,2
0.530000,193.700546,5596.545898,2
0.540000,193.543915,5538.256348,2
0.550000,193.402649,5479.966797,2
0.560000,193.334702,5421.677246,2
0.570000,193.193787,5363.387695,2
0.580000,193.044662,5305.098145,2
0.590000,192.890884,5246.808594,2
0.600000,194.228775,6995.495117,3
0.610000,194.275620,6995.495117,3
0.620000,194.237701,6995.495117,3
0.630000,194.165466,6995.495117,3
0.640000,194.071060,6995.495117,3
0.650000,193.987015,6995.495117,3
0.660000,193.911560,6995.495117,3
0.670000,193.817139,6995.495117,3
0.680000,193.734161,6995.495117,3
0.690000,193.643326,6995.495117,3
0.700000,193.564301,6995.495117,3
0.710000,193.462021,6995.495117,3
0.720000,193.374039,6995.495117,3
0.730000,193.284988,6995.495117,3
0.740000,193.199158,6995.495117,3
0.750000,193.116898,6995.495117,3
0.760000,193.017120,6995.495117,3
0.770000,192.925568,6995.495117,3
0.780000,192.840454,6995.495117,3
0.790000,192.768570,6995.495117,3
0.800000,192.690613,6995.495117,3
0.810000,192.579391,6995.495117,3
0.820000,192.480331,6995.495117,3
0.830000,192.380905,6995.495117,3
0.839999,192.283279,6995.495117,3
0.849999,192.207809,6995.495117,3
0.859999,192.103027,6995.495117,3
0.869999,192.017548,6995.495117,3
0.879999,191.907410,6995.495117,3
0.889999,191.812271,6995.495117,3
