flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251010145158_e8e,14:51:58,2025-10-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,296.781586,230.936050,0.221865,1235.700562

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,256.765717,6995.495117,1
0.010000,276.203522,6995.495117,1
0.020000,280.957825,6995.495117,1
0.030000,282.036438,6995.495117,1
0.040000,282.052521,6995.495117,1
0.050000,281.834015,6995.495117,1
0.060000,281.615509,6995.495117,1
0.070000,281.407349,6995.495117,1
0.080000,281.213531,6995.495117,1
0.090000,281.001801,6995.495117,1
0.100000,280.802979,6995.495117,1
0.110000,280.588043,6995.495117,1
0.120000,280.394196,6995.495117,1
0.130000,280.177124,6995.495117,1
0.140000,279.985413,6995.495117,1
0.150000,279.768341,6995.495117,1
0.160000,279.579163,6995.495117,1
0.170000,279.384979,6995.495117,1
0.180000,279.200806,6995.495117,1
0.190000,278.979431,6995.495117,1
0.200000,278.822418,6995.495117,1
0.210000,278.624298,6995.495117,1
0.220000,278.446198,6995.495117,1
0.230000,278.261658,6995.495117,1
0.240000,278.083923,6995.495117,1
0.250000,277.885803,6995.495117,1
0.260000,277.706268,6995.495117,1
0.270000,277.529602,6995.495117,1
0.280000,277.361145,6995.495117,1
0.290000,277.196655,6995.495117,1
0.300000,277.019623,6937.205566,2
0.310000,276.772858,6878.916016,2
0.320000,276.574738,6820.626465,2
0.330000,276.335114,6762.336914,2
0.340000,276.148804,6704.047363,2
0.350000,275.905609,6645.757812,2
0.360000,275.717499,6587.468262,2
0.370000,275.473602,6529.178711,2
0.380000,275.296570,6470.889160,2
0.390000,275.055878,6412.599609,2
0.400000,274.802338,6354.310059,2
0.410000,274.602051,6296.020508,2
0.420000,274.376404,6237.730957,2
0.430000,274.187195,6179.441406,2
0.440000,273.946167,6121.151855,2
0.450000,273.707977,6062.862305,2
0.460000,273.520599,6004.572754,2
0.470000,273.272400,5946.283203,2
0.480000,273.020264,5887.993652,2
0.490000,272.860779,5829.704102,2
0.500000,272.636536,5771.414551,2
0.510000,272.370087,5713.125000,2
0.520000,272.185211,5654.835449,2
0.530000,271.940247,5596.545898,2
0.540000,271.694183,5538.256348,2
0.550000,271.445984,5479.966797,2
0.560000,271.269318,5421.677246,2
0.570000,271.039001,5363.387695,2
0.580000,270.797241,5305.098145,2
0.590000,270.525818,5246.808594,2
0.600000,271.994232,6995.495117,3
0.610000,272.212036,6995.495117,3
0.620000,272.120117,6995.495117,3
0.630000,271.963135,6995.495117,3
0.640000,271.808990,6995.495117,3
0.650000,271.671661,6995.495117,3
0.660000,271.541473,6995.495117,3
0.670000,271.416656,6995.495117,3
0.680000,271.282196,6995.495117,3
0.690000,271.136627,6995.495117,3
0.700000,271.030792,6995.495117,3
0.710000,270.869141,6995.495117,3
0.720000,270.745758,6995.495117,3
0.730000,270.638123,6995.495117,3
0.740000,270.499359,6995.495117,3
0.750000,270.384552,6995.495117,3
0.760000,270.248291,6995.495117,3
0.770000,270.132080,6995.495117,3
0.780000,270.015106,6995.495117,3
0.790000,269.901398,6995.495117,3
0.800000,269.812347,6995.495117,3
0.810000,269.658203,6995.495117,3
0.820000,269.555573,6995.495117,3
0.830000,269.444000,6995.495117,3
0.839999,269.309509,6995.495117,3
0.849999,269.217957,6995.495117,3
0.859999,269.102448,6995.495117,3
0.869999,268.979797,6995.495117,3
0.879999,268.878571,6995.495117,3
0.889999,268.767700,6995.495117,3
