flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011130955_3ec,13:09:55,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,428.530090,152.533295,0.644055,247.816269

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,285.168518,6995.495117,1
0.010000,370.916260,6995.495117,1
0.020000,399.662384,6995.495117,1
0.030000,409.640198,6995.495117,1
0.040000,413.453583,6995.495117,1
0.050000,415.169464,6995.495117,1
0.060000,416.099670,6995.495117,1
0.070000,416.674011,6995.495117,1
0.080000,417.063110,6995.495117,1
0.090000,417.332397,6995.495117,1
0.100000,417.580261,6995.495117,1
0.110000,417.726868,6995.495117,1
0.120000,417.848480,6995.495117,1
0.130000,417.953613,6995.495117,1
0.140000,418.035156,6995.495117,1
0.150000,418.108826,6995.495117,1
0.160000,418.178558,6995.495117,1
0.170000,418.246857,6995.495117,1
0.180000,418.313751,6995.495117,1
0.190000,418.320526,6995.495117,1
0.200000,418.413879,6995.495117,1
0.210000,418.415680,6995.495117,1
0.220000,418.435333,6995.495117,1
0.230000,418.498993,6995.495117,1
0.240000,418.516510,6995.495117,1
0.250000,418.534393,6995.495117,1
0.260000,418.537964,6995.495117,1
0.270000,418.549072,6995.495117,1
0.280000,418.545135,6995.495117,1
0.290000,418.565857,6995.495117,1
0.300000,418.613800,6937.205566,2
0.310000,418.481476,6878.916016,2
0.320000,418.455017,6820.626465,2
0.330000,418.372406,6762.336914,2
0.340000,418.335571,6704.047363,2
0.350000,418.240082,6645.757812,2
0.360000,418.205017,6587.468262,2
0.370000,418.098450,6529.178711,2
0.380000,418.066986,6470.889160,2
0.390000,417.929291,6412.599609,2
0.400000,417.816284,6354.310059,2
0.410000,417.720795,6296.020508,2
0.420000,417.622803,6237.730957,2
0.430000,417.580963,6179.441406,2
0.440000,417.449707,6121.151855,2
0.450000,417.279846,6062.862305,2
0.460000,417.241577,6004.572754,2
0.470000,417.074554,5946.283203,2
0.480000,416.922913,5887.993652,2
0.490000,416.879303,5829.704102,2
0.500000,416.755920,5771.414551,2
0.510000,416.564240,5713.125000,2
0.520000,416.520233,5654.835449,2
0.530000,416.358582,5596.545898,2
0.540000,416.180847,5538.256348,2
0.550000,415.981659,5479.966797,2
0.560000,415.948395,5421.677246,2
0.570000,415.792816,5363.387695,2
0.580000,415.619019,5305.098145,2
0.590000,415.420898,5246.808594,2
0.600000,417.749390,6995.495117,3
0.610000,418.314087,6995.495117,3
0.620000,418.423889,6995.495117,3
0.630000,418.383484,6995.495117,3
0.640000,418.336273,6995.495117,3
0.650000,418.303741,6995.495117,3
0.660000,418.278351,6995.495117,3
0.670000,418.260468,6995.495117,3
0.680000,418.239716,6995.495117,3
0.690000,418.225769,6995.495117,3
0.700000,418.237213,6995.495117,3
0.710000,418.166046,6995.495117,3
0.720000,418.161041,6995.495117,3
0.730000,418.143524,6995.495117,3
0.740000,418.121704,6995.495117,3
0.750000,418.119904,6995.495117,3
0.760000,418.133148,6995.495117,3
0.770000,418.086304,6995.495117,3
0.780000,418.065186,6995.495117,3
0.790000,418.044800,6995.495117,3
0.800000,418.059113,6995.495117,3
0.810000,418.028717,6995.495117,3
0.820000,418.005463,6995.495117,3
0.830000,417.985809,6995.495117,3
0.839999,417.984009,6995.495117,3
0.849999,417.945038,6995.495117,3
0.859999,417.917847,6995.495117,3
0.869999,417.902100,6995.495117,3
0.879999,417.901764,6995.495117,3
0.889999,417.872437,6995.495117,3
