flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011132804_b5d,13:28:04,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,151.227051,116.062042,0.232531,356.122162

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,137.325882,6995.495117,1
0.010000,147.833344,6995.495117,1
0.020000,149.879333,6995.495117,1
0.030000,150.421494,6995.495117,1
0.040000,150.597092,6995.495117,1
0.050000,150.646454,6995.495117,1
0.060000,150.673264,6995.495117,1
0.070000,150.689728,6995.495117,1
0.080000,150.700455,6995.495117,1
0.090000,150.703674,6995.495117,1
0.100000,150.704025,6995.495117,1
0.110000,150.695450,6995.495117,1
0.120000,150.670761,6995.495117,1
0.130000,150.653244,6995.495117,1
0.140000,150.652176,6995.495117,1
0.150000,150.643585,6995.495117,1
0.160000,150.627487,6995.495117,1
0.170000,150.606033,6995.495117,1
0.180000,150.587433,6995.495117,1
0.190000,150.567047,6995.495117,1
0.200000,150.558823,6995.495117,1
0.210000,150.538803,6995.495117,1
0.220000,150.505905,6995.495117,1
0.230000,150.494461,6995.495117,1
0.240000,150.481583,6995.495117,1
0.250000,150.465134,6995.495117,1
0.260000,150.437958,6995.495117,1
0.270000,150.421494,6995.495117,1
0.280000,150.409348,6995.495117,1
0.290000,150.385742,6995.495117,1
0.300000,150.369293,6937.205566,2
0.310000,150.373215,6878.916016,2
0.320000,150.341385,6820.626465,2
0.330000,150.362488,6762.336914,2
0.340000,150.336380,6704.047363,2
0.350000,150.337814,6645.757812,2
0.360000,150.319931,6587.468262,2
0.370000,150.317795,6529.178711,2
0.380000,150.299911,6470.889160,2
0.390000,150.292755,6412.599609,2
0.400000,150.298828,6354.310059,2
0.410000,150.265579,6296.020508,2
0.420000,150.277374,6237.730957,2
0.430000,150.252701,6179.441406,2
0.440000,150.260925,6121.151855,2
0.450000,150.255554,6062.862305,2
0.460000,150.222656,6004.572754,2
0.470000,150.236603,5946.283203,2
0.480000,150.215149,5887.993652,2
0.490000,150.200485,5829.704102,2
0.500000,150.204056,5771.414551,2
0.510000,150.184753,5713.125000,2
0.520000,150.169373,5654.835449,2
0.530000,150.172943,5596.545898,2
0.540000,150.145416,5538.256348,2
0.550000,150.147919,5479.966797,2
0.560000,150.128601,5421.677246,2
0.570000,150.115723,5363.387695,2
0.580000,150.111801,5305.098145,2
0.590000,150.086044,5246.808594,2
0.600000,149.835709,6995.495117,3
0.610000,149.834625,6995.495117,3
0.620000,149.811035,6995.495117,3
0.630000,149.792786,6995.495117,3
0.640000,149.778839,6995.495117,3
0.650000,149.754166,6995.495117,3
0.660000,149.740219,6995.495117,3
0.670000,149.724487,6995.495117,3
0.680000,149.691223,6995.495117,3
0.690000,149.681564,6995.495117,3
0.700000,149.675842,6995.495117,3
0.710000,149.652237,6995.495117,3
0.720000,149.637939,6995.495117,3
0.730000,149.616119,6995.495117,3
0.740000,149.601456,6995.495117,3
0.750000,149.584290,6995.495117,3
0.760000,149.563187,6995.495117,3
0.770000,149.545670,6995.495117,3
0.780000,149.532440,6995.495117,3
0.790000,149.520996,6995.495117,3
0.800000,149.503464,6995.495117,3
0.810000,149.492020,6995.495117,3
0.820000,149.461990,6995.495117,3
0.830000,149.454117,6995.495117,3
0.839999,149.436234,6995.495117,3
0.849999,149.424789,6995.495117,3
0.859999,149.403687,6995.495117,3
0.869999,149.394394,6995.495117,3
0.879999,149.386520,6995.495117,3
0.889999,149.363281,6995.495117,3
