flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015125211_e46,12:52:11,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,538.798157,197.513931,0.633418,143.792831

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,381.850708,6995.495117,1
0.010000,506.578430,6995.495117,1
0.020000,532.023682,6995.495117,1
0.030000,536.919250,6995.495117,1
0.040000,537.788635,6995.495117,1
0.050000,537.865906,6995.495117,1
0.060000,537.889099,6995.495117,1
0.070000,537.876587,6995.495117,1
0.080000,537.888428,6995.495117,1
0.090000,537.885925,6995.495117,1
0.100000,537.863037,6995.495117,1
0.110000,537.781494,6995.495117,1
0.120000,537.727112,6995.495117,1
0.130000,537.665955,6995.495117,1
0.140000,537.585510,6995.495117,1
0.150000,537.487122,6995.495117,1
0.160000,537.401672,6995.495117,1
0.170000,537.310852,6995.495117,1
0.180000,537.201050,6995.495117,1
0.190000,537.094482,6995.495117,1
0.200000,537.014343,6995.495117,1
0.210000,536.913147,6995.495117,1
0.220000,536.809082,6995.495117,1
0.230000,536.704651,6995.495117,1
0.240000,536.617065,6995.495117,1
0.250000,536.504761,6995.495117,1
0.260000,536.395325,6995.495117,1
0.270000,536.294800,6995.495117,1
0.280000,536.211487,6995.495117,1
0.290000,536.111694,6995.495117,1
0.300000,536.017639,6937.205566,2
0.310000,536.026611,6878.916016,2
0.320000,535.942566,6820.626465,2
0.330000,536.010132,6762.336914,2
0.340000,535.912537,6704.047363,2
0.350000,535.966492,6645.757812,2
0.360000,535.868530,6587.468262,2
0.370000,535.864258,6529.178711,2
0.380000,535.803467,6470.889160,2
0.390000,535.823486,6412.599609,2
0.400000,535.877808,6354.310059,2
0.410000,535.745117,6296.020508,2
0.420000,535.770203,6237.730957,2
0.430000,535.703308,6179.441406,2
0.440000,535.708313,6121.151855,2
0.450000,535.693665,6062.862305,2
0.460000,535.632141,6004.572754,2
0.470000,535.626038,5946.283203,2
0.480000,535.596008,5887.993652,2
0.490000,535.517334,5829.704102,2
0.500000,535.563843,5771.414551,2
0.510000,535.482300,5713.125000,2
0.520000,535.415771,5654.835449,2
0.530000,535.381775,5596.545898,2
0.540000,535.369995,5538.256348,2
0.550000,535.319580,5479.966797,2
0.560000,535.248047,5421.677246,2
0.570000,535.222290,5363.387695,2
0.580000,535.187622,5305.098145,2
0.590000,535.113953,5246.808594,2
0.600000,533.778931,6995.495117,3
0.610000,533.763550,6995.495117,3
0.620000,533.596863,6995.495117,3
0.630000,533.425903,6995.495117,3
0.640000,533.274658,6995.495117,3
0.650000,533.144836,6995.495117,3
0.660000,533.046143,6995.495117,3
0.670000,532.925964,6995.495117,3
0.680000,532.814026,6995.495117,3
0.690000,532.687805,6995.495117,3
0.700000,532.613403,6995.495117,3
0.710000,532.468567,6995.495117,3
0.720000,532.369873,6995.495117,3
0.730000,532.260803,6995.495117,3
0.740000,532.136658,6995.495117,3
0.750000,532.045105,6995.495117,3
0.760000,531.911377,6995.495117,3
0.770000,531.818054,6995.495117,3
0.780000,531.695007,6995.495117,3
0.790000,531.596680,6995.495117,3
0.800000,531.507263,6995.495117,3
0.810000,531.355591,6995.495117,3
0.820000,531.255493,6995.495117,3
0.830000,531.115295,6995.495117,3
0.839999,531.024841,6995.495117,3
0.849999,530.919678,6995.495117,3
0.859999,530.778381,6995.495117,3
0.869999,530.673645,6995.495117,3
0.879999,530.571716,6995.495117,3
0.889999,530.448303,6995.495117,3
