flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015152316_ee7,15:23:16,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,166.329437,137.175674,0.175277,1524.178345

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,151.245834,6995.495117,1
0.010000,159.675476,6995.495117,1
0.020000,161.079529,6995.495117,1
0.030000,161.355972,6995.495117,1
0.040000,161.393524,6995.495117,1
0.050000,161.361343,6995.495117,1
0.060000,161.317352,6995.495117,1
0.070000,161.262268,6995.495117,1
0.080000,161.217926,6995.495117,1
0.090000,161.138885,6995.495117,1
0.100000,161.103485,6995.495117,1
0.110000,161.039474,6995.495117,1
0.120000,160.978668,6995.495117,1
0.130000,160.921448,6995.495117,1
0.140000,160.873535,6995.495117,1
0.150000,160.813812,6995.495117,1
0.160000,160.780914,6995.495117,1
0.170000,160.731918,6995.495117,1
0.180000,160.691147,6995.495117,1
0.190000,160.636429,6995.495117,1
0.200000,160.609955,6995.495117,1
0.210000,160.556671,6995.495117,1
0.220000,160.520905,6995.495117,1
0.230000,160.479065,6995.495117,1
0.240000,160.440796,6995.495117,1
0.250000,160.402542,6995.495117,1
0.260000,160.353897,6995.495117,1
0.270000,160.319931,6995.495117,1
0.280000,160.284164,6995.495117,1
0.290000,160.246613,6995.495117,1
0.300000,160.229080,6937.205566,2
0.310000,160.124664,6878.916016,2
0.320000,160.094971,6820.626465,2
0.330000,160.015945,6762.336914,2
0.340000,159.967667,6704.047363,2
0.350000,159.889343,6645.757812,2
0.360000,159.850006,6587.468262,2
0.370000,159.766678,6529.178711,2
0.380000,159.736282,6470.889160,2
0.390000,159.655807,6412.599609,2
0.400000,159.583206,6354.310059,2
0.410000,159.538513,6296.020508,2
0.420000,159.457321,6237.730957,2
0.430000,159.404404,6179.441406,2
0.440000,159.340378,6121.151855,2
0.450000,159.242386,6062.862305,2
0.460000,159.196609,6004.572754,2
0.470000,159.120804,5946.283203,2
0.480000,159.037109,5887.993652,2
0.490000,158.990616,5829.704102,2
0.500000,158.941986,5771.414551,2
0.510000,158.833618,5713.125000,2
0.520000,158.799286,5654.835449,2
0.530000,158.687347,5596.545898,2
0.540000,158.609039,5538.256348,2
0.550000,158.506042,5479.966797,2
0.560000,158.482071,5421.677246,2
0.570000,158.389450,5363.387695,2
0.580000,158.301117,5305.098145,2
0.590000,158.202057,5246.808594,2
0.600000,159.085754,6995.495117,3
0.610000,159.184448,6995.495117,3
0.620000,159.141541,6995.495117,3
0.630000,159.120804,6995.495117,3
0.640000,159.087189,6995.495117,3
0.650000,159.041763,6995.495117,3
0.660000,159.015305,6995.495117,3
0.670000,158.987396,6995.495117,3
0.680000,158.947708,6995.495117,3
0.690000,158.907654,6995.495117,3
0.700000,158.897995,6995.495117,3
0.710000,158.860809,6995.495117,3
0.720000,158.818604,6995.495117,3
0.730000,158.804291,6995.495117,3
0.740000,158.764954,6995.495117,3
0.750000,158.733490,6995.495117,3
0.760000,158.697372,6995.495117,3
0.770000,158.665543,6995.495117,3
0.780000,158.645874,6995.495117,3
0.790000,158.611542,6995.495117,3
0.800000,158.575775,6995.495117,3
0.810000,158.552170,6995.495117,3
0.820000,158.527847,6995.495117,3
0.830000,158.496735,6995.495117,3
0.839999,158.472412,6995.495117,3
0.849999,158.446671,6995.495117,3
0.859999,158.423782,6995.495117,3
0.869999,158.374069,6995.495117,3
0.879999,158.349747,6995.495117,3
0.889999,158.329727,6995.495117,3
