flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016124400_1ee,12:44:00,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,398.484192,134.250641,0.663097,129.624374

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,263.600006,6995.495117,1
0.010000,350.967407,6995.495117,1
0.020000,375.998505,6995.495117,1
0.030000,384.568695,6995.495117,1
0.040000,388.674255,6995.495117,1
0.050000,391.023529,6995.495117,1
0.060000,392.466888,6995.495117,1
0.070000,393.342377,6995.495117,1
0.080000,393.929230,6995.495117,1
0.090000,394.314758,6995.495117,1
0.100000,394.588715,6995.495117,1
0.110000,394.749298,6995.495117,1
0.120000,394.877319,6995.495117,1
0.130000,394.991760,6995.495117,1
0.140000,395.067200,6995.495117,1
0.150000,395.138031,6995.495117,1
0.160000,395.196686,6995.495117,1
0.170000,395.248169,6995.495117,1
0.180000,395.292511,6995.495117,1
0.190000,395.319336,6995.495117,1
0.200000,395.395172,6995.495117,1
0.210000,395.390503,6995.495117,1
0.220000,395.417328,6995.495117,1
0.230000,395.449524,6995.495117,1
0.240000,395.469910,6995.495117,1
0.250000,395.505310,6995.495117,1
0.260000,395.520325,6995.495117,1
0.270000,395.543213,6995.495117,1
0.280000,395.561462,6995.495117,1
0.290000,395.572540,6995.495117,1
0.300000,395.617950,6937.205566,2
0.310000,395.634399,6878.916016,2
0.320000,395.616516,6820.626465,2
0.330000,395.630127,6762.336914,2
0.340000,395.632629,6704.047363,2
0.350000,395.648712,6645.757812,2
0.360000,395.635498,6587.468262,2
0.370000,395.619385,6529.178711,2
0.380000,395.620819,6470.889160,2
0.390000,395.621185,6412.599609,2
0.400000,395.622620,6354.310059,2
0.410000,395.574677,6296.020508,2
0.420000,395.567535,6237.730957,2
0.430000,395.550018,6179.441406,2
0.440000,395.541077,6121.151855,2
0.450000,395.468475,6062.862305,2
0.460000,395.471344,6004.572754,2
0.470000,395.414825,5946.283203,2
0.480000,395.379425,5887.993652,2
0.490000,395.365112,5829.704102,2
0.500000,395.342957,5771.414551,2
0.510000,395.257477,5713.125000,2
0.520000,395.222778,5654.835449,2
0.530000,395.180237,5596.545898,2
0.540000,395.095459,5538.256348,2
0.550000,395.013916,5479.966797,2
0.560000,394.974579,5421.677246,2
0.570000,394.920593,5363.387695,2
0.580000,394.829041,5305.098145,2
0.590000,394.727112,5246.808594,2
0.600000,395.218140,6995.495117,3
0.610000,395.391235,6995.495117,3
0.620000,395.349030,6995.495117,3
0.630000,395.291443,6995.495117,3
0.640000,395.209564,6995.495117,3
0.650000,395.137665,6995.495117,3
0.660000,395.063629,6995.495117,3
0.670000,394.984955,6995.495117,3
0.680000,394.914856,6995.495117,3
0.690000,394.841553,6995.495117,3
0.700000,394.791138,6995.495117,3
0.710000,394.673096,6995.495117,3
0.720000,394.602661,6995.495117,3
0.730000,394.525055,6995.495117,3
0.740000,394.445312,6995.495117,3
0.750000,394.345520,6995.495117,3
0.760000,394.259705,6995.495117,3
0.770000,394.159210,6995.495117,3
0.780000,394.072296,6995.495117,3
0.790000,393.972168,6995.495117,3
0.800000,393.903137,6995.495117,3
0.810000,393.782257,6995.495117,3
0.820000,393.678192,6995.495117,3
0.830000,393.597351,6995.495117,3
0.839999,393.473267,6995.495117,3
0.849999,393.379578,6995.495117,3
0.859999,393.273346,6995.495117,3
0.869999,393.154266,6995.495117,3
0.879999,393.067352,6995.495117,3
0.889999,392.954712,6995.495117,3
