flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016131451_64d,13:14:51,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,1.325727,1.412630,-0.065552,302.437531

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,1.325727,6995.495117,1
0.010000,1.117945,6995.495117,1
0.020000,1.117945,6995.495117,1
0.030000,1.118302,6995.495117,1
0.040000,1.112938,6995.495117,1
0.050000,1.117587,6995.495117,1
0.060000,1.112938,6995.495117,1
0.070000,1.102567,6995.495117,1
0.080000,1.108289,6995.495117,1
0.090000,1.101851,6995.495117,1
0.100000,1.095772,6995.495117,1
0.110000,1.101494,6995.495117,1
0.120000,1.105070,6995.495117,1
0.130000,1.098990,6995.495117,1
0.140000,1.109004,6995.495117,1
0.150000,1.105070,6995.495117,1
0.160000,1.099348,6995.495117,1
0.170000,1.107931,6995.495117,1
0.180000,1.100421,6995.495117,1
0.190000,1.101851,6995.495117,1
0.200000,1.098275,6995.495117,1
0.210000,1.105785,6995.495117,1
0.220000,1.107574,6995.495117,1
0.230000,1.119375,6995.495117,1
0.240000,1.104355,6995.495117,1
0.250000,1.118302,6995.495117,1
0.260000,1.119733,6995.495117,1
0.270000,1.123667,6995.495117,1
0.280000,1.115441,6995.495117,1
0.290000,1.129389,6995.495117,1
0.300000,1.130104,6937.205566,2
0.310000,1.125813,6878.916016,2
0.320000,1.132965,6820.626465,2
0.330000,1.136541,6762.336914,2
0.340000,1.124024,6704.047363,2
0.350000,1.122594,6645.757812,2
0.360000,1.117587,6587.468262,2
0.370000,1.111865,6529.178711,2
0.380000,1.116514,6470.889160,2
0.390000,1.118302,6412.599609,2
0.400000,1.129746,6354.310059,2
0.410000,1.129031,6296.020508,2
0.420000,1.137614,6237.730957,2
0.430000,1.162291,6179.441406,2
0.440000,1.171231,6121.151855,2
0.450000,1.187325,6062.862305,2
0.460000,1.214147,6004.572754,2
0.470000,1.219869,5946.283203,2
0.480000,1.234174,5887.993652,2
0.490000,1.250267,5829.704102,2
0.500000,1.269937,5771.414551,2
0.510000,1.278162,5713.125000,2
0.520000,1.281738,5654.835449,2
0.530000,1.287818,5596.545898,2
0.540000,1.292109,5538.256348,2
0.550000,1.282454,5479.966797,2
0.560000,1.289606,5421.677246,2
0.570000,1.279593,5363.387695,2
0.580000,1.286745,5305.098145,2
0.590000,1.273513,5246.808594,2
0.600000,1.275659,6995.495117,3
0.610000,1.284957,6995.495117,3
0.620000,1.287103,6995.495117,3
0.630000,1.288533,6995.495117,3
0.640000,1.287103,6995.495117,3
0.650000,1.300335,6995.495117,3
0.660000,1.298189,6995.495117,3
0.670000,1.289248,6995.495117,3
0.680000,1.283526,6995.495117,3
0.690000,1.274586,6995.495117,3
0.700000,1.263857,6995.495117,3
0.710000,1.236320,6995.495117,3
0.720000,1.204133,6995.495117,3
0.730000,1.155496,6995.495117,3
0.740000,1.110792,6995.495117,3
0.750000,1.095414,6995.495117,3
0.760000,1.082540,6995.495117,3
0.770000,1.082540,6995.495117,3
0.780000,1.090407,6995.495117,3
0.790000,1.079679,6995.495117,3
0.800000,1.071811,6995.495117,3
0.810000,1.073599,6995.495117,3
0.820000,1.078963,6995.495117,3
0.830000,1.073956,6995.495117,3
0.839999,1.073241,6995.495117,3
0.849999,1.081824,6995.495117,3
0.859999,1.072526,6995.495117,3
0.869999,1.082540,6995.495117,3
0.879999,1.074672,6995.495117,3
0.889999,1.079321,6995.495117,3
