flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016141900_6bb,14:19:00,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,236.025009,133.768921,0.433243,337.797668

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,186.065552,6995.495117,1
0.010000,218.124741,6995.495117,1
0.020000,225.944992,6995.495117,1
0.030000,228.022095,6995.495117,1
0.040000,228.717331,6995.495117,1
0.050000,229.053497,6995.495117,1
0.060000,229.249115,6995.495117,1
0.070000,229.355331,6995.495117,1
0.080000,229.441162,6995.495117,1
0.090000,229.484436,6995.495117,1
0.100000,229.550247,6995.495117,1
0.110000,229.552032,6995.495117,1
0.120000,229.593521,6995.495117,1
0.130000,229.612106,6995.495117,1
0.140000,229.624985,6995.495117,1
0.150000,229.653595,6995.495117,1
0.160000,229.678268,6995.495117,1
0.170000,229.695435,6995.495117,1
0.180000,229.726547,6995.495117,1
0.190000,229.745148,6995.495117,1
0.200000,229.774475,6995.495117,1
0.210000,229.779129,6995.495117,1
0.220000,229.781265,6995.495117,1
0.230000,229.788788,6995.495117,1
0.240000,229.796646,6995.495117,1
0.250000,229.792709,6995.495117,1
0.260000,229.778412,6995.495117,1
0.270000,229.780914,6995.495117,1
0.280000,229.755875,6995.495117,1
0.290000,229.749435,6995.495117,1
0.300000,229.731567,6937.205566,2
0.310000,229.690079,6878.916016,2
0.320000,229.645370,6820.626465,2
0.330000,229.617126,6762.336914,2
0.340000,229.579575,6704.047363,2
0.350000,229.547745,6645.757812,2
0.360000,229.492661,6587.468262,2
0.370000,229.436523,6529.178711,2
0.380000,229.375717,6470.889160,2
0.390000,229.322083,6412.599609,2
0.400000,229.250916,6354.310059,2
0.410000,229.199768,6296.020508,2
0.420000,229.119293,6237.730957,2
0.430000,229.063507,6179.441406,2
0.440000,229.004852,6121.151855,2
0.450000,228.925827,6062.862305,2
0.460000,228.851074,6004.572754,2
0.470000,228.773468,5946.283203,2
0.480000,228.694077,5887.993652,2
0.490000,228.632935,5829.704102,2
0.500000,228.553894,5771.414551,2
0.510000,228.451248,5713.125000,2
0.520000,228.399033,5654.835449,2
0.530000,228.312134,5596.545898,2
0.540000,228.215927,5538.256348,2
0.550000,228.117950,5479.966797,2
0.560000,228.046417,5421.677246,2
0.570000,227.969879,5363.387695,2
0.580000,227.869751,5305.098145,2
0.590000,227.757095,5246.808594,2
0.600000,228.173019,6995.495117,3
0.610000,228.206635,6995.495117,3
0.620000,228.125092,6995.495117,3
0.630000,228.061432,6995.495117,3
0.640000,227.993134,6995.495117,3
0.650000,227.903366,6995.495117,3
0.660000,227.846863,6995.495117,3
0.670000,227.782135,6995.495117,3
0.680000,227.704529,6995.495117,3
0.690000,227.634079,6995.495117,3
0.700000,227.587219,6995.495117,3
0.710000,227.505676,6995.495117,3
0.720000,227.422714,6995.495117,3
0.730000,227.350113,6995.495117,3
0.740000,227.287537,6995.495117,3
0.750000,227.212784,6995.495117,3
0.760000,227.132324,6995.495117,3
0.770000,227.069382,6995.495117,3
0.780000,226.989273,6995.495117,3
0.790000,226.920242,6995.495117,3
0.800000,226.870544,6995.495117,3
0.810000,226.782913,6995.495117,3
0.820000,226.721405,6995.495117,3
0.830000,226.629135,6995.495117,3
0.839999,226.557251,6995.495117,3
0.849999,226.495392,6995.495117,3
0.859999,226.424576,6995.495117,3
0.869999,226.356979,6995.495117,3
0.879999,226.260788,6995.495117,3
0.889999,226.201767,6995.495117,3
