flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016144710_d75,14:47:10,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,217.026230,173.381210,0.201105,1640.510498

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,188.636185,6995.495117,1
0.010000,204.651474,6995.495117,1
0.020000,208.797806,6995.495117,1
0.030000,210.138565,6995.495117,1
0.040000,210.554474,6995.495117,1
0.050000,210.697891,6995.495117,1
0.060000,210.717911,6995.495117,1
0.070000,210.712189,6995.495117,1
0.080000,210.700043,6995.495117,1
0.090000,210.665344,6995.495117,1
0.100000,210.635300,6995.495117,1
0.110000,210.579163,6995.495117,1
0.120000,210.518723,6995.495117,1
0.130000,210.472946,6995.495117,1
0.140000,210.407135,6995.495117,1
0.150000,210.340622,6995.495117,1
0.160000,210.263016,6995.495117,1
0.170000,210.220093,6995.495117,1
0.180000,210.122818,6995.495117,1
0.190000,210.059875,6995.495117,1
0.200000,210.014099,6995.495117,1
0.210000,209.915405,6995.495117,1
0.220000,209.866409,6995.495117,1
0.230000,209.797379,6995.495117,1
0.240000,209.740875,6995.495117,1
0.250000,209.684723,6995.495117,1
0.260000,209.613205,6995.495117,1
0.270000,209.554199,6995.495117,1
0.280000,209.491974,6995.495117,1
0.290000,209.434753,6995.495117,1
0.300000,209.394333,6937.205566,2
0.310000,209.292419,6878.916016,2
0.320000,209.220169,6820.626465,2
0.330000,209.137207,6762.336914,2
0.340000,209.075684,6704.047363,2
0.350000,208.996292,6645.757812,2
0.360000,208.914764,6587.468262,2
0.370000,208.822495,6529.178711,2
0.380000,208.749893,6470.889160,2
0.390000,208.673004,6412.599609,2
0.400000,208.565704,6354.310059,2
0.410000,208.483810,6296.020508,2
0.420000,208.408005,6237.730957,2
0.430000,208.337540,6179.441406,2
0.440000,208.245987,6121.151855,2
0.450000,208.141571,6062.862305,2
0.460000,208.059662,6004.572754,2
0.470000,207.968475,5946.283203,2
0.480000,207.864044,5887.993652,2
0.490000,207.801468,5829.704102,2
0.500000,207.729584,5771.414551,2
0.510000,207.624435,5713.125000,2
0.520000,207.552551,5654.835449,2
0.530000,207.457062,5596.545898,2
0.540000,207.351212,5538.256348,2
0.550000,207.262161,5479.966797,2
0.560000,207.188492,5421.677246,2
0.570000,207.112671,5363.387695,2
0.580000,207.017181,5305.098145,2
0.590000,206.900238,5246.808594,2
0.600000,207.528946,6995.495117,3
0.610000,207.658051,6995.495117,3
0.620000,207.666992,6995.495117,3
0.630000,207.643036,6995.495117,3
0.640000,207.601196,6995.495117,3
0.650000,207.555054,6995.495117,3
0.660000,207.527512,6995.495117,3
0.670000,207.461365,6995.495117,3
0.680000,207.439896,6995.495117,3
0.690000,207.386261,6995.495117,3
0.700000,207.358719,6995.495117,3
0.710000,207.304001,6995.495117,3
0.720000,207.282181,6995.495117,3
0.730000,207.238190,6995.495117,3
0.740000,207.201721,6995.495117,3
0.750000,207.158081,6995.495117,3
0.760000,207.115891,6995.495117,3
0.770000,207.079056,6995.495117,3
0.780000,207.045792,6995.495117,3
0.790000,207.019333,6995.495117,3
0.800000,207.007889,6995.495117,3
0.810000,206.954605,6995.495117,3
0.820000,206.930634,6995.495117,3
0.830000,206.906677,6995.495117,3
0.839999,206.851242,6995.495117,3
0.849999,206.831573,6995.495117,3
0.859999,206.812973,6995.495117,3
0.869999,206.771133,6995.495117,3
0.879999,206.748962,6995.495117,3
0.889999,206.711761,6995.495117,3
