flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016150146_c85,15:01:46,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,154.893799,133.854752,0.135829,1365.124512

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,143.912674,6995.495117,1
0.010000,150.048141,6995.495117,1
0.020000,151.661758,6995.495117,1
0.030000,152.238251,6995.495117,1
0.040000,152.426010,6995.495117,1
0.050000,152.479645,6995.495117,1
0.060000,152.475357,6995.495117,1
0.070000,152.458908,6995.495117,1
0.080000,152.452469,6995.495117,1
0.090000,152.429581,6995.495117,1
0.100000,152.429230,6995.495117,1
0.110000,152.392746,6995.495117,1
0.120000,152.366287,6995.495117,1
0.130000,152.353043,6995.495117,1
0.140000,152.335526,6995.495117,1
0.150000,152.303696,6995.495117,1
0.160000,152.286530,6995.495117,1
0.170000,152.284027,6995.495117,1
0.180000,152.249329,6995.495117,1
0.190000,152.238602,6995.495117,1
0.200000,152.231094,6995.495117,1
0.210000,152.205353,6995.495117,1
0.220000,152.183884,6995.495117,1
0.230000,152.173874,6995.495117,1
0.240000,152.160294,6995.495117,1
0.250000,152.147049,6995.495117,1
0.260000,152.132751,6995.495117,1
0.270000,152.123810,6995.495117,1
0.280000,152.093765,6995.495117,1
0.290000,152.096634,6995.495117,1
0.300000,152.083038,6937.205566,2
0.310000,152.037262,6878.916016,2
0.320000,152.012589,6820.626465,2
0.330000,151.985046,6762.336914,2
0.340000,151.967163,6704.047363,2
0.350000,151.955719,6645.757812,2
0.360000,151.920319,6587.468262,2
0.370000,151.872391,6529.178711,2
0.380000,151.871323,6470.889160,2
0.390000,151.821976,6412.599609,2
0.400000,151.788712,6354.310059,2
0.410000,151.763321,6296.020508,2
0.420000,151.751526,6237.730957,2
0.430000,151.717194,6179.441406,2
0.440000,151.693939,6121.151855,2
0.450000,151.639938,6062.862305,2
0.460000,151.630997,6004.572754,2
0.470000,151.588791,5946.283203,2
0.480000,151.561615,5887.993652,2
0.490000,151.526215,5829.704102,2
0.500000,151.503677,5771.414551,2
0.510000,151.454681,5713.125000,2
0.520000,151.425354,5654.835449,2
0.530000,151.395676,5596.545898,2
0.540000,151.334518,5538.256348,2
0.550000,151.308411,5479.966797,2
0.560000,151.273727,5421.677246,2
0.570000,151.243683,5363.387695,2
0.580000,151.205780,5305.098145,2
0.590000,151.143555,5246.808594,2
0.600000,151.570206,6995.495117,3
0.610000,151.681061,6995.495117,3
0.620000,151.701447,6995.495117,3
0.630000,151.685715,6995.495117,3
0.640000,151.670700,6995.495117,3
0.650000,151.652100,6995.495117,3
0.660000,151.661392,6995.495117,3
0.670000,151.647812,6995.495117,3
0.680000,151.641373,6995.495117,3
0.690000,151.637085,6995.495117,3
0.700000,151.638504,6995.495117,3
0.710000,151.617767,6995.495117,3
0.720000,151.628494,6995.495117,3
0.730000,151.605255,6995.495117,3
0.740000,151.610977,6995.495117,3
0.750000,151.599884,6995.495117,3
0.760000,151.594879,6995.495117,3
0.770000,151.590225,6995.495117,3
0.780000,151.582001,6995.495117,3
0.790000,151.571625,6995.495117,3
0.800000,151.592377,6995.495117,3
0.810000,151.573059,6995.495117,3
0.820000,151.563049,6995.495117,3
0.830000,151.556976,6995.495117,3
0.839999,151.550888,6995.495117,3
0.849999,151.543381,6995.495117,3
0.859999,151.538010,6995.495117,3
0.869999,151.537292,6995.495117,3
0.879999,151.536942,6995.495117,3
0.889999,151.533722,6995.495117,3
