flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251018115001_01c,11:50:01,2025-10-18,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,203.248810,101.809502,0.499089,268.610779

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,161.041977,6995.495117,1
0.010000,193.018921,6995.495117,1
0.020000,198.362595,6995.495117,1
0.030000,199.968689,6995.495117,1
0.040000,200.636032,6995.495117,1
0.050000,200.987579,6995.495117,1
0.060000,201.224686,6995.495117,1
0.070000,201.406357,6995.495117,1
0.080000,201.519730,6995.495117,1
0.090000,201.610916,6995.495117,1
0.100000,201.696747,6995.495117,1
0.110000,201.738602,6995.495117,1
0.120000,201.767212,6995.495117,1
0.130000,201.787598,6995.495117,1
0.140000,201.801895,6995.495117,1
0.150000,201.819061,6995.495117,1
0.160000,201.815125,6995.495117,1
0.170000,201.809052,6995.495117,1
0.180000,201.811554,6995.495117,1
0.190000,201.802246,6995.495117,1
0.200000,201.802612,6995.495117,1
0.210000,201.769714,6995.495117,1
0.220000,201.754333,6995.495117,1
0.230000,201.742172,6995.495117,1
0.240000,201.709991,6995.495117,1
0.250000,201.688522,6995.495117,1
0.260000,201.688171,6995.495117,1
0.270000,201.665634,6995.495117,1
0.280000,201.635605,6995.495117,1
0.290000,201.597687,6995.495117,1
0.300000,201.592682,6937.205566,2
0.310000,201.578018,6878.916016,2
0.320000,201.553345,6820.626465,2
0.330000,201.557999,6762.336914,2
0.340000,201.524017,6704.047363,2
0.350000,201.505417,6645.757812,2
0.360000,201.496841,6587.468262,2
0.370000,201.484680,6529.178711,2
0.380000,201.447128,6470.889160,2
0.390000,201.438187,6412.599609,2
0.400000,201.434250,6354.310059,2
0.410000,201.399918,6296.020508,2
0.420000,201.396347,6237.730957,2
0.430000,201.377396,6179.441406,2
0.440000,201.344482,6121.151855,2
0.450000,201.343414,6062.862305,2
0.460000,201.329117,6004.572754,2
0.470000,201.307648,5946.283203,2
0.480000,201.275467,5887.993652,2
0.490000,201.259018,5829.704102,2
0.500000,201.252579,5771.414551,2
0.510000,201.220032,5713.125000,2
0.520000,201.209671,5654.835449,2
0.530000,201.195358,5596.545898,2
0.540000,201.158173,5538.256348,2
0.550000,201.141708,5479.966797,2
0.560000,201.120255,5421.677246,2
0.570000,201.097733,5363.387695,2
0.580000,201.083786,5305.098145,2
0.590000,201.040512,5246.808594,2
0.600000,201.123474,6995.495117,3
0.610000,201.165314,6995.495117,3
0.620000,201.137787,6995.495117,3
0.630000,201.116318,6995.495117,3
0.640000,201.088425,6995.495117,3
0.650000,201.066620,6995.495117,3
0.660000,201.052673,6995.495117,3
0.670000,201.005814,6995.495117,3
0.680000,201.004745,6995.495117,3
0.690000,200.987213,6995.495117,3
0.700000,200.971848,6995.495117,3
0.710000,200.935715,6995.495117,3
0.720000,200.918915,6995.495117,3
0.730000,200.912827,6995.495117,3
0.740000,200.887436,6995.495117,3
0.750000,200.874924,6995.495117,3
0.760000,200.858124,6995.495117,3
0.770000,200.846680,6995.495117,3
0.780000,200.823074,6995.495117,3
0.790000,200.801254,6995.495117,3
0.800000,200.798386,6995.495117,3
0.810000,200.761917,6995.495117,3
0.820000,200.762985,6995.495117,3
0.830000,200.730438,6995.495117,3
0.839999,200.713989,6995.495117,3
0.849999,200.697906,6995.495117,3
0.859999,200.677521,6995.495117,3
0.869999,200.669647,6995.495117,3
0.879999,200.650330,6995.495117,3
0.889999,200.642105,6995.495117,3
