flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251018123553_f8b,12:35:53,2025-10-18,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,376.256805,157.962799,0.580173,204.795654

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,274.507294,6995.495117,1
0.010000,345.984222,6995.495117,1
0.020000,364.776489,6995.495117,1
0.030000,370.433807,6995.495117,1
0.040000,372.226227,6995.495117,1
0.050000,372.890350,6995.495117,1
0.060000,373.220459,6995.495117,1
0.070000,373.449677,6995.495117,1
0.080000,373.589172,6995.495117,1
0.090000,373.675690,6995.495117,1
0.100000,373.746155,6995.495117,1
0.110000,373.773346,6995.495117,1
0.120000,373.799805,6995.495117,1
0.130000,373.796234,6995.495117,1
0.140000,373.802673,6995.495117,1
0.150000,373.824127,6995.495117,1
0.160000,373.828400,6995.495117,1
0.170000,373.811615,6995.495117,1
0.180000,373.816620,6995.495117,1
0.190000,373.836273,6995.495117,1
0.200000,373.848785,6995.495117,1
0.210000,373.815887,6995.495117,1
0.220000,373.806610,6995.495117,1
0.230000,373.810516,6995.495117,1
0.240000,373.810516,6995.495117,1
0.250000,373.784424,6995.495117,1
0.260000,373.778351,6995.495117,1
0.270000,373.764404,6995.495117,1
0.280000,373.771179,6995.495117,1
0.290000,373.740448,6995.495117,1
0.300000,373.774048,6937.205566,2
0.310000,373.762970,6878.916016,2
0.320000,373.724701,6820.626465,2
0.330000,373.759735,6762.336914,2
0.340000,373.718964,6704.047363,2
0.350000,373.737579,6645.757812,2
0.360000,373.720398,6587.468262,2
0.370000,373.705017,6529.178711,2
0.380000,373.686432,6470.889160,2
0.390000,373.682495,6412.599609,2
0.400000,373.685730,6354.310059,2
0.410000,373.623138,6296.020508,2
0.420000,373.637451,6237.730957,2
0.430000,373.593079,6179.441406,2
0.440000,373.607025,6121.151855,2
0.450000,373.560913,6062.862305,2
0.460000,373.553741,6004.572754,2
0.470000,373.509766,5946.283203,2
0.480000,373.474731,5887.993652,2
0.490000,373.446106,5829.704102,2
0.500000,373.435028,5771.414551,2
0.510000,373.374573,5713.125000,2
0.520000,373.343475,5654.835449,2
0.530000,373.301270,5596.545898,2
0.540000,373.247253,5538.256348,2
0.550000,373.176453,5479.966797,2
0.560000,373.144989,5421.677246,2
0.570000,373.097778,5363.387695,2
0.580000,373.044861,5305.098145,2
0.590000,372.969025,5246.808594,2
0.600000,373.142487,6995.495117,3
0.610000,373.335602,6995.495117,3
0.620000,373.334900,6995.495117,3
0.630000,373.265869,6995.495117,3
0.640000,373.246185,6995.495117,3
0.650000,373.189697,6995.495117,3
0.660000,373.148560,6995.495117,3
0.670000,373.123535,6995.495117,3
0.680000,373.060944,6995.495117,3
0.690000,373.005859,6995.495117,3
0.700000,372.990143,6995.495117,3
0.710000,372.940765,6995.495117,3
0.720000,372.876404,6995.495117,3
0.730000,372.836365,6995.495117,3
0.740000,372.794861,6995.495117,3
0.750000,372.785217,6995.495117,3
0.760000,372.750519,6995.495117,3
0.770000,372.701874,6995.495117,3
0.780000,372.667542,6995.495117,3
0.790000,372.608185,6995.495117,3
0.800000,372.584595,6995.495117,3
0.810000,372.528076,6995.495117,3
0.820000,372.475861,6995.495117,3
0.830000,372.439026,6995.495117,3
0.839999,372.403259,6995.495117,3
0.849999,372.336029,6995.495117,3
0.859999,372.284546,6995.495117,3
0.869999,372.244476,6995.495117,3
0.879999,372.184753,6995.495117,3
0.889999,372.137177,6995.495117,3
