flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251005152133_de7,15:21:33,2025-10-05,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,323.348846,251.061554,0.223558,849.183289

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,284.891022,6995.495117,1
0.010000,303.112854,6995.495117,1
0.020000,307.154785,6995.495117,1
0.030000,308.826691,6995.495117,1
0.040000,309.662476,6995.495117,1
0.050000,310.086975,6995.495117,1
0.060000,310.365570,6995.495117,1
0.070000,310.475006,6995.495117,1
0.080000,310.539734,6995.495117,1
0.090000,310.573700,6995.495117,1
0.100000,310.585144,6995.495117,1
0.110000,310.533997,6995.495117,1
0.120000,310.525787,6995.495117,1
0.130000,310.489655,6995.495117,1
0.140000,310.436737,6995.495117,1
0.150000,310.382355,6995.495117,1
0.160000,310.309753,6995.495117,1
0.170000,310.258636,6995.495117,1
0.180000,310.183167,6995.495117,1
0.190000,310.127747,6995.495117,1
0.200000,310.050140,6995.495117,1
0.210000,309.965729,6995.495117,1
0.220000,309.906372,6995.495117,1
0.230000,309.824829,6995.495117,1
0.240000,309.752594,6995.495117,1
0.250000,309.688202,6995.495117,1
0.260000,309.597015,6995.495117,1
0.270000,309.539429,6995.495117,1
0.280000,309.453247,6995.495117,1
0.290000,309.382080,6995.495117,1
0.300000,309.304108,6937.205566,2
0.310000,309.140686,6878.916016,2
0.320000,309.037323,6820.626465,2
0.330000,308.874603,6762.336914,2
0.340000,308.783783,6704.047363,2
0.350000,308.617462,6645.757812,2
0.360000,308.509827,6587.468262,2
0.370000,308.327789,6529.178711,2
0.380000,308.218018,6470.889160,2
0.390000,308.051697,6412.599609,2
0.400000,307.872162,6354.310059,2
0.410000,307.730560,6296.020508,2
0.420000,307.565674,6237.730957,2
0.430000,307.465546,6179.441406,2
0.440000,307.292114,6121.151855,2
0.450000,307.088257,6062.862305,2
0.460000,306.981323,6004.572754,2
0.470000,306.805023,5946.283203,2
0.480000,306.608307,5887.993652,2
0.490000,306.484924,5829.704102,2
0.500000,306.334015,5771.414551,2
0.510000,306.132660,5713.125000,2
0.520000,306.027161,5654.835449,2
0.530000,305.830475,5596.545898,2
0.540000,305.637726,5538.256348,2
0.550000,305.424927,5479.966797,2
0.560000,305.321228,5421.677246,2
0.570000,305.149902,5363.387695,2
0.580000,304.953583,5305.098145,2
0.590000,304.756165,5246.808594,2
0.600000,306.326874,6995.495117,3
0.610000,306.650146,6995.495117,3
0.620000,306.666626,6995.495117,3
0.630000,306.643005,6995.495117,3
0.640000,306.590088,6995.495117,3
0.650000,306.529633,6995.495117,3
0.660000,306.448456,6995.495117,3
0.670000,306.368347,6995.495117,3
0.680000,306.308258,6995.495117,3
0.690000,306.201324,6995.495117,3
0.700000,306.147339,6995.495117,3
0.710000,306.047211,6995.495117,3
0.720000,305.957428,6995.495117,3
0.730000,305.879822,6995.495117,3
0.740000,305.789337,6995.495117,3
0.750000,305.708527,6995.495117,3
0.760000,305.641296,6995.495117,3
0.770000,305.534729,6995.495117,3
0.780000,305.477509,6995.495117,3
0.790000,305.385590,6995.495117,3
0.800000,305.311920,6995.495117,3
0.810000,305.217499,6995.495117,3
0.820000,305.123444,6995.495117,3
0.830000,305.045471,6995.495117,3
0.839999,304.966095,6995.495117,3
0.849999,304.913879,6995.495117,3
0.859999,304.826965,6995.495117,3
0.869999,304.757965,6995.495117,3
0.879999,304.695740,6995.495117,3
0.889999,304.635284,6995.495117,3
