flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251010141545_2bb,14:15:45,2025-10-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,404.337524,140.109299,0.653484,1254.648804

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,256.237854,6995.495117,1
0.010000,331.992737,6995.495117,1
0.020000,357.091064,6995.495117,1
0.030000,367.341766,6995.495117,1
0.040000,372.229462,6995.495117,1
0.050000,374.930634,6995.495117,1
0.060000,376.553894,6995.495117,1
0.070000,377.594940,6995.495117,1
0.080000,378.281586,6995.495117,1
0.090000,378.726837,6995.495117,1
0.100000,379.046906,6995.495117,1
0.110000,379.277588,6995.495117,1
0.120000,379.443878,6995.495117,1
0.130000,379.569763,6995.495117,1
0.140000,379.675629,6995.495117,1
0.150000,379.776825,6995.495117,1
0.160000,379.839417,6995.495117,1
0.170000,379.904510,6995.495117,1
0.180000,379.979614,6995.495117,1
0.190000,380.042542,6995.495117,1
0.200000,380.123749,6995.495117,1
0.210000,380.151276,6995.495117,1
0.220000,380.184174,6995.495117,1
0.230000,380.254272,6995.495117,1
0.240000,380.305756,6995.495117,1
0.250000,380.364777,6995.495117,1
0.260000,380.440247,6995.495117,1
0.270000,380.494598,6995.495117,1
0.280000,380.544312,6995.495117,1
0.290000,380.591522,6995.495117,1
0.300000,380.669830,6937.205566,2
0.310000,380.355835,6878.916016,2
0.320000,380.337952,6820.626465,2
0.330000,380.034698,6762.336914,2
0.340000,380.007507,6704.047363,2
0.350000,379.697083,6645.757812,2
0.360000,379.675995,6587.468262,2
0.370000,379.326569,6529.178711,2
0.380000,379.287231,6470.889160,2
0.390000,378.946411,6412.599609,2
0.400000,378.566986,6354.310059,2
0.410000,378.494385,6296.020508,2
0.420000,378.153198,6237.730957,2
0.430000,378.122803,6179.441406,2
0.440000,377.803436,6121.151855,2
0.450000,377.379303,6062.862305,2
0.460000,377.333893,6004.572754,2
0.470000,376.962311,5946.283203,2
0.480000,376.545654,5887.993652,2
0.490000,376.483795,5829.704102,2
0.500000,376.145844,5771.414551,2
0.510000,375.698456,5713.125000,2
0.520000,375.642303,5654.835449,2
0.530000,375.253204,5596.545898,2
0.540000,374.826904,5538.256348,2
0.550000,374.370209,5479.966797,2
0.560000,374.286163,5421.677246,2
0.570000,373.902802,5363.387695,2
0.580000,373.441803,5305.098145,2
0.590000,372.953644,5246.808594,2
0.600000,380.034332,6995.495117,3
0.610000,381.509552,6995.495117,3
0.620000,381.898285,6995.495117,3
0.630000,382.041321,6995.495117,3
0.640000,382.108582,6995.495117,3
0.650000,382.134308,6995.495117,3
0.660000,382.179749,6995.495117,3
0.670000,382.174011,6995.495117,3
0.680000,382.189026,6995.495117,3
0.690000,382.206207,6995.495117,3
0.700000,382.223022,6995.495117,3
0.710000,382.194763,6995.495117,3
0.720000,382.200134,6995.495117,3
0.730000,382.205139,6995.495117,3
0.740000,382.215149,6995.495117,3
0.750000,382.224091,6995.495117,3
0.760000,382.207642,6995.495117,3
0.770000,382.233734,6995.495117,3
0.780000,382.226593,6995.495117,3
0.790000,382.250916,6995.495117,3
0.800000,382.251984,6995.495117,3
0.810000,382.227661,6995.495117,3
0.820000,382.222290,6995.495117,3
0.830000,382.215515,6995.495117,3
0.839999,382.225159,6995.495117,3
0.849999,382.223724,6995.495117,3
0.859999,382.224426,6995.495117,3
0.869999,382.219788,6995.495117,3
0.879999,382.220520,6995.495117,3
0.889999,382.207275,6995.495117,3
