flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011121720_7ed,12:17:20,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,314.275543,132.875198,0.577202,237.930664

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,222.395905,6995.495117,1
0.010000,287.475952,6995.495117,1
0.020000,300.397766,6995.495117,1
0.030000,304.041260,6995.495117,1
0.040000,305.428162,6995.495117,1
0.050000,306.043640,6995.495117,1
0.060000,306.399109,6995.495117,1
0.070000,306.616180,6995.495117,1
0.080000,306.791412,6995.495117,1
0.090000,306.914795,6995.495117,1
0.100000,307.004211,6995.495117,1
0.110000,307.044281,6995.495117,1
0.120000,307.096130,6995.495117,1
0.130000,307.116852,6995.495117,1
0.140000,307.140839,6995.495117,1
0.150000,307.126526,6995.495117,1
0.160000,307.122589,6995.495117,1
0.170000,307.114014,6995.495117,1
0.180000,307.104340,6995.495117,1
0.190000,307.078949,6995.495117,1
0.200000,307.068237,6995.495117,1
0.210000,307.024963,6995.495117,1
0.220000,306.998840,6995.495117,1
0.230000,306.966309,6995.495117,1
0.240000,306.934845,6995.495117,1
0.250000,306.910522,6995.495117,1
0.260000,306.858307,6995.495117,1
0.270000,306.835785,6995.495117,1
0.280000,306.816101,6995.495117,1
0.290000,306.778564,6995.495117,1
0.300000,306.767822,6937.205566,2
0.310000,306.651245,6878.916016,2
0.320000,306.610809,6820.626465,2
0.330000,306.520355,6762.336914,2
0.340000,306.479919,6704.047363,2
0.350000,306.401611,6645.757812,2
0.360000,306.366577,6587.468262,2
0.370000,306.247467,6529.178711,2
0.380000,306.202423,6470.889160,2
0.390000,306.102997,6412.599609,2
0.400000,306.015381,6354.310059,2
0.410000,305.958862,6296.020508,2
0.420000,305.868378,6237.730957,2
0.430000,305.828705,6179.441406,2
0.440000,305.716034,6121.151855,2
0.450000,305.614471,6062.862305,2
0.460000,305.580841,6004.572754,2
0.470000,305.472839,5946.283203,2
0.480000,305.354126,5887.993652,2
0.490000,305.300110,5829.704102,2
0.500000,305.229309,5771.414551,2
0.510000,305.104126,5713.125000,2
0.520000,305.057281,5654.835449,2
0.530000,304.944275,5596.545898,2
0.540000,304.806946,5538.256348,2
0.550000,304.689636,5479.966797,2
0.560000,304.657104,5421.677246,2
0.570000,304.540527,5363.387695,2
0.580000,304.432861,5305.098145,2
0.590000,304.270508,5246.808594,2
0.600000,305.684937,6995.495117,3
0.610000,305.931335,6995.495117,3
0.620000,305.953857,6995.495117,3
0.630000,305.922760,6995.495117,3
0.640000,305.909149,6995.495117,3
0.650000,305.853729,6995.495117,3
0.660000,305.821533,6995.495117,3
0.670000,305.777893,6995.495117,3
0.680000,305.753937,6995.495117,3
0.690000,305.712463,6995.495117,3
0.700000,305.692444,6995.495117,3
0.710000,305.652008,6995.495117,3
0.720000,305.613037,6995.495117,3
0.730000,305.563690,6995.495117,3
0.740000,305.528992,6995.495117,3
0.750000,305.497894,6995.495117,3
0.760000,305.458191,6995.495117,3
0.770000,305.419220,6995.495117,3
0.780000,305.377014,6995.495117,3
0.790000,305.348755,6995.495117,3
0.800000,305.338013,6995.495117,3
0.810000,305.280090,6995.495117,3
0.820000,305.240387,6995.495117,3
0.830000,305.192841,6995.495117,3
0.839999,305.155640,6995.495117,3
0.849999,305.120239,6995.495117,3
0.859999,305.088745,6995.495117,3
0.869999,305.041199,6995.495117,3
0.879999,304.997192,6995.495117,3
0.889999,304.965027,6995.495117,3
