flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011135305_e6a,13:53:05,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,479.315979,130.447266,0.727847,116.242676

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,293.839935,6995.495117,1
0.010000,425.213104,6995.495117,1
0.020000,461.629639,6995.495117,1
0.030000,470.930450,6995.495117,1
0.040000,474.230652,6995.495117,1
0.050000,475.697266,6995.495117,1
0.060000,476.515533,6995.495117,1
0.070000,477.009430,6995.495117,1
0.080000,477.331268,6995.495117,1
0.090000,477.513306,6995.495117,1
0.100000,477.716797,6995.495117,1
0.110000,477.800842,6995.495117,1
0.120000,477.908844,6995.495117,1
0.130000,477.996124,6995.495117,1
0.140000,478.083740,6995.495117,1
0.150000,478.119843,6995.495117,1
0.160000,478.130219,6995.495117,1
0.170000,478.160614,6995.495117,1
0.180000,478.200317,6995.495117,1
0.190000,478.229645,6995.495117,1
0.200000,478.281128,6995.495117,1
0.210000,478.306885,6995.495117,1
0.220000,478.361603,6995.495117,1
0.230000,478.448517,6995.495117,1
0.240000,478.484985,6995.495117,1
0.250000,478.531494,6995.495117,1
0.260000,478.612671,6995.495117,1
0.270000,478.680603,6995.495117,1
0.280000,478.763214,6995.495117,1
0.290000,478.808655,6995.495117,1
0.300000,478.923431,6937.205566,2
0.310000,478.972076,6878.916016,2
0.320000,479.019989,6820.626465,2
0.330000,479.107971,6762.336914,2
0.340000,479.173767,6704.047363,2
0.350000,479.293579,6645.757812,2
0.360000,479.366547,6587.468262,2
0.370000,479.428406,6529.178711,2
0.380000,479.488861,6470.889160,2
0.390000,479.509583,6412.599609,2
0.400000,479.574310,6354.310059,2
0.410000,479.585052,6296.020508,2
0.420000,479.605072,6237.730957,2
0.430000,479.658020,6179.441406,2
0.440000,479.664093,6121.151855,2
0.450000,479.634399,6062.862305,2
0.460000,479.651581,6004.572754,2
0.470000,479.658722,5946.283203,2
0.480000,479.613312,5887.993652,2
0.490000,479.633698,5829.704102,2
0.500000,479.591858,5771.414551,2
0.510000,479.537140,5713.125000,2
0.520000,479.510651,5654.835449,2
0.530000,479.441284,5596.545898,2
0.540000,479.342926,5538.256348,2
0.550000,479.236359,5479.966797,2
0.560000,479.220642,5421.677246,2
0.570000,479.122986,5363.387695,2
0.580000,479.028229,5305.098145,2
0.590000,478.873016,5246.808594,2
0.600000,479.944824,6995.495117,3
0.610000,480.241669,6995.495117,3
0.620000,480.162964,6995.495117,3
0.630000,480.028503,6995.495117,3
0.640000,479.912628,6995.495117,3
0.650000,479.786041,6995.495117,3
0.660000,479.661591,6995.495117,3
0.670000,479.580414,6995.495117,3
0.680000,479.433777,6995.495117,3
0.690000,479.320404,6995.495117,3
0.700000,479.242432,6995.495117,3
0.710000,479.081512,6995.495117,3
0.720000,478.945984,6995.495117,3
0.730000,478.834045,6995.495117,3
0.740000,478.677032,6995.495117,3
0.750000,478.552216,6995.495117,3
0.760000,478.414185,6995.495117,3
0.770000,478.270416,6995.495117,3
0.780000,478.122009,6995.495117,3
0.790000,477.964630,6995.495117,3
0.800000,477.852692,6995.495117,3
0.810000,477.673187,6995.495117,3
0.820000,477.507935,6995.495117,3
0.830000,477.354889,6995.495117,3
0.839999,477.203979,6995.495117,3
0.849999,477.045898,6995.495117,3
0.859999,476.874939,6995.495117,3
0.869999,476.721527,6995.495117,3
0.879999,476.556671,6995.495117,3
0.889999,476.398224,6995.495117,3
