flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011143136_8f3,14:31:36,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,230.349121,84.481361,0.633246,309.009521

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,148.582581,6995.495117,1
0.010000,196.958893,6995.495117,1
0.020000,208.063599,6995.495117,1
0.030000,211.893433,6995.495117,1
0.040000,213.876129,6995.495117,1
0.050000,215.241196,6995.495117,1
0.060000,216.252213,6995.495117,1
0.070000,217.015747,6995.495117,1
0.080000,217.617981,6995.495117,1
0.090000,218.077179,6995.495117,1
0.100000,218.462341,6995.495117,1
0.110000,218.737717,6995.495117,1
0.120000,218.980194,6995.495117,1
0.130000,219.179031,6995.495117,1
0.140000,219.352478,6995.495117,1
0.150000,219.508057,6995.495117,1
0.160000,219.634293,6995.495117,1
0.170000,219.758743,6995.495117,1
0.180000,219.872116,6995.495117,1
0.190000,219.968674,6995.495117,1
0.200000,220.070236,6995.495117,1
0.210000,220.148209,6995.495117,1
0.220000,220.225815,6995.495117,1
0.230000,220.301636,6995.495117,1
0.240000,220.385666,6995.495117,1
0.250000,220.442535,6995.495117,1
0.260000,220.494751,6995.495117,1
0.270000,220.566635,6995.495117,1
0.280000,220.612762,6995.495117,1
0.290000,220.646027,6995.495117,1
0.300000,220.705383,6937.205566,2
0.310000,220.609909,6878.916016,2
0.320000,220.634933,6820.626465,2
0.330000,220.526581,6762.336914,2
0.340000,220.551971,6704.047363,2
0.350000,220.453262,6645.757812,2
0.360000,220.458984,6587.468262,2
0.370000,220.336670,6529.178711,2
0.380000,220.339172,6470.889160,2
0.390000,220.198273,6412.599609,2
0.400000,220.065948,6354.310059,2
0.410000,220.044128,6296.020508,2
0.420000,219.913956,6237.730957,2
0.430000,219.907516,6179.441406,2
0.440000,219.784500,6121.151855,2
0.450000,219.608185,6062.862305,2
0.460000,219.585663,6004.572754,2
0.470000,219.417923,5946.283203,2
0.480000,219.258789,5887.993652,2
0.490000,219.226242,5829.704102,2
0.500000,219.085693,5771.414551,2
0.510000,218.888641,5713.125000,2
0.520000,218.854309,5654.835449,2
0.530000,218.675140,5596.545898,2
0.540000,218.478806,5538.256348,2
0.550000,218.294617,5479.966797,2
0.560000,218.248489,5421.677246,2
0.570000,218.061447,5363.387695,2
0.580000,217.872269,5305.098145,2
0.590000,217.659836,5246.808594,2
0.600000,220.401413,6995.495117,3
0.610000,220.589874,6995.495117,3
0.620000,220.630997,6995.495117,3
0.630000,220.613129,6995.495117,3
0.640000,220.572357,6995.495117,3
0.650000,220.528717,6995.495117,3
0.660000,220.483307,6995.495117,3
0.670000,220.415710,6995.495117,3
0.680000,220.375305,6995.495117,3
0.690000,220.319504,6995.495117,3
0.700000,220.272308,6995.495117,3
0.710000,220.209366,6995.495117,3
0.720000,220.149994,6995.495117,3
0.730000,220.098145,6995.495117,3
0.740000,220.052002,6995.495117,3
0.750000,219.992996,6995.495117,3
0.760000,219.928619,6995.495117,3
0.770000,219.870331,6995.495117,3
0.780000,219.807739,6995.495117,3
0.790000,219.756607,6995.495117,3
0.800000,219.710114,6995.495117,3
0.810000,219.627853,6995.495117,3
0.820000,219.582077,6995.495117,3
0.830000,219.522003,6995.495117,3
0.839999,219.463699,6995.495117,3
0.849999,219.403259,6995.495117,3
0.859999,219.350693,6995.495117,3
0.869999,219.293472,6995.495117,3
0.879999,219.228027,6995.495117,3
0.889999,219.175095,6995.495117,3
