flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011145214_58e,14:52:14,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,430.862427,140.784149,0.673250,322.600739

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,270.711792,6995.495117,1
0.010000,358.893524,6995.495117,1
0.020000,393.198608,6995.495117,1
0.030000,405.295715,6995.495117,1
0.040000,409.929169,6995.495117,1
0.050000,411.979431,6995.495117,1
0.060000,413.031219,6995.495117,1
0.070000,413.649200,6995.495117,1
0.080000,414.028656,6995.495117,1
0.090000,414.282928,6995.495117,1
0.100000,414.481415,6995.495117,1
0.110000,414.594757,6995.495117,1
0.120000,414.680237,6995.495117,1
0.130000,414.736023,6995.495117,1
0.140000,414.758575,6995.495117,1
0.150000,414.795044,6995.495117,1
0.160000,414.805756,6995.495117,1
0.170000,414.844757,6995.495117,1
0.180000,414.860840,6995.495117,1
0.190000,414.849396,6995.495117,1
0.200000,414.867279,6995.495117,1
0.210000,414.844391,6995.495117,1
0.220000,414.851532,6995.495117,1
0.230000,414.845123,6995.495117,1
0.240000,414.843323,6995.495117,1
0.250000,414.820801,6995.495117,1
0.260000,414.798615,6995.495117,1
0.270000,414.792542,6995.495117,1
0.280000,414.782166,6995.495117,1
0.290000,414.770355,6995.495117,1
0.300000,414.783966,6937.205566,2
0.310000,414.564026,6878.916016,2
0.320000,414.518250,6820.626465,2
0.330000,414.309387,6762.336914,2
0.340000,414.272186,6704.047363,2
0.350000,414.076935,6645.757812,2
0.360000,414.010406,6587.468262,2
0.370000,413.785461,6529.178711,2
0.380000,413.717865,6470.889160,2
0.390000,413.504364,6412.599609,2
0.400000,413.275848,6354.310059,2
0.410000,413.200012,6296.020508,2
0.420000,412.971497,6237.730957,2
0.430000,412.927521,6179.441406,2
0.440000,412.681824,6121.151855,2
0.450000,412.430756,6062.862305,2
0.460000,412.387848,6004.572754,2
0.470000,412.138214,5946.283203,2
0.480000,411.844604,5887.993652,2
0.490000,411.789886,5829.704102,2
0.500000,411.600342,5771.414551,2
0.510000,411.278839,5713.125000,2
0.520000,411.245239,5654.835449,2
0.530000,410.994171,5596.545898,2
0.540000,410.712372,5538.256348,2
0.550000,410.414459,5479.966797,2
0.560000,410.364044,5421.677246,2
0.570000,410.119781,5363.387695,2
0.580000,409.840118,5305.098145,2
0.590000,409.546143,5246.808594,2
0.600000,413.833374,6995.495117,3
0.610000,414.629822,6995.495117,3
0.620000,414.811127,6995.495117,3
0.630000,414.858704,6995.495117,3
0.640000,414.847260,6995.495117,3
0.650000,414.852966,6995.495117,3
0.660000,414.838684,6995.495117,3
0.670000,414.830078,6995.495117,3
0.680000,414.816132,6995.495117,3
0.690000,414.809357,6995.495117,3
0.700000,414.837250,6995.495117,3
0.710000,414.805420,6995.495117,3
0.720000,414.819366,6995.495117,3
0.730000,414.802551,6995.495117,3
0.740000,414.795410,6995.495117,3
0.750000,414.798615,6995.495117,3
0.760000,414.791809,6995.495117,3
0.770000,414.785400,6995.495117,3
0.780000,414.781464,6995.495117,3
0.790000,414.792542,6995.495117,3
0.800000,414.824005,6995.495117,3
0.810000,414.794312,6995.495117,3
0.820000,414.787903,6995.495117,3
0.830000,414.794312,6995.495117,3
0.839999,414.787903,6995.495117,3
0.849999,414.803619,6995.495117,3
0.859999,414.815430,6995.495117,3
0.869999,414.817200,6995.495117,3
0.879999,414.796112,6995.495117,3
0.889999,414.797546,6995.495117,3
