flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251011153446_b4e,15:34:46,2025-10-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,321.168152,231.743927,0.278434,235.697601

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,272.091522,6995.495117,1
0.010000,296.766388,6995.495117,1
0.020000,302.816040,6995.495117,1
0.030000,305.550812,6995.495117,1
0.040000,307.029236,6995.495117,1
0.050000,307.908997,6995.495117,1
0.060000,308.476929,6995.495117,1
0.070000,308.881409,6995.495117,1
0.080000,309.165710,6995.495117,1
0.090000,309.381714,6995.495117,1
0.100000,309.552673,6995.495117,1
0.110000,309.642792,6995.495117,1
0.120000,309.737549,6995.495117,1
0.130000,309.804443,6995.495117,1
0.140000,309.887054,6995.495117,1
0.150000,309.916382,6995.495117,1
0.160000,309.954651,6995.495117,1
0.170000,309.992554,6995.495117,1
0.180000,309.995056,6995.495117,1
0.190000,309.997925,6995.495117,1
0.200000,310.022949,6995.495117,1
0.210000,310.016510,6995.495117,1
0.220000,309.995056,6995.495117,1
0.230000,309.984680,6995.495117,1
0.240000,309.966797,6995.495117,1
0.250000,309.949982,6995.495117,1
0.260000,309.929962,6995.495117,1
0.270000,309.901367,6995.495117,1
0.280000,309.873810,6995.495117,1
0.290000,309.843414,6995.495117,1
0.300000,309.828400,6937.205566,2
0.310000,309.692871,6878.916016,2
0.320000,309.639221,6820.626465,2
0.330000,309.536926,6762.336914,2
0.340000,309.475067,6704.047363,2
0.350000,309.357391,6645.757812,2
0.360000,309.265503,6587.468262,2
0.370000,309.132111,6529.178711,2
0.380000,309.070953,6470.889160,2
0.390000,308.924316,6412.599609,2
0.400000,308.784851,6354.310059,2
0.410000,308.677551,6296.020508,2
0.420000,308.539154,6237.730957,2
0.430000,308.457611,6179.441406,2
0.440000,308.333160,6121.151855,2
0.450000,308.148621,6062.862305,2
0.460000,308.077820,6004.572754,2
0.470000,307.916870,5946.283203,2
0.480000,307.764526,5887.993652,2
0.490000,307.664764,5829.704102,2
0.500000,307.566406,5771.414551,2
0.510000,307.362915,5713.125000,2
0.520000,307.286377,5654.835449,2
0.530000,307.118286,5596.545898,2
0.540000,306.956299,5538.256348,2
0.550000,306.768890,5479.966797,2
0.560000,306.704865,5421.677246,2
0.570000,306.526428,5363.387695,2
0.580000,306.377655,5305.098145,2
0.590000,306.202057,5246.808594,2
0.600000,307.750946,6995.495117,3
0.610000,308.073517,6995.495117,3
0.620000,308.150055,6995.495117,3
0.630000,308.160767,6995.495117,3
0.640000,308.142914,6995.495117,3
0.650000,308.105713,6995.495117,3
0.660000,308.064209,6995.495117,3
0.670000,308.020935,6995.495117,3
0.680000,307.982330,6995.495117,3
0.690000,307.922607,6995.495117,3
0.700000,307.891144,6995.495117,3
0.710000,307.817810,6995.495117,3
0.720000,307.773834,6995.495117,3
0.730000,307.702301,6995.495117,3
0.740000,307.651520,6995.495117,3
0.750000,307.601807,6995.495117,3
0.760000,307.545654,6995.495117,3
0.770000,307.479156,6995.495117,3
0.780000,307.435516,6995.495117,3
0.790000,307.377228,6995.495117,3
0.800000,307.344330,6995.495117,3
0.810000,307.272430,6995.495117,3
0.820000,307.229889,6995.495117,3
0.830000,307.162292,6995.495117,3
0.839999,307.115082,6995.495117,3
0.849999,307.054993,6995.495117,3
0.859999,306.996338,6995.495117,3
0.869999,306.935547,6995.495117,3
0.879999,306.891205,6995.495117,3
0.889999,306.850433,6995.495117,3
