flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251014122901_4ce,12:29:01,2025-10-14,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,526.323792,151.223297,0.712680,171.795410

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,323.619965,6995.495117,1
0.010000,471.972931,6995.495117,1
0.020000,509.931213,6995.495117,1
0.030000,516.648193,6995.495117,1
0.040000,517.828674,6995.495117,1
0.050000,518.244629,6995.495117,1
0.060000,518.595459,6995.495117,1
0.070000,518.921265,6995.495117,1
0.080000,519.178040,6995.495117,1
0.090000,519.366150,6995.495117,1
0.100000,519.495972,6995.495117,1
0.110000,519.553162,6995.495117,1
0.120000,519.589661,6995.495117,1
0.130000,519.647949,6995.495117,1
0.140000,519.682617,6995.495117,1
0.150000,519.706238,6995.495117,1
0.160000,519.704102,6995.495117,1
0.170000,519.704834,6995.495117,1
0.180000,519.712708,6995.495117,1
0.190000,519.706238,6995.495117,1
0.200000,519.736633,6995.495117,1
0.210000,519.681213,6995.495117,1
0.220000,519.691589,6995.495117,1
0.230000,519.661926,6995.495117,1
0.240000,519.637939,6995.495117,1
0.250000,519.614685,6995.495117,1
0.260000,519.610046,6995.495117,1
0.270000,519.583923,6995.495117,1
0.280000,519.567871,6995.495117,1
0.290000,519.553894,6995.495117,1
0.300000,519.564270,6937.205566,2
0.310000,519.503113,6878.916016,2
0.320000,519.464111,6820.626465,2
0.330000,519.453430,6762.336914,2
0.340000,519.408691,6704.047363,2
0.350000,519.390808,6645.757812,2
0.360000,519.365417,6587.468262,2
0.370000,519.304626,6529.178711,2
0.380000,519.251709,6470.889160,2
0.390000,519.208435,6412.599609,2
0.400000,519.171570,6354.310059,2
0.410000,519.101501,6296.020508,2
0.420000,519.049622,6237.730957,2
0.430000,518.989929,6179.441406,2
0.440000,518.918396,6121.151855,2
0.450000,518.838623,6062.862305,2
0.460000,518.769958,6004.572754,2
0.470000,518.699158,5946.283203,2
0.480000,518.592957,5887.993652,2
0.490000,518.538208,5829.704102,2
0.500000,518.486755,5771.414551,2
0.510000,518.339417,5713.125000,2
0.520000,518.265015,5654.835449,2
0.530000,518.143799,5596.545898,2
0.540000,518.024658,5538.256348,2
0.550000,517.885193,5479.966797,2
0.560000,517.805786,5421.677246,2
0.570000,517.697083,5363.387695,2
0.580000,517.550110,5305.098145,2
0.590000,517.362366,5246.808594,2
0.600000,518.160583,6995.495117,3
0.610000,518.600830,6995.495117,3
0.620000,518.577576,6995.495117,3
0.630000,518.485291,6995.495117,3
0.640000,518.364075,6995.495117,3
0.650000,518.271790,6995.495117,3
0.660000,518.178467,6995.495117,3
0.670000,518.127319,6995.495117,3
0.680000,518.035400,6995.495117,3
0.690000,517.944214,6995.495117,3
0.700000,517.898071,6995.495117,3
0.710000,517.787964,6995.495117,3
0.720000,517.711731,6995.495117,3
0.730000,517.630249,6995.495117,3
0.740000,517.545471,6995.495117,3
0.750000,517.458923,6995.495117,3
0.760000,517.382751,6995.495117,3
0.770000,517.309082,6995.495117,3
0.780000,517.214294,6995.495117,3
0.790000,517.142029,6995.495117,3
0.800000,517.089844,6995.495117,3
0.810000,516.972900,6995.495117,3
0.820000,516.912109,6995.495117,3
0.830000,516.850220,6995.495117,3
0.839999,516.787292,6995.495117,3
0.849999,516.689331,6995.495117,3
0.859999,516.610962,6995.495117,3
0.869999,516.547668,6995.495117,3
0.879999,516.483276,6995.495117,3
0.889999,516.427856,6995.495117,3
