flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251014124142_7fe,12:41:42,2025-10-14,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,519.969116,127.730370,0.754350,174.812454

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,287.864685,6995.495117,1
0.010000,449.572906,6995.495117,1
0.020000,494.675171,6995.495117,1
0.030000,503.669128,6995.495117,1
0.040000,506.137146,6995.495117,1
0.050000,507.367737,6995.495117,1
0.060000,508.212097,6995.495117,1
0.070000,508.800751,6995.495117,1
0.080000,509.222748,6995.495117,1
0.090000,509.532104,6995.495117,1
0.100000,509.806030,6995.495117,1
0.110000,509.947662,6995.495117,1
0.120000,510.109314,6995.495117,1
0.130000,510.203003,6995.495117,1
0.140000,510.313141,6995.495117,1
0.150000,510.377869,6995.495117,1
0.160000,510.414734,6995.495117,1
0.170000,510.489471,6995.495117,1
0.180000,510.527740,6995.495117,1
0.190000,510.560272,6995.495117,1
0.200000,510.621063,6995.495117,1
0.210000,510.621429,6995.495117,1
0.220000,510.619293,6995.495117,1
0.230000,510.611786,6995.495117,1
0.240000,510.621429,6995.495117,1
0.250000,510.623932,6995.495117,1
0.260000,510.622498,6995.495117,1
0.270000,510.624634,6995.495117,1
0.280000,510.599243,6995.495117,1
0.290000,510.577087,6995.495117,1
0.300000,510.601410,6937.205566,2
0.310000,510.531677,6878.916016,2
0.320000,510.465149,6820.626465,2
0.330000,510.446533,6762.336914,2
0.340000,510.377167,6704.047363,2
0.350000,510.316742,6645.757812,2
0.360000,510.284912,6587.468262,2
0.370000,510.182617,6529.178711,2
0.380000,510.136841,6470.889160,2
0.390000,510.062103,6412.599609,2
0.400000,509.982361,6354.310059,2
0.410000,509.882202,6296.020508,2
0.420000,509.797455,6237.730957,2
0.430000,509.738098,6179.441406,2
0.440000,509.643311,6121.151855,2
0.450000,509.481323,6062.862305,2
0.460000,509.408356,6004.572754,2
0.470000,509.274231,5946.283203,2
0.480000,509.130127,5887.993652,2
0.490000,509.057526,5829.704102,2
0.500000,508.979187,5771.414551,2
0.510000,508.782501,5713.125000,2
0.520000,508.726013,5654.835449,2
0.530000,508.555756,5596.545898,2
0.540000,508.394836,5538.256348,2
0.550000,508.209229,5479.966797,2
0.560000,508.133057,5421.677246,2
0.570000,508.015045,5363.387695,2
0.580000,507.826569,5305.098145,2
0.590000,507.610199,5246.808594,2
0.600000,509.054657,6995.495117,3
0.610000,509.554993,6995.495117,3
0.620000,509.532440,6995.495117,3
0.630000,509.406219,6995.495117,3
0.640000,509.288177,6995.495117,3
0.650000,509.215942,6995.495117,3
0.660000,509.134399,6995.495117,3
0.670000,509.086487,6995.495117,3
0.680000,509.016754,6995.495117,3
0.690000,508.959167,6995.495117,3
0.700000,508.929504,6995.495117,3
0.710000,508.847229,6995.495117,3
0.720000,508.796448,6995.495117,3
0.730000,508.753540,6995.495117,3
0.740000,508.695618,6995.495117,3
0.750000,508.653412,6995.495117,3
0.760000,508.614410,6995.495117,3
0.770000,508.562927,6995.495117,3
0.780000,508.518585,6995.495117,3
0.790000,508.475647,6995.495117,3
0.800000,508.466370,6995.495117,3
0.810000,508.418091,6995.495117,3
0.820000,508.382690,6995.495117,3
0.830000,508.334747,6995.495117,3
0.839999,508.311157,6995.495117,3
0.849999,508.295776,6995.495117,3
0.859999,508.266083,6995.495117,3
0.869999,508.232819,6995.495117,3
0.879999,508.213531,6995.495117,3
0.889999,508.176697,6995.495117,3
