SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,id,barcode,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,11:52:24,2025-10-14,g34p_light_v2,mrk,,201,34128,,0.070583,2.920003,0.068917,1.376722,1.827699,1.793039,3.591529,1.763830,19.702646,20.083500,39.465187,0.441786,7.500000,PSF-00438_20251014115224_707,0.000000,0.000000,0.000000,159.444458,342.747986,0.534806,0.5,0.80,243.003052,1.000000,59.81,58.67,24.34,27.06,27.06,91.00,156.5,157.8,-0.8,1136,4.101,11:52:04,2025-10-14,-0.22,1,-0.308,-0.180,-0.139,-45.436,183.506,91.517,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,328.670746,25,-10.707828,325.403107,327.441254,-2.038147,2.479088,2.495186,1.653718,0.940784,0.280053,0.031757,0.071425,1.129158,159.444458,0.000240,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014115224_707,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
2,11:55:44,2025-10-14,g34p_light_v2,mrk,,208,16219,,0.087001,2.923645,0.084487,1.357071,1.930668,1.896642,3.350012,1.419343,20.841301,21.215204,36.811699,0.441786,7.500000,PSF-00438_20251014115544_1d8,0.000000,0.000000,0.000000,292.750946,458.198669,0.361083,0.5,0.80,118.614906,1.000000,59.99,58.93,25.20,25.88,25.88,91.00,156.9,157.6,-0.4,821,4.095,11:52:04,2025-10-14,-0.22,1,-0.001,0.004,-0.053,96.045,62.109,44.028,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,446.548828,25,-8.241838,447.601318,446.417023,1.184296,2.479206,2.495199,1.657531,0.940291,0.270528,0.008121,0.098895,0.846066,285.715698,0.000240,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014115544_1d8,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
3,11:58:42,2025-10-14,g34p_light_v2,mrk,,219,22983,,0.051839,2.922759,0.050935,1.044209,1.965923,1.939732,3.772852,1.806929,21.313623,21.601414,41.455811,0.441786,7.500000,PSF-00438_20251014115842_81f,0.000000,0.000000,0.000000,147.015808,214.043396,0.313150,0.5,0.80,27.732845,1.000000,58.05,57.28,26.06,27.90,27.90,91.01,156.8,157.2,-0.3,221,4.090,11:52:04,2025-10-14,-0.22,1,-0.047,-0.067,0.009,164.506,65.364,51.769,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,208.930496,25,-4.099047,206.208221,208.183838,-1.975616,2.476838,2.492438,1.656600,0.939439,0.261440,0.021707,0.121883,0.306468,147.015808,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014115842_81f,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
4,12:01:27,2025-10-14,g34p_light_v2,mrk,,204,21707,,0.092352,2.922262,0.089523,1.976909,2.032052,1.982478,3.975642,1.943591,21.781219,22.325880,43.679855,0.441786,7.500000,PSF-00438_20251014120127_901,0.000000,0.000000,0.000000,222.628708,289.622345,0.231314,0.5,0.80,18.567471,1.000000,57.56,56.15,26.77,28.80,28.80,91.02,156.8,7.6,95.2,201,4.086,11:52:04,2025-10-14,-0.22,1,-0.002,0.008,-9999.000,51.243,160.324,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,282.286774,25,-5.400390,280.863037,281.902527,-1.039490,2.475192,2.491605,1.656080,0.614548,0.254198,0.024100,0.142149,0.287821,222.628708,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014120127_901,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
5,12:03:47,2025-10-14,g34p_light_v2,mrk,,203,22662,,0.070563,2.922534,0.068900,1.328376,2.056334,2.023037,3.755211,1.698877,22.225746,22.591551,41.255966,0.441786,7.500000,PSF-00438_20251014120347_034,0.000000,0.000000,0.000000,97.280502,184.707260,0.473326,0.5,0.80,37.149414,1.000000,56.83,55.91,27.19,27.82,27.82,91.02,156.8,128.7,17.9,196,4.083,11:52:04,2025-10-14,-0.22,1,-0.018,-0.000,-9999.000,-1.635,127.415,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,180.664307,25,-2.766720,180.955765,180.752258,0.203506,2.474771,2.490542,1.656365,0.868615,0.250006,0.007674,0.158628,0.283810,97.280502,0.000240,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014120347_034,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
6,12:06:05,2025-10-14,g34p_light_v2,mrk,,221,19078,,0.069109,2.922953,0.067513,1.482917,2.045973,2.008815,3.978903,1.932930,22.071674,22.479948,43.717842,0.441786,7.500000,PSF-00438_20251014120605_7ee,0.000000,0.000000,0.000000,132.237198,267.025909,0.504778,0.5,0.80,50.378693,1.000000,55.55,54.54,27.49,28.81,28.81,91.01,156.9,157.4,-0.3,250,4.079,12:04:01,2025-10-14,-0.06,0,0.044,0.020,-9999.000,206.421,70.106,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,261.492126,25,-3.730880,262.110107,261.692657,0.417450,2.472902,2.488563,1.656804,0.939762,0.247007,0.015811,0.174434,0.331752,132.237198,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014120605_7ee,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
7,12:09:49,2025-10-14,g34p_light_v2,mrk,,235,22861,,0.003051,2.919674,0.003048,0.059833,2.085217,2.083714,3.813784,1.728568,22.898397,22.914907,41.910522,0.441786,7.500000,PSF-00438_20251014120949_23d,0.000000,0.000000,0.000000,98.128441,348.679230,0.718571,0.5,0.80,32.124519,1.000000,54.16,54.13,28.25,28.09,28.09,91.00,156.5,-7.8,105.0,112,4.073,12:04:01,2025-10-14,-0.06,0,-0.014,-0.011,-9999.000,-3.965,84.349,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,342.951538,25,-3.703541,344.434631,343.385040,1.049591,2.472178,2.486550,1.653375,0.587133,0.239702,-0.001655,0.198637,0.207842,98.128441,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014120949_23d,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
8,12:12:58,2025-10-14,g34p_light_v2,mrk,,231,28617,,0.107687,2.922875,0.103860,1.463978,2.124618,2.087976,3.368394,1.243777,22.948637,23.351362,37.021530,0.441786,7.500000,PSF-00438_20251014121258_e31,0.000000,0.000000,0.000000,146.506546,524.561951,0.720707,0.5,0.80,20.420513,1.000000,54.10,53.16,28.59,25.97,25.97,90.98,156.8,157.4,-0.3,71,4.068,12:04:01,2025-10-14,-0.06,0,0.086,0.036,-9999.000,128.129,82.885,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,523.781067,25,-0.211423,522.741821,524.259705,-1.517883,2.470835,2.486374,1.656722,0.939726,0.236461,-0.030126,0.218173,0.171022,146.506546,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014121258_e31,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
9,12:15:24,2025-10-14,g34p_light_v2,mrk,,245,21074,,0.058445,2.922334,0.057300,0.971550,2.122870,2.098542,3.616913,1.494043,23.064766,23.332150,39.752956,0.441786,7.500000,PSF-00438_20251014121524_99b,0.000000,0.000000,0.000000,143.257858,534.293823,0.731874,0.5,0.80,51.838371,1.000000,53.59,52.97,28.74,27.18,27.18,90.98,156.8,157.2,-0.2,177,4.065,12:04:01,2025-10-14,-0.06,0,0.019,0.009,-9999.000,-79.636,86.781,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,528.596191,25,-4.177420,527.360901,528.322266,-0.961365,2.470548,2.485663,1.656155,0.939217,0.235069,-0.017999,0.232906,0.266591,143.257858,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014121524_99b,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
10,12:15:42,2025-10-14,g34p_light_v2,mrk,,245,21074,,0.079667,2.922075,0.077552,1.399189,2.147566,2.112526,3.736318,1.588752,23.214254,23.599302,41.057873,0.441786,7.500000,PSF-00438_20251014121542_936,0.000000,0.000000,0.000000,143.543594,515.231201,0.721400,0.5,0.80,57.995045,1.000000,54.15,53.26,28.76,27.73,27.73,91.00,156.7,157.2,-0.3,201,4.062,12:15:38,2025-10-14,-0.00,0,0.101,0.028,0.012,55.635,110.172,54.816,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,504.581818,25,-7.917413,501.695740,503.913330,-2.217590,2.470926,2.486321,1.655884,0.939423,0.234886,-0.011793,0.234600,0.288097,143.543594,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014121542_936,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
11,12:18:04,2025-10-14,g34p_light_v2,mrk,,243,23792,,0.002752,2.923463,0.002750,0.055510,2.117080,2.115692,3.893129,1.776049,23.252234,23.267498,42.786930,0.441786,7.500000,PSF-00438_20251014121804_54a,0.000000,0.000000,0.000000,129.649765,403.229431,0.678471,0.5,0.80,31.003773,1.000000,52.95,52.91,28.90,28.44,28.44,90.99,156.9,156.4,0.3,114,4.061,12:15:38,2025-10-14,-0.00,0,-0.001,-0.004,-0.023,0.130,-1.266,88.803,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,399.904144,25,-2.096000,399.340149,400.233215,-0.893066,2.470434,2.484704,1.657340,0.937250,0.233592,-0.005200,0.248308,0.210069,129.649765,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014121804_54a,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
12,12:20:43,2025-10-14,g34p_light_v2,mrk,,241,24219,,-0.068876,2.922462,-0.070538,-1.606411,2.068306,2.108554,4.070596,2.002290,23.173338,22.731007,44.736488,0.441786,7.500000,PSF-00438_20251014122043_8cc,0.000000,0.000000,0.000000,116.098877,325.380585,0.643191,0.5,0.80,34.886833,1.000000,51.24,52.24,29.06,29.21,29.21,90.99,156.8,-4.1,102.6,136,4.058,12:15:38,2025-10-14,-0.00,0,-0.004,-0.002,-9999.000,2.380,10.142,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,322.487000,25,-2.137920,321.522125,322.324432,-0.802307,2.469513,2.482407,1.656289,0.593739,0.232093,0.001933,0.263060,0.229283,116.098877,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014122043_8cc,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
13,12:23:56,2025-10-14,g34p_light_v2,mrk,,239,24033,,0.122093,2.922538,0.117197,1.731695,2.175618,2.132288,3.478255,1.302637,23.435217,23.911440,38.228252,0.441786,7.500000,PSF-00438_20251014122356_64d,0.000000,0.000000,0.000000,138.507492,510.720886,0.728800,0.5,0.80,41.968746,1.000000,53.45,52.39,29.21,26.51,26.51,90.99,156.8,156.8,0.0,144,4.054,12:15:38,2025-10-14,-0.00,0,0.005,0.010,-0.029,11.315,5.951,104.720,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,510.171539,25,-0.131228,509.670868,510.533295,-0.862427,2.469670,2.485291,1.656369,0.938251,0.230764,-0.031165,0.280447,0.236808,138.507492,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014122356_64d,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
14,12:26:47,2025-10-14,g34p_light_v2,mrk,,228,13463,,0.084219,2.923543,0.081861,1.631959,2.187631,2.146843,3.940084,1.752453,23.599783,24.048159,43.312500,0.441786,7.500000,PSF-00438_20251014122647_af7,0.000000,0.000000,0.000000,110.082153,303.668121,0.637492,0.5,0.80,39.188786,1.000000,53.39,52.40,29.32,28.65,28.65,90.97,156.9,-13.7,108.7,154,4.050,12:15:38,2025-10-14,-0.00,0,0.016,0.053,0.021,0.188,1.405,92.071,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,297.195190,25,-5.600877,296.689514,295.661713,1.027802,2.469659,2.485189,1.657425,0.576954,0.229731,-0.007767,0.295339,0.245550,110.082153,0.000245,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014122647_af7,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
15,12:29:01,2025-10-14,g34p_light_v2,mrk,,232,32401,,0.032157,2.923628,0.031807,0.627670,2.129640,2.113943,3.865666,1.736026,23.237804,23.410357,42.493851,0.441786,7.500000,PSF-00438_20251014122901_4ce,0.000000,0.000000,0.000000,151.223297,526.323792,0.712680,0.5,0.80,47.068130,1.000000,51.53,51.15,29.47,28.32,28.32,90.97,156.9,156.8,0.1,165,4.045,12:26:58,2025-10-14,0.04,1,-0.002,-0.000,-9999.000,-5.602,0.803,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,519.736633,25,-4.589329,518.600830,519.763367,-1.162537,2.467980,2.482631,1.657514,0.938332,0.228356,-0.013415,0.306647,0.255828,151.223297,0.000246,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014122901_4ce,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
16,12:32:54,2025-10-14,g34p_light_v2,mrk,,253,12272,,0.173539,2.921854,0.163810,2.730177,2.215258,2.146950,3.682300,1.467042,23.600441,24.351320,40.477840,0.441786,7.500000,PSF-00438_20251014123254_1af,0.000000,0.000000,0.000000,157.965668,562.764404,0.719304,0.5,0.80,48.828239,1.000000,52.90,51.27,29.70,27.48,27.48,90.97,156.7,157.3,-0.3,170,4.040,12:26:58,2025-10-14,0.04,1,-0.002,-0.001,0.037,4.925,13.547,113.966,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,556.532288,25,-5.128821,552.067993,555.432800,-3.364807,2.468086,2.484391,1.655651,0.939494,0.226315,-0.025809,0.325459,0.259964,157.965668,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014123254_1af,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
17,12:36:41,2025-10-14,g34p_light_v2,mrk,,237,11762,,0.250614,2.922026,0.230817,3.097788,2.203007,2.125505,3.386367,1.183359,23.365604,24.217588,37.226223,0.441786,7.500000,PSF-00438_20251014123641_180,0.000000,0.000000,0.000000,138.144501,516.052429,0.732305,0.5,0.80,43.149155,1.000000,52.28,50.44,29.81,26.06,26.06,90.97,156.7,156.6,0.1,147,4.035,12:26:58,2025-10-14,0.04,1,0.059,0.049,-9999.000,134.879,69.060,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,510.044922,25,-4.006094,510.266663,510.325745,-0.059082,2.466968,2.483539,1.655832,0.937819,0.225335,-0.043484,0.342997,0.239813,138.144501,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014123641_180,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
18,12:36:49,2025-10-14,g34p_light_v2,mrk,,237,11762,,0.301612,2.921638,0.273389,2.911500,2.198158,2.125288,3.138535,0.940376,23.362644,24.163683,34.500957,0.441786,7.500000,PSF-00438_20251014123649_7d1,0.000000,0.000000,0.000000,122.577309,523.278137,0.765751,0.5,0.80,32.356407,1.000000,52.16,50.43,29.81,24.78,24.78,90.97,156.7,156.8,-0.1,106,4.030,12:26:58,2025-10-14,0.04,1,0.004,0.048,-0.034,22.713,11.378,5.312,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,518.352966,25,-3.616056,517.394165,518.109009,-0.714844,2.466964,2.483390,1.655427,0.938416,0.225341,-0.057968,0.343487,0.202328,122.577309,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014123649_7d1,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
19,12:41:42,2025-10-14,g34p_light_v2,mrk,,248,49156,,0.020740,2.923272,0.020594,0.474589,2.169480,2.157614,4.192463,2.022983,23.718899,23.849346,46.088238,0.441786,7.500000,PSF-00438_20251014124142_7fe,0.000000,0.000000,0.000000,127.730370,519.969116,0.754350,0.5,0.80,50.730537,1.000000,50.78,50.50,30.05,29.72,29.72,90.97,156.9,157.1,-0.1,168,4.028,12:41:27,2025-10-14,0.05,1,-0.000,-0.005,-0.016,5.978,13.438,99.735,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,510.624634,25,-6.393712,509.554993,510.829346,-1.274353,2.466993,2.481477,1.657139,0.939121,0.223218,-0.003752,0.365381,0.258542,127.730370,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014124142_7fe,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
20,12:44:20,2025-10-14,g34p_light_v2,mrk,,238,28964,,0.228093,2.922128,0.211578,3.671015,2.214398,2.122578,3.740985,1.526587,23.334715,24.344143,41.126789,0.441786,7.500000,PSF-00438_20251014124420_377,0.000000,0.000000,0.000000,140.308853,475.418976,0.704873,0.5,0.80,42.802666,1.000000,51.63,49.49,30.12,27.76,27.76,90.96,156.8,157.2,-0.3,152,4.026,12:41:27,2025-10-14,0.05,1,0.006,-9999.000,-9999.000,0.868,-9999.000,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,467.488281,25,-5.741218,466.583130,467.211945,-0.628815,2.465654,2.482594,1.655939,0.939365,0.222641,-0.027604,0.376399,0.243864,140.308853,0.000245,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014124420_377,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
21,12:46:54,2025-10-14,g34p_light_v2,mrk,,246,23404,,0.118123,2.922782,0.113535,1.866466,2.191924,2.145246,3.639569,1.447645,23.580870,24.093962,40.006695,0.441786,7.500000,PSF-00438_20251014124654_0dc,0.000000,0.000000,0.000000,133.993149,502.404907,0.733296,0.5,0.80,55.238701,1.000000,50.98,49.89,30.16,27.29,27.29,90.97,156.8,156.9,-0.0,188,4.022,12:41:27,2025-10-14,0.05,1,-0.000,0.004,-9999.000,3.243,117.679,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,499.377594,25,-1.917385,500.135071,499.664032,0.471039,2.466167,2.481714,1.656625,0.938485,0.222242,-0.033587,0.386919,0.276711,133.993149,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014124654_0dc,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
22,12:49:31,2025-10-14,g34p_light_v2,mrk,,254,24446,,0.097168,2.922056,0.094041,1.657541,2.137302,2.095800,3.689415,1.552113,23.037668,23.493870,40.555164,0.441786,7.500000,PSF-00438_20251014124931_0b4,0.000000,0.000000,0.000000,258.549927,402.685760,0.357936,0.5,0.80,10.066292,1.000000,49.45,48.49,30.25,27.52,27.52,90.97,156.7,157.1,-0.2,70,4.018,12:41:27,2025-10-14,0.05,1,0.051,0.014,-0.016,227.914,117.748,58.966,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,5.000000,2.000000,300,300,300,402.685760,25,181.229294,515.013428,661.751465,-146.738037,2.464299,2.479664,1.655863,0.938947,0.221446,-0.031983,0.397354,0.170548,258.549927,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251014124931_0b4,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-10-05T12:52:38.073Z
