flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251015152604_f1f,15:26:04,2025-10-15,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,191.699966,153.916962,0.197094,1604.861694

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,167.040833,6995.495117,1
0.010000,175.866730,6995.495117,1
0.020000,177.335861,6995.495117,1
0.030000,177.554016,6995.495117,1
0.040000,177.512177,6995.495117,1
0.050000,177.411316,6995.495117,1
0.060000,177.304749,6995.495117,1
0.070000,177.175995,6995.495117,1
0.080000,177.044037,6995.495117,1
0.090000,176.923874,6995.495117,1
0.100000,176.781891,6995.495117,1
0.110000,176.621674,6995.495117,1
0.120000,176.492218,6995.495117,1
0.130000,176.346298,6995.495117,1
0.140000,176.192169,6995.495117,1
0.150000,176.039093,6995.495117,1
0.160000,175.888184,6995.495117,1
0.170000,175.729752,6995.495117,1
0.180000,175.587418,6995.495117,1
0.190000,175.434357,6995.495117,1
0.200000,175.296310,6995.495117,1
0.210000,175.130722,6995.495117,1
0.220000,174.974442,6995.495117,1
0.230000,174.820663,6995.495117,1
0.240000,174.661163,6995.495117,1
0.250000,174.493790,6995.495117,1
0.260000,174.354675,6995.495117,1
0.270000,174.184082,6995.495117,1
0.280000,174.038177,6995.495117,1
0.290000,173.879745,6995.495117,1
0.300000,173.723465,6937.205566,2
0.310000,173.513885,6878.916016,2
0.320000,173.336868,6820.626465,2
0.330000,173.138382,6762.336914,2
0.340000,172.973160,6704.047363,2
0.350000,172.774323,6645.757812,2
0.360000,172.595139,6587.468262,2
0.370000,172.384506,6529.178711,2
0.380000,172.224289,6470.889160,2
0.390000,171.996826,6412.599609,2
0.400000,171.797638,6354.310059,2
0.410000,171.615952,6296.020508,2
0.420000,171.401733,6237.730957,2
0.430000,171.223999,6179.441406,2
0.440000,171.006561,6121.151855,2
0.450000,170.790558,6062.862305,2
0.460000,170.624252,6004.572754,2
0.470000,170.397522,5946.283203,2
0.480000,170.178299,5887.993652,2
0.490000,170.008774,5829.704102,2
0.500000,169.812439,5771.414551,2
0.510000,169.560669,5713.125000,2
0.520000,169.386871,5654.835449,2
0.530000,169.170135,5596.545898,2
0.540000,168.950195,5538.256348,2
0.550000,168.717377,5479.966797,2
0.560000,168.544647,5421.677246,2
0.570000,168.320770,5363.387695,2
0.580000,168.095825,5305.098145,2
0.590000,167.864807,5246.808594,2
0.600000,168.690201,6995.495117,3
0.610000,168.666962,6995.495117,3
0.620000,168.507812,6995.495117,3
0.630000,168.337936,6995.495117,3
0.640000,168.173431,6995.495117,3
0.650000,168.009644,6995.495117,3
0.660000,167.850494,6995.495117,3
0.670000,167.663452,6995.495117,3
0.680000,167.498230,6995.495117,3
0.690000,167.333359,6995.495117,3
0.700000,167.178162,6995.495117,3
0.710000,167.018295,6995.495117,3
0.720000,166.856644,6995.495117,3
0.730000,166.644211,6995.495117,3
0.740000,166.511536,6995.495117,3
0.750000,166.377777,6995.495117,3
0.760000,166.199326,6995.495117,3
0.770000,166.052338,6995.495117,3
0.780000,165.883896,6995.495117,3
0.790000,165.706879,6995.495117,3
0.800000,165.383942,6995.495117,3
0.810000,164.992340,6995.495117,3
0.820000,164.736267,6995.495117,3
0.830000,164.657593,6995.495117,3
0.839999,164.504166,6995.495117,3
0.849999,164.294250,6995.495117,3
0.859999,164.089676,6995.495117,3
0.869999,164.039612,6995.495117,3
0.879999,164.089676,6995.495117,3
0.889999,164.045334,6995.495117,3
