flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016134130_40c,13:41:30,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,247.488281,210.044861,0.151294,1626.316528

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,230.005508,6995.495117,1
0.010000,238.794571,6995.495117,1
0.020000,240.168213,6995.495117,1
0.030000,240.828751,6995.495117,1
0.040000,241.214630,6995.495117,1
0.050000,241.436722,6995.495117,1
0.060000,241.613037,6995.495117,1
0.070000,241.723175,6995.495117,1
0.080000,241.800781,6995.495117,1
0.090000,241.852280,6995.495117,1
0.100000,241.898773,6995.495117,1
0.110000,241.895554,6995.495117,1
0.120000,241.908783,6995.495117,1
0.130000,241.898773,6995.495117,1
0.140000,241.910934,6995.495117,1
0.150000,241.891617,6995.495117,1
0.160000,241.881973,6995.495117,1
0.170000,241.864807,6995.495117,1
0.180000,241.860153,6995.495117,1
0.190000,241.836899,6995.495117,1
0.200000,241.821167,6995.495117,1
0.210000,241.772537,6995.495117,1
0.220000,241.760010,6995.495117,1
0.230000,241.736053,6995.495117,1
0.240000,241.711014,6995.495117,1
0.250000,241.668457,6995.495117,1
0.260000,241.636993,6995.495117,1
0.270000,241.623047,6995.495117,1
0.280000,241.581558,6995.495117,1
0.290000,241.547226,6995.495117,1
0.300000,241.530060,6937.205566,2
0.310000,241.454605,6878.916016,2
0.320000,241.408112,6820.626465,2
0.330000,241.353394,6762.336914,2
0.340000,241.322998,6704.047363,2
0.350000,241.269714,6645.757812,2
0.360000,241.217499,6587.468262,2
0.370000,241.146683,6529.178711,2
0.380000,241.100906,6470.889160,2
0.390000,241.032959,6412.599609,2
0.400000,240.973587,6354.310059,2
0.410000,240.911011,6296.020508,2
0.420000,240.843781,6237.730957,2
0.430000,240.798706,6179.441406,2
0.440000,240.704300,6121.151855,2
0.450000,240.638489,6062.862305,2
0.460000,240.602371,6004.572754,2
0.470000,240.510818,5946.283203,2
0.480000,240.429642,5887.993652,2
0.490000,240.392807,5829.704102,2
0.500000,240.326645,5771.414551,2
0.510000,240.224365,5713.125000,2
0.520000,240.193253,5654.835449,2
0.530000,240.094894,5596.545898,2
0.540000,239.999054,5538.256348,2
0.550000,239.906067,5479.966797,2
0.560000,239.852783,5421.677246,2
0.570000,239.781265,5363.387695,2
0.580000,239.694351,5305.098145,2
0.590000,239.596008,5246.808594,2
0.600000,240.236160,6995.495117,3
0.610000,240.291946,6995.495117,3
0.620000,240.257614,6995.495117,3
0.630000,240.230804,6995.495117,3
0.640000,240.196823,6995.495117,3
0.650000,240.164993,6995.495117,3
0.660000,240.118149,6995.495117,3
0.670000,240.080231,6995.495117,3
0.680000,240.034821,6995.495117,3
0.690000,239.999054,6995.495117,3
0.700000,239.963287,6995.495117,3
0.710000,239.914658,6995.495117,3
0.720000,239.864944,6995.495117,3
0.730000,239.808075,6995.495117,3
0.740000,239.768036,6995.495117,3
0.750000,239.721176,6995.495117,3
0.760000,239.685059,6995.495117,3
0.770000,239.637848,6995.495117,3
0.780000,239.608521,6995.495117,3
0.790000,239.527344,6995.495117,3
0.800000,239.494446,6995.495117,3
0.810000,239.454742,6995.495117,3
0.820000,239.397888,6995.495117,3
0.830000,239.354614,6995.495117,3
0.839999,239.311691,6995.495117,3
0.849999,239.266281,6995.495117,3
0.859999,239.220856,6995.495117,3
0.869999,239.160065,6995.495117,3
0.879999,239.131805,6995.495117,3
0.889999,239.077087,6995.495117,3
