flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016145852_a7d,14:58:52,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,193.703415,165.648575,0.144834,1409.044800

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,182.726379,6995.495117,1
0.010000,190.186493,6995.495117,1
0.020000,190.985443,6995.495117,1
0.030000,191.018707,6995.495117,1
0.040000,190.983292,6995.495117,1
0.050000,190.968994,6995.495117,1
0.060000,190.941101,6995.495117,1
0.070000,190.914627,6995.495117,1
0.080000,190.902115,6995.495117,1
0.090000,190.878510,6995.495117,1
0.100000,190.863495,6995.495117,1
0.110000,190.829880,6995.495117,1
0.120000,190.783020,6995.495117,1
0.130000,190.774078,6995.495117,1
0.140000,190.750122,6995.495117,1
0.150000,190.738327,6995.495117,1
0.160000,190.712921,6995.495117,1
0.170000,190.685394,6995.495117,1
0.180000,190.658218,6995.495117,1
0.190000,190.651413,6995.495117,1
0.200000,190.624237,6995.495117,1
0.210000,190.583115,6995.495117,1
0.220000,190.582748,6995.495117,1
0.230000,190.547348,6995.495117,1
0.240000,190.520172,6995.495117,1
0.250000,190.493347,6995.495117,1
0.260000,190.477615,6995.495117,1
0.270000,190.446136,6995.495117,1
0.280000,190.427536,6995.495117,1
0.290000,190.405365,6995.495117,1
0.300000,190.393570,6937.205566,2
0.310000,190.352081,6878.916016,2
0.320000,190.329559,6820.626465,2
0.330000,190.293793,6762.336914,2
0.340000,190.260178,6704.047363,2
0.350000,190.250153,6645.757812,2
0.360000,190.234070,6587.468262,2
0.370000,190.192932,6529.178711,2
0.380000,190.151459,6470.889160,2
0.390000,190.115692,6412.599609,2
0.400000,190.086014,6354.310059,2
0.410000,190.032364,6296.020508,2
0.420000,190.004822,6237.730957,2
0.430000,189.979080,6179.441406,2
0.440000,189.956192,6121.151855,2
0.450000,189.893250,6062.862305,2
0.460000,189.872147,6004.572754,2
0.470000,189.839249,5946.283203,2
0.480000,189.789169,5887.993652,2
0.490000,189.756271,5829.704102,2
0.500000,189.731598,5771.414551,2
0.510000,189.676529,5713.125000,2
0.520000,189.650421,5654.835449,2
0.530000,189.597488,5596.545898,2
0.540000,189.538483,5538.256348,2
0.550000,189.495560,5479.966797,2
0.560000,189.460510,5421.677246,2
0.570000,189.419037,5363.387695,2
0.580000,189.374680,5305.098145,2
0.590000,189.319260,5246.808594,2
0.600000,189.665085,6995.495117,3
0.610000,189.731247,6995.495117,3
0.620000,189.708359,6995.495117,3
0.630000,189.672226,6995.495117,3
0.640000,189.647919,6995.495117,3
0.650000,189.616440,6995.495117,3
0.660000,189.593201,6995.495117,3
0.670000,189.582108,6995.495117,3
0.680000,189.550644,6995.495117,3
0.690000,189.521317,6995.495117,3
0.700000,189.517029,6995.495117,3
0.710000,189.479477,6995.495117,3
0.720000,189.447647,6995.495117,3
0.730000,189.423676,6995.495117,3
0.740000,189.401154,6995.495117,3
0.750000,189.373962,6995.495117,3
0.760000,189.345001,6995.495117,3
0.770000,189.337845,6995.495117,3
0.780000,189.312103,6995.495117,3
0.790000,189.282059,6995.495117,3
0.800000,189.275620,6995.495117,3
0.810000,189.230560,6995.495117,3
0.820000,189.201950,6995.495117,3
0.830000,189.178711,6995.495117,3
0.839999,189.146164,6995.495117,3
0.849999,189.135071,6995.495117,3
0.859999,189.113266,6995.495117,3
0.869999,189.083221,6995.495117,3
0.879999,189.066772,6995.495117,3
0.889999,189.048172,6995.495117,3
