flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251016152738_f91,15:27:38,2025-10-16,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,205.631699,128.816483,0.373557,1040.251343

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,154.523132,6995.495117,1
0.010000,176.948898,6995.495117,1
0.020000,185.995102,6995.495117,1
0.030000,190.012329,6995.495117,1
0.040000,191.867355,6995.495117,1
0.050000,192.837952,6995.495117,1
0.060000,193.386200,6995.495117,1
0.070000,193.733093,6995.495117,1
0.080000,193.968781,6995.495117,1
0.090000,194.128998,6995.495117,1
0.100000,194.264893,6995.495117,1
0.110000,194.366104,6995.495117,1
0.120000,194.438690,6995.495117,1
0.130000,194.504135,6995.495117,1
0.140000,194.560654,6995.495117,1
0.150000,194.604630,6995.495117,1
0.160000,194.652557,6995.495117,1
0.170000,194.674011,6995.495117,1
0.180000,194.725876,6995.495117,1
0.190000,194.770569,6995.495117,1
0.200000,194.805618,6995.495117,1
0.210000,194.820999,6995.495117,1
0.220000,194.858551,6995.495117,1
0.230000,194.870346,6995.495117,1
0.240000,194.881790,6995.495117,1
0.250000,194.914703,6995.495117,1
0.260000,194.923279,6995.495117,1
0.270000,194.944733,6995.495117,1
0.280000,194.960480,6995.495117,1
0.290000,194.960831,6995.495117,1
0.300000,194.992661,6937.205566,2
0.310000,194.859985,6878.916016,2
0.320000,194.818146,6820.626465,2
0.330000,194.694397,6762.336914,2
0.340000,194.652206,6704.047363,2
0.350000,194.522018,6645.757812,2
0.360000,194.490555,6587.468262,2
0.370000,194.324249,6529.178711,2
0.380000,194.285995,6470.889160,2
0.390000,194.132568,6412.599609,2
0.400000,193.969482,6354.310059,2
0.410000,193.907974,6296.020508,2
0.420000,193.764923,6237.730957,2
0.430000,193.714859,6179.441406,2
0.440000,193.605423,6121.151855,2
0.450000,193.403366,6062.862305,2
0.460000,193.350433,6004.572754,2
0.470000,193.200226,5946.283203,2
0.480000,193.027496,5887.993652,2
0.490000,192.981720,5829.704102,2
0.500000,192.842606,5771.414551,2
0.510000,192.658783,5713.125000,2
0.520000,192.605133,5654.835449,2
0.530000,192.448853,5596.545898,2
0.540000,192.279694,5538.256348,2
0.550000,192.118408,5479.966797,2
0.560000,192.046524,5421.677246,2
0.570000,191.924576,5363.387695,2
0.580000,191.746475,5305.098145,2
0.590000,191.553711,5246.808594,2
0.600000,193.868286,6995.495117,3
0.610000,194.494492,6995.495117,3
0.620000,194.680099,6995.495117,3
0.630000,194.744827,6995.495117,3
0.640000,194.773788,6995.495117,3
0.650000,194.790237,6995.495117,3
0.660000,194.788101,6995.495117,3
0.670000,194.807404,6995.495117,3
0.680000,194.787384,6995.495117,3
0.690000,194.794891,6995.495117,3
0.700000,194.800980,6995.495117,3
0.710000,194.788452,6995.495117,3
0.720000,194.785599,6995.495117,3
0.730000,194.794174,6995.495117,3
0.740000,194.775940,6995.495117,3
0.750000,194.766998,6995.495117,3
0.760000,194.762711,6995.495117,3
0.770000,194.765564,6995.495117,3
0.780000,194.760208,6995.495117,3
0.790000,194.746979,6995.495117,3
0.800000,194.746613,6995.495117,3
0.810000,194.728378,6995.495117,3
0.820000,194.710846,6995.495117,3
0.830000,194.712646,6995.495117,3
0.839999,194.698685,6995.495117,3
0.849999,194.679382,6995.495117,3
0.859999,194.673294,6995.495117,3
0.869999,194.653275,6995.495117,3
0.879999,194.651489,6995.495117,3
0.889999,194.627884,6995.495117,3
