flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251017123658_d60,12:36:58,2025-10-17,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,164.561264,146.998291,0.106726,1568.483032

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,158.159134,6995.495117,1
0.010000,162.758942,6995.495117,1
0.020000,163.656586,6995.495117,1
0.030000,163.926956,6995.495117,1
0.040000,164.016373,6995.495117,1
0.050000,164.053558,6995.495117,1
0.060000,164.075012,6995.495117,1
0.070000,164.085739,6995.495117,1
0.080000,164.099701,6995.495117,1
0.090000,164.101837,6995.495117,1
0.100000,164.107208,6995.495117,1
0.110000,164.112213,6995.495117,1
0.120000,164.111145,6995.495117,1
0.130000,164.105057,6995.495117,1
0.140000,164.122223,6995.495117,1
0.150000,164.131882,6995.495117,1
0.160000,164.139740,6995.495117,1
0.170000,164.152267,6995.495117,1
0.180000,164.149399,6995.495117,1
0.190000,164.163345,6995.495117,1
0.200000,164.192322,6995.495117,1
0.210000,164.178375,6995.495117,1
0.220000,164.188385,6995.495117,1
0.230000,164.195892,6995.495117,1
0.240000,164.215561,6995.495117,1
0.250000,164.229156,6995.495117,1
0.260000,164.244888,6995.495117,1
0.270000,164.248474,6995.495117,1
0.280000,164.265991,6995.495117,1
0.290000,164.284592,6995.495117,1
0.300000,164.308548,6937.205566,2
0.310000,164.293533,6878.916016,2
0.320000,164.296387,6820.626465,2
0.330000,164.294601,6762.336914,2
0.340000,164.306396,6704.047363,2
0.350000,164.311401,6645.757812,2
0.360000,164.310699,6587.468262,2
0.370000,164.313553,6529.178711,2
0.380000,164.327148,6470.889160,2
0.390000,164.310699,6412.599609,2
0.400000,164.309265,6354.310059,2
0.410000,164.309265,6296.020508,2
0.420000,164.310699,6237.730957,2
0.430000,164.320343,6179.441406,2
0.440000,164.309616,6121.151855,2
0.450000,164.303543,6062.862305,2
0.460000,164.304611,6004.572754,2
0.470000,164.280289,5946.283203,2
0.480000,164.289597,5887.993652,2
0.490000,164.294250,5829.704102,2
0.500000,164.301758,5771.414551,2
0.510000,164.287811,5713.125000,2
0.520000,164.306396,5654.835449,2
0.530000,164.283157,5596.545898,2
0.540000,164.263123,5538.256348,2
0.550000,164.241318,5479.966797,2
0.560000,164.236664,5421.677246,2
0.570000,164.228088,5363.387695,2
0.580000,164.235596,5305.098145,2
0.590000,164.215927,5246.808594,2
0.600000,164.655441,6995.495117,3
0.610000,164.733047,6995.495117,3
0.620000,164.774185,6995.495117,3
0.630000,164.793137,6995.495117,3
0.640000,164.800293,6995.495117,3
0.650000,164.810303,6995.495117,3
0.660000,164.832825,6995.495117,3
0.670000,164.848206,6995.495117,3
0.680000,164.852493,6995.495117,3
0.690000,164.859650,6995.495117,3
0.700000,164.885406,6995.495117,3
0.710000,164.891479,6995.495117,3
0.720000,164.897568,6995.495117,3
0.730000,164.924744,6995.495117,3
0.740000,164.929382,6995.495117,3
0.750000,164.946564,6995.495117,3
0.760000,164.959793,6995.495117,3
0.770000,164.980896,6995.495117,3
0.780000,164.990189,6995.495117,3
0.790000,165.006638,6995.495117,3
0.800000,165.024155,6995.495117,3
0.810000,165.038818,6995.495117,3
0.820000,165.039536,6995.495117,3
0.830000,165.074585,6995.495117,3
0.839999,165.079590,6995.495117,3
0.849999,165.103912,6995.495117,3
0.859999,165.109283,6995.495117,3
0.869999,165.124649,6995.495117,3
0.879999,165.138962,6995.495117,3
0.889999,165.149689,6995.495117,3
