flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251017125531_fb8,12:55:31,2025-10-17,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,390.508118,172.757858,0.557608,239.819443

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,265.197144,6995.495117,1
0.010000,354.568359,6995.495117,1
0.020000,373.402466,6995.495117,1
0.030000,377.343903,6995.495117,1
0.040000,378.949280,6995.495117,1
0.050000,380.132690,6995.495117,1
0.060000,381.047852,6995.495117,1
0.070000,381.673706,6995.495117,1
0.080000,382.096771,6995.495117,1
0.090000,382.352112,6995.495117,1
0.100000,382.551300,6995.495117,1
0.110000,382.621765,6995.495117,1
0.120000,382.691132,6995.495117,1
0.130000,382.724060,6995.495117,1
0.140000,382.738708,6995.495117,1
0.150000,382.744080,6995.495117,1
0.160000,382.753723,6995.495117,1
0.170000,382.748016,6995.495117,1
0.180000,382.727966,6995.495117,1
0.190000,382.727264,6995.495117,1
0.200000,382.733002,6995.495117,1
0.210000,382.705078,6995.495117,1
0.220000,382.697937,6995.495117,1
0.230000,382.678619,6995.495117,1
0.240000,382.674347,6995.495117,1
0.250000,382.630341,6995.495117,1
0.260000,382.640350,6995.495117,1
0.270000,382.605316,6995.495117,1
0.280000,382.579193,6995.495117,1
0.290000,382.553101,6995.495117,1
0.300000,382.558838,6937.205566,2
0.310000,382.449036,6878.916016,2
0.320000,382.402527,6820.626465,2
0.330000,382.345673,6762.336914,2
0.340000,382.298126,6704.047363,2
0.350000,382.235168,6645.757812,2
0.360000,382.177246,6587.468262,2
0.370000,382.083893,6529.178711,2
0.380000,382.033112,6470.889160,2
0.390000,381.937988,6412.599609,2
0.400000,381.841064,6354.310059,2
0.410000,381.770599,6296.020508,2
0.420000,381.662598,6237.730957,2
0.430000,381.632568,6179.441406,2
0.440000,381.534943,6121.151855,2
0.450000,381.402618,6062.862305,2
0.460000,381.329651,6004.572754,2
0.470000,381.225586,5946.283203,2
0.480000,381.097565,5887.993652,2
0.490000,381.071106,5829.704102,2
0.500000,380.985626,5771.414551,2
0.510000,380.837921,5713.125000,2
0.520000,380.814301,5654.835449,2
0.530000,380.693787,5596.545898,2
0.540000,380.553955,5538.256348,2
0.550000,380.414124,5479.966797,2
0.560000,380.365479,5421.677246,2
0.570000,380.254974,5363.387695,2
0.580000,380.133026,5305.098145,2
0.590000,379.979980,5246.808594,2
0.600000,381.417633,6995.495117,3
0.610000,381.752014,6995.495117,3
0.620000,381.702667,6995.495117,3
0.630000,381.639008,6995.495117,3
0.640000,381.558899,6995.495117,3
0.650000,381.499542,6995.495117,3
0.660000,381.458038,6995.495117,3
0.670000,381.373291,6995.495117,3
0.680000,381.331085,6995.495117,3
0.690000,381.273163,6995.495117,3
0.700000,381.252045,6995.495117,3
0.710000,381.144043,6995.495117,3
0.720000,381.099701,6995.495117,3
0.730000,381.041412,6995.495117,3
0.740000,380.972015,6995.495117,3
0.750000,380.926239,6995.495117,3
0.760000,380.869019,6995.495117,3
0.770000,380.814301,6995.495117,3
0.780000,380.764252,6995.495117,3
0.790000,380.688080,6995.495117,3
0.800000,380.664124,6995.495117,3
0.810000,380.585083,6995.495117,3
0.820000,380.536438,6995.495117,3
0.830000,380.469910,6995.495117,3
0.839999,380.409485,6995.495117,3
0.849999,380.355469,6995.495117,3
0.859999,380.297546,6995.495117,3
0.869999,380.226746,6995.495117,3
0.879999,380.171295,6995.495117,3
0.889999,380.106934,6995.495117,3
