flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251018132006_15f,13:20:06,2025-10-18,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,177.607941,101.828453,0.426667,246.817612

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,141.911392,6995.495117,1
0.010000,167.153839,6995.495117,1
0.020000,172.792908,6995.495117,1
0.030000,174.263123,6995.495117,1
0.040000,174.771301,6995.495117,1
0.050000,175.003052,6995.495117,1
0.060000,175.129288,6995.495117,1
0.070000,175.216202,6995.495117,1
0.080000,175.269836,6995.495117,1
0.090000,175.317047,6995.495117,1
0.100000,175.363190,6995.495117,1
0.110000,175.342438,6995.495117,1
0.120000,175.354599,6995.495117,1
0.130000,175.356750,6995.495117,1
0.140000,175.346725,6995.495117,1
0.150000,175.355316,6995.495117,1
0.160000,175.350311,6995.495117,1
0.170000,175.338150,6995.495117,1
0.180000,175.318832,6995.495117,1
0.190000,175.313477,6995.495117,1
0.200000,175.328491,6995.495117,1
0.210000,175.307755,6995.495117,1
0.220000,175.290222,6995.495117,1
0.230000,175.291656,6995.495117,1
0.240000,175.286652,6995.495117,1
0.250000,175.267700,6995.495117,1
0.260000,175.251953,6995.495117,1
0.270000,175.247665,6995.495117,1
0.280000,175.234802,6995.495117,1
0.290000,175.224777,6995.495117,1
0.300000,175.216202,6937.205566,2
0.310000,175.207977,6878.916016,2
0.320000,175.177582,6820.626465,2
0.330000,175.169708,6762.336914,2
0.340000,175.152176,6704.047363,2
0.350000,175.137878,6645.757812,2
0.360000,175.124649,6587.468262,2
0.370000,175.091736,6529.178711,2
0.380000,175.074936,6470.889160,2
0.390000,175.067780,6412.599609,2
0.400000,175.043106,6354.310059,2
0.410000,175.010208,6296.020508,2
0.420000,174.985535,6237.730957,2
0.430000,174.979095,6179.441406,2
0.440000,174.938324,6121.151855,2
0.450000,174.917572,6062.862305,2
0.460000,174.882889,6004.572754,2
0.470000,174.859283,5946.283203,2
0.480000,174.823883,5887.993652,2
0.490000,174.799561,5829.704102,2
0.500000,174.792770,5771.414551,2
0.510000,174.745911,5713.125000,2
0.520000,174.719818,5654.835449,2
0.530000,174.687271,5596.545898,2
0.540000,174.626114,5538.256348,2
0.550000,174.601074,5479.966797,2
0.560000,174.579269,5421.677246,2
0.570000,174.545288,5363.387695,2
0.580000,174.495941,5305.098145,2
0.590000,174.445511,5246.808594,2
0.600000,174.673676,6995.495117,3
0.610000,174.714447,6995.495117,3
0.620000,174.705505,6995.495117,3
0.630000,174.672607,6995.495117,3
0.640000,174.636490,6995.495117,3
0.650000,174.609299,6995.495117,3
0.660000,174.593933,6995.495117,3
0.670000,174.567825,6995.495117,3
0.680000,174.525269,6995.495117,3
0.690000,174.507385,6995.495117,3
0.700000,174.491287,6995.495117,3
0.710000,174.449799,6995.495117,3
0.720000,174.421188,6995.495117,3
0.730000,174.409393,6995.495117,3
0.740000,174.380783,6995.495117,3
0.750000,174.357529,6995.495117,3
0.760000,174.329636,6995.495117,3
0.770000,174.302460,6995.495117,3
0.780000,174.277786,6995.495117,3
0.790000,174.249176,6995.495117,3
0.800000,174.225571,6995.495117,3
0.810000,174.181946,6995.495117,3
0.820000,174.151535,6995.495117,3
0.830000,174.131866,6995.495117,3
0.839999,174.112564,6995.495117,3
0.849999,174.075363,6995.495117,3
0.859999,174.045319,6995.495117,3
0.869999,174.017075,6995.495117,3
0.879999,173.981308,6995.495117,3
0.889999,173.965210,6995.495117,3
