flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251018133539_51d,13:35:39,2025-10-18,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,165.845001,143.930908,0.132136,1688.196777

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,154.620773,6995.495117,1
0.010000,159.985901,6995.495117,1
0.020000,160.700806,6995.495117,1
0.030000,160.843842,6995.495117,1
0.040000,160.886047,6995.495117,1
0.050000,160.869247,6995.495117,1
0.060000,160.830261,6995.495117,1
0.070000,160.798431,6995.495117,1
0.080000,160.779480,6995.495117,1
0.090000,160.760162,6995.495117,1
0.100000,160.719391,6995.495117,1
0.110000,160.673264,6995.495117,1
0.120000,160.627838,6995.495117,1
0.130000,160.589569,6995.495117,1
0.140000,160.549881,6995.495117,1
0.150000,160.508759,6995.495117,1
0.160000,160.457962,6995.495117,1
0.170000,160.412186,6995.495117,1
0.180000,160.363907,6995.495117,1
0.190000,160.328857,6995.495117,1
0.200000,160.285233,6995.495117,1
0.210000,160.237305,6995.495117,1
0.220000,160.165070,6995.495117,1
0.230000,160.134674,6995.495117,1
0.240000,160.071381,6995.495117,1
0.250000,160.030243,6995.495117,1
0.260000,159.970886,6995.495117,1
0.270000,159.916870,6995.495117,1
0.280000,159.880753,6995.495117,1
0.290000,159.826752,6995.495117,1
0.300000,159.781693,6937.205566,2
0.310000,159.694427,6878.916016,2
0.320000,159.650085,6820.626465,2
0.330000,159.583572,6762.336914,2
0.340000,159.528137,6704.047363,2
0.350000,159.469482,6645.757812,2
0.360000,159.407257,6587.468262,2
0.370000,159.326431,6529.178711,2
0.380000,159.266708,6470.889160,2
0.390000,159.198410,6412.599609,2
0.400000,159.137604,6354.310059,2
0.410000,159.069305,6296.020508,2
0.420000,158.997772,6237.730957,2
0.430000,158.952362,6179.441406,2
0.440000,158.868668,6121.151855,2
0.450000,158.786057,6062.862305,2
0.460000,158.725616,6004.572754,2
0.470000,158.660538,5946.283203,2
0.480000,158.577560,5887.993652,2
0.490000,158.517487,5829.704102,2
0.500000,158.459900,5771.414551,2
0.510000,158.364410,5713.125000,2
0.520000,158.320068,5654.835449,2
0.530000,158.255341,5596.545898,2
0.540000,158.175949,5538.256348,2
0.550000,158.088333,5479.966797,2
0.560000,158.030746,5421.677246,2
0.570000,157.957428,5363.387695,2
0.580000,157.883759,5305.098145,2
0.590000,157.809021,5246.808594,2
0.600000,158.164856,6995.495117,3
0.610000,158.196686,6995.495117,3
0.620000,158.160217,6995.495117,3
0.630000,158.088333,6995.495117,3
0.640000,158.038620,6995.495117,3
0.650000,157.993561,6995.495117,3
0.660000,157.955292,6995.495117,3
0.670000,157.879822,6995.495117,3
0.680000,157.831192,6995.495117,3
0.690000,157.786484,6995.495117,3
0.700000,157.737854,6995.495117,3
0.710000,157.675980,6995.495117,3
0.720000,157.621262,6995.495117,3
0.730000,157.572632,6995.495117,3
0.740000,157.514694,6995.495117,3
0.750000,157.462128,6995.495117,3
0.760000,157.418488,6995.495117,3
0.770000,157.368057,6995.495117,3
0.780000,157.333023,6995.495117,3
0.790000,157.270782,6995.495117,3
0.800000,157.245758,6995.495117,3
0.810000,157.184250,6995.495117,3
0.820000,157.154922,6995.495117,3
0.830000,157.099121,6995.495117,3
0.839999,157.044769,6995.495117,3
0.849999,156.998627,6995.495117,3
0.859999,156.950714,6995.495117,3
0.869999,156.897064,6995.495117,3
0.879999,156.852371,6995.495117,3
0.889999,156.796219,6995.495117,3
