"","shade_00s_70s","phosphorous_p1.p4","c3_c4","species_code","color","usda_code","block","rep","individual","note","id_v0","id_v0_noncat","id_barcode_v0","X","X.1"
"1","70s","p3","c3","disp","purple","disp2",6,6,375,"used to be diac, updated to disp based on growing","70s-p3-c3-diac-6-375","70s-p3-c3-diac-6-375","*70s-p3-c3-diac-6-375*",NA,"*"
"2","00s","p3","c3","dicl","yellow","dicl",1,1,21,"","00s-p3-c3-dicl-1-21","00s-p3-c3-dicl-1-21","*00s-p3-c3-dicl-1-21*",NA,"*"
"3","70s","p2","c3","dicl","yellow","dicl",1,1,45,"","70s-p2-c3-dicl-1-45","70s-p2-c3-dicl-1-45","*70s-p2-c3-dicl-1-45*",NA,"*"
"4","70s","p2","c3","dicl","yellow","dicl",2,2,109,"","70s-p2-c3-dicl-2-109","70s-p2-c3-dicl-2-109","*70s-p2-c3-dicl-2-109*",NA,"*"
"5","70s","p2","c3","diol","red","diol",2,2,112,"","70s-p2-c3-diol-2-112","70s-p2-c3-diol-2-112","*70s-p2-c3-diol-2-112*",NA,"*"
"6","70s","p3","c3","diol","red","diol",2,2,120,"","70s-p3-c3-diol-2-120","70s-p3-c3-diol-2-120","*70s-p3-c3-diol-2-120*",NA,"*"
"7","00s","p4","c4","paan","orange","paan4",1,1,27,"","00s-p4-c4-paan-1-27","00s-p4-c4-paan-1-27","*00s-p4-c4-paan-1-27*",NA,"*"
"8","70s","p3","c4","paan","orange","paan4",3,3,179,"","70s-p3-c4-paan-3-179","70s-p3-c4-paan-3-179","*70s-p3-c4-paan-3-179*",NA,"*"
"9","00s","p2","c4","paan","orange","paan4",5,5,267,"","00s-p2-c4-paan-5-267","00s-p2-c4-paan-5-267","*00s-p2-c4-paan-5-267*",NA,"*"
"10","70s","p3","c4","paco","green","paco2",2,2,116,"","70s-p3-c4-paco-2-116","70s-p3-c4-paco-2-116","*70s-p3-c4-paco-2-116*",NA,"*"
"11","00s","p4","c4","paha","pink","paha",4,4,218,"","00s-p4-c4-paha-4-218","00s-p4-c4-paha-4-218","*00s-p4-c4-paha-4-218*",NA,"*"
"12","70s","p2","c4","paha","pink","paha",5,5,298,"","70s-p2-c4-paha-5-298","70s-p2-c4-paha-5-298","*70s-p2-c4-paha-5-298*",NA,"*"
"13","00s","p3","c3","patr","blue","patr3",5,5,278,"","00s-p3-c3-patr-5-278","00s-p3-c3-patr-5-278","*00s-p3-c3-patr-5-278*",NA,"*"
"14","70s","p4","c4","pavi","white","pavi2",3,3,185,"","70s-p4-c4-pavi-3-185","70s-p4-c4-pavi-3-185","*70s-p4-c4-pavi-3-185*",NA,"*"
"15","70s","p1","c4","pavi","white","pavi2",5,5,289,"","70s-p1-c4-pavi-5-289","70s-p1-c4-pavi-5-289","*70s-p1-c4-pavi-5-289*",NA,"*"
"16","70s","p2","c4","pavi","white","pavi2",5,5,297,"","70s-p2-c4-pavi-5-297","70s-p2-c4-pavi-5-297","*70s-p2-c4-pavi-5-297*",NA,"*"
