"","shade_00s_70s","phosphorous_p1.p4","c3_c4","species_code","color","usda_code","block","rep","individual","note","id_v0","id_v0_noncat","id_barcode_v0","X","X.1"
"1","00s","p1","c3","disp","purple","disp2",1,1,7,"used to be diac, updated to disp based on growing","00s-p1-c3-diac-1-7","00s-p1-c3-diac-1-7","*00s-p1-c3-diac-1-7*",NA,"*"
"2","00s","p1","c3","disp","purple","disp2",5,5,263,"used to be diac, updated to disp based on growing","00s-p1-c3-diac-5-263","00s-p1-c3-diac-5-263","*00s-p1-c3-diac-5-263*",NA,"*"
"3","00s","p3","c3","disp","purple","disp2",5,5,279,"used to be diac, updated to disp based on growing","00s-p3-c3-diac-5-279","00s-p3-c3-diac-5-279","*00s-p3-c3-diac-5-279*",NA,"*"
"4","00s","p2","c3","disp","purple","disp2",6,6,335,"used to be diac, updated to disp based on growing","00s-p2-c3-diac-6-335","00s-p2-c3-diac-6-335","*00s-p2-c3-diac-6-335*",NA,"*"
"5","70s","p1","c3","disp","purple","disp2",6,6,359,"used to be diac, updated to disp based on growing","70s-p1-c3-diac-6-359","70s-p1-c3-diac-6-359","*70s-p1-c3-diac-6-359*",NA,"*"
"6","70s","p3","c3","disp","purple","disp2",6,6,375,"used to be diac, updated to disp based on growing","70s-p3-c3-diac-6-375","70s-p3-c3-diac-6-375","*70s-p3-c3-diac-6-375*",NA,"*"
"7","00s","p2","c3","dicl","yellow","dicl",5,5,269,"","00s-p2-c3-dicl-5-269","00s-p2-c3-dicl-5-269","*00s-p2-c3-dicl-5-269*",NA,"*"
"8","00s","p3","c3","dicl","yellow","dicl",5,5,277,"","00s-p3-c3-dicl-5-277","00s-p3-c3-dicl-5-277","*00s-p3-c3-dicl-5-277*",NA,"*"
"9","00s","p1","c3","diol","red","diol",1,1,8,"","00s-p1-c3-diol-1-8","00s-p1-c3-diol-1-8","*00s-p1-c3-diol-1-8*",NA,"*"
"10","00s","p2","c3","diol","red","diol",3,3,144,"","00s-p2-c3-diol-3-144","00s-p2-c3-diol-3-144","*00s-p2-c3-diol-3-144*",NA,"*"
"11","00s","p3","c4","paan","orange","paan4",3,3,147,"","00s-p3-c4-paan-3-147","00s-p3-c4-paan-3-147","*00s-p3-c4-paan-3-147*",NA,"*"
"12","00s","p1","c4","paco","green","paco2",1,1,4,"","00s-p1-c4-paco-1-4","00s-p1-c4-paco-1-4","*00s-p1-c4-paco-1-4*",NA,"*"
"13","00s","p2","c4","paco","green","paco2",5,5,268,"","00s-p2-c4-paco-5-268","00s-p2-c4-paco-5-268","*00s-p2-c4-paco-5-268*",NA,"*"
"14","70s","p4","c4","paco","green","paco2",6,6,380,"","70s-p4-c4-paco-6-380","70s-p4-c4-paco-6-380","*70s-p4-c4-paco-6-380*",NA,"*"
"15","00s","p4","c4","paha","pink","paha",3,3,154,"","00s-p4-c4-paha-3-154","00s-p4-c4-paha-3-154","*00s-p4-c4-paha-3-154*",NA,"*"
"16","00s","p1","c4","paha","pink","paha",5,5,258,"","00s-p1-c4-paha-5-258","00s-p1-c4-paha-5-258","*00s-p1-c4-paha-5-258*",NA,"*"
"17","70s","p2","c4","paha","pink","paha",5,5,298,"","70s-p2-c4-paha-5-298","70s-p2-c4-paha-5-298","*70s-p2-c4-paha-5-298*",NA,"*"
"18","70s","p3","c4","paha","pink","paha",5,5,306,"","70s-p3-c4-paha-5-306","70s-p3-c4-paha-5-306","*70s-p3-c4-paha-5-306*",NA,"*"
"19","70s","p4","c4","paha","pink","paha",5,5,314,"","70s-p4-c4-paha-5-314","70s-p4-c4-paha-5-314","*70s-p4-c4-paha-5-314*",NA,"*"
"20","00s","p4","c3","patr","blue","patr3",6,6,350,"","00s-p4-c3-patr-6-350","00s-p4-c3-patr-6-350","*00s-p4-c3-patr-6-350*",NA,"*"
"21","00s","p2","c4","pavi","white","pavi2",1,1,9,"","00s-p2-c4-pavi-1-9","00s-p2-c4-pavi-1-9","*00s-p2-c4-pavi-1-9*",NA,"*"
"22","70s","p4","c4","pavi","white","pavi2",3,3,185,"","70s-p4-c4-pavi-3-185","70s-p4-c4-pavi-3-185","*70s-p4-c4-pavi-3-185*",NA,"*"
"23","00s","p4","c4","pavi","white","pavi2",5,5,281,"","00s-p4-c4-pavi-5-281","00s-p4-c4-pavi-5-281","*00s-p4-c4-pavi-5-281*",NA,"*"
"24","70s","p2","c4","pavi","white","pavi2",5,5,297,"","70s-p2-c4-pavi-5-297","70s-p2-c4-pavi-5-297","*70s-p2-c4-pavi-5-297*",NA,"*"
