"","shade_00s_70s","phosphorous_p1.p4","c3_c4","species_code","color","usda_code","block","rep","individual","note","id_v0","id_v0_noncat","id_barcode_v0","X","X.1"
"1","70s","p3","c3","disp","purple","disp2",1,1,55,"used to be diac, updated to disp based on growing","70s-p3-c3-diac-1-55","70s-p3-c3-diac-1-55","*70s-p3-c3-diac-1-55*",NA,"*"
"2","70s","p4","c3","disp","purple","disp2",1,1,63,"used to be diac, updated to disp based on growing","70s-p4-c3-diac-1-63","70s-p4-c3-diac-1-63","*70s-p4-c3-diac-1-63*",NA,"*"
"3","00s","p3","c3","disp","purple","disp2",3,3,151,"used to be diac, updated to disp based on growing","00s-p3-c3-diac-3-151","00s-p3-c3-diac-3-151","*00s-p3-c3-diac-3-151*",NA,"*"
"4","70s","p3","c3","disp","purple","disp2",3,3,183,"used to be diac, updated to disp based on growing","70s-p3-c3-diac-3-183","70s-p3-c3-diac-3-183","*70s-p3-c3-diac-3-183*",NA,"*"
"5","70s","p4","c3","disp","purple","disp2",5,5,319,"used to be diac, updated to disp based on growing","70s-p4-c3-diac-5-319","70s-p4-c3-diac-5-319","*70s-p4-c3-diac-5-319*",NA,"*"
"6","70s","p3","c3","disp","purple","disp2",6,6,375,"used to be diac, updated to disp based on growing","70s-p3-c3-diac-6-375","70s-p3-c3-diac-6-375","*70s-p3-c3-diac-6-375*",NA,"*"
"7","00s","p1","c3","dicl","yellow","dicl",1,1,5,"","00s-p1-c3-dicl-1-5","00s-p1-c3-dicl-1-5","*00s-p1-c3-dicl-1-5*",NA,"*"
"8","00s","p3","c3","dicl","yellow","dicl",3,3,149,"","00s-p3-c3-dicl-3-149","00s-p3-c3-dicl-3-149","*00s-p3-c3-dicl-3-149*",NA,"*"
"9","00s","p3","c3","dicl","yellow","dicl",4,4,213,"","00s-p3-c3-dicl-4-213","00s-p3-c3-dicl-4-213","*00s-p3-c3-dicl-4-213*",NA,"*"
"10","70s","p3","c3","dicl","yellow","dicl",6,6,373,"","70s-p3-c3-dicl-6-373","70s-p3-c3-dicl-6-373","*70s-p3-c3-dicl-6-373*",NA,"*"
"11","70s","p1","c3","diol","red","diol",5,5,296,"","70s-p1-c3-diol-5-296","70s-p1-c3-diol-5-296","*70s-p1-c3-diol-5-296*",NA,"*"
"12","00s","p1","c3","diol","red","diol",6,6,328,"","00s-p1-c3-diol-6-328","00s-p1-c3-diol-6-328","*00s-p1-c3-diol-6-328*",NA,"*"
"13","00s","p2","c4","paan","orange","paan4",6,6,331,"","00s-p2-c4-paan-6-331","00s-p2-c4-paan-6-331","*00s-p2-c4-paan-6-331*",NA,"*"
"14","00s","p3","c4","paco","green","paco2",3,3,148,"","00s-p3-c4-paco-3-148","00s-p3-c4-paco-3-148","*00s-p3-c4-paco-3-148*",NA,"*"
"15","70s","p2","c4","paha","pink","paha",1,1,42,"","70s-p2-c4-paha-1-42","70s-p2-c4-paha-1-42","*70s-p2-c4-paha-1-42*",NA,"*"
"16","70s","p3","c4","paha","pink","paha",4,4,242,"","70s-p3-c4-paha-4-242","70s-p3-c4-paha-4-242","*70s-p3-c4-paha-4-242*",NA,"*"
"17","70s","p2","c4","pavi","white","pavi2",4,4,233,"","70s-p2-c4-pavi-4-233","70s-p2-c4-pavi-4-233","*70s-p2-c4-pavi-4-233*",NA,"*"
"18","70s","p2","c4","pavi","white","pavi2",5,5,297,"","70s-p2-c4-pavi-5-297","70s-p2-c4-pavi-5-297","*70s-p2-c4-pavi-5-297*",NA,"*"
