"","shade_00s_70s","phosphorous_p1.p4","c3_c4","species_code","color","usda_code","block","rep","individual","note","id_v0","id_v0_noncat","id_barcode_v0","X","X.1"
"1","70s","p3","c3","disp","purple","disp2",1,1,55,"used to be diac, updated to disp based on growing","70s-p3-c3-diac-1-55","70s-p3-c3-diac-1-55","*70s-p3-c3-diac-1-55*",NA,"*"
"2","70s","p1","c3","disp","purple","disp2",2,2,103,"used to be diac, updated to disp based on growing","70s-p1-c3-diac-2-103","70s-p1-c3-diac-2-103","*70s-p1-c3-diac-2-103*",NA,"*"
"3","00s","p1","c3","disp","purple","disp2",4,4,199,"used to be diac, updated to disp based on growing","00s-p1-c3-diac-4-199","00s-p1-c3-diac-4-199","*00s-p1-c3-diac-4-199*",NA,"*"
"4","70s","p2","c3","disp","purple","disp2",4,4,239,"used to be diac, updated to disp based on growing","70s-p2-c3-diac-4-239","70s-p2-c3-diac-4-239","*70s-p2-c3-diac-4-239*",NA,"*"
"5","00s","p4","c3","disp","purple","disp2",5,5,287,"used to be diac, updated to disp based on growing","00s-p4-c3-diac-5-287","00s-p4-c3-diac-5-287","*00s-p4-c3-diac-5-287*",NA,"*"
"6","70s","p4","c3","disp","purple","disp2",5,5,319,"used to be diac, updated to disp based on growing","70s-p4-c3-diac-5-319","70s-p4-c3-diac-5-319","*70s-p4-c3-diac-5-319*",NA,"*"
"7","00s","p3","c3","disp","purple","disp2",6,6,343,"used to be diac, updated to disp based on growing","00s-p3-c3-diac-6-343","00s-p3-c3-diac-6-343","*00s-p3-c3-diac-6-343*",NA,"*"
"8","00s","p4","c3","disp","purple","disp2",6,6,351,"used to be diac, updated to disp based on growing","00s-p4-c3-diac-6-351","00s-p4-c3-diac-6-351","*00s-p4-c3-diac-6-351*",NA,"*"
"9","70s","p3","c3","disp","purple","disp2",6,6,375,"used to be diac, updated to disp based on growing","70s-p3-c3-diac-6-375","70s-p3-c3-diac-6-375","*70s-p3-c3-diac-6-375*",NA,"*"
"10","00s","p3","c3","dicl","yellow","dicl",1,1,21,"","00s-p3-c3-dicl-1-21","00s-p3-c3-dicl-1-21","*00s-p3-c3-dicl-1-21*",NA,"*"
"11","70s","p2","c3","dicl","yellow","dicl",1,1,45,"","70s-p2-c3-dicl-1-45","70s-p2-c3-dicl-1-45","*70s-p2-c3-dicl-1-45*",NA,"*"
"12","70s","p2","c3","dicl","yellow","dicl",2,2,109,"","70s-p2-c3-dicl-2-109","70s-p2-c3-dicl-2-109","*70s-p2-c3-dicl-2-109*",NA,"*"
"13","00s","p2","c3","dicl","yellow","dicl",4,4,205,"","00s-p2-c3-dicl-4-205","00s-p2-c3-dicl-4-205","*00s-p2-c3-dicl-4-205*",NA,"*"
"14","70s","p3","c3","dicl","yellow","dicl",4,4,245,"","70s-p3-c3-dicl-4-245","70s-p3-c3-dicl-4-245","*70s-p3-c3-dicl-4-245*",NA,"*"
"15","00s","p1","c3","dicl","yellow","dicl",5,5,261,"","00s-p1-c3-dicl-5-261","00s-p1-c3-dicl-5-261","*00s-p1-c3-dicl-5-261*",NA,"*"
"16","70s","p3","c3","dicl","yellow","dicl",5,5,309,"","70s-p3-c3-dicl-5-309","70s-p3-c3-dicl-5-309","*70s-p3-c3-dicl-5-309*",NA,"*"
"17","00s","p1","c3","dicl","yellow","dicl",6,6,325,"","00s-p1-c3-dicl-6-325","00s-p1-c3-dicl-6-325","*00s-p1-c3-dicl-6-325*",NA,"*"
"18","70s","p2","c3","diol","red","diol",2,2,112,"","70s-p2-c3-diol-2-112","70s-p2-c3-diol-2-112","*70s-p2-c3-diol-2-112*",NA,"*"
"19","70s","p3","c3","diol","red","diol",2,2,120,"","70s-p3-c3-diol-2-120","70s-p3-c3-diol-2-120","*70s-p3-c3-diol-2-120*",NA,"*"
"20","00s","p3","c3","diol","red","diol",4,4,216,"","00s-p3-c3-diol-4-216","00s-p3-c3-diol-4-216","*00s-p3-c3-diol-4-216*",NA,"*"
"21","70s","p2","c3","diol","red","diol",4,4,240,"","70s-p2-c3-diol-4-240","70s-p2-c3-diol-4-240","*70s-p2-c3-diol-4-240*",NA,"*"
"22","70s","p3","c3","diol","red","diol",4,4,248,"","70s-p3-c3-diol-4-248","70s-p3-c3-diol-4-248","*70s-p3-c3-diol-4-248*",NA,"*"
"23","70s","p4","c3","diol","red","diol",4,4,256,"","70s-p4-c3-diol-4-256","70s-p4-c3-diol-4-256","*70s-p4-c3-diol-4-256*",NA,"*"
"24","00s","p3","c3","diol","red","diol",5,5,280,"","00s-p3-c3-diol-5-280","00s-p3-c3-diol-5-280","*00s-p3-c3-diol-5-280*",NA,"*"
"25","70s","p3","c3","diol","red","diol",5,5,312,"","70s-p3-c3-diol-5-312","70s-p3-c3-diol-5-312","*70s-p3-c3-diol-5-312*",NA,"*"
"26","00s","p4","c4","paan","orange","paan4",1,1,27,"","00s-p4-c4-paan-1-27","00s-p4-c4-paan-1-27","*00s-p4-c4-paan-1-27*",NA,"*"
"27","70s","p1","c4","paan","orange","paan4",1,1,35,"","70s-p1-c4-paan-1-35","70s-p1-c4-paan-1-35","*70s-p1-c4-paan-1-35*",NA,"*"
"28","70s","p3","c4","paan","orange","paan4",1,1,51,"","70s-p3-c4-paan-1-51","70s-p3-c4-paan-1-51","*70s-p3-c4-paan-1-51*",NA,"*"
"29","70s","p3","c4","paan","orange","paan4",3,3,179,"","70s-p3-c4-paan-3-179","70s-p3-c4-paan-3-179","*70s-p3-c4-paan-3-179*",NA,"*"
"30","00s","p1","c4","paan","orange","paan4",4,4,195,"","00s-p1-c4-paan-4-195","00s-p1-c4-paan-4-195","*00s-p1-c4-paan-4-195*",NA,"*"
"31","00s","p4","c4","paan","orange","paan4",4,4,219,"","00s-p4-c4-paan-4-219","00s-p4-c4-paan-4-219","*00s-p4-c4-paan-4-219*",NA,"*"
"32","70s","p3","c4","paan","orange","paan4",4,4,243,"","70s-p3-c4-paan-4-243","70s-p3-c4-paan-4-243","*70s-p3-c4-paan-4-243*",NA,"*"
"33","00s","p1","c4","paan","orange","paan4",5,5,259,"","00s-p1-c4-paan-5-259","00s-p1-c4-paan-5-259","*00s-p1-c4-paan-5-259*",NA,"*"
"34","00s","p2","c4","paan","orange","paan4",5,5,267,"","00s-p2-c4-paan-5-267","00s-p2-c4-paan-5-267","*00s-p2-c4-paan-5-267*",NA,"*"
"35","00s","p3","c4","paan","orange","paan4",5,5,275,"","00s-p3-c4-paan-5-275","00s-p3-c4-paan-5-275","*00s-p3-c4-paan-5-275*",NA,"*"
"36","70s","p1","c4","paan","orange","paan4",5,5,291,"","70s-p1-c4-paan-5-291","70s-p1-c4-paan-5-291","*70s-p1-c4-paan-5-291*",NA,"*"
"37","70s","p3","c4","paan","orange","paan4",6,6,371,"","70s-p3-c4-paan-6-371","70s-p3-c4-paan-6-371","*70s-p3-c4-paan-6-371*",NA,"*"
"38","00s","p2","c4","paco","green","paco2",1,1,12,"","00s-p2-c4-paco-1-12","00s-p2-c4-paco-1-12","*00s-p2-c4-paco-1-12*",NA,"*"
"39","00s","p4","c4","paco","green","paco2",1,1,28,"","00s-p4-c4-paco-1-28","00s-p4-c4-paco-1-28","*00s-p4-c4-paco-1-28*",NA,"*"
"40","70s","p1","c4","paco","green","paco2",1,1,36,"","70s-p1-c4-paco-1-36","70s-p1-c4-paco-1-36","*70s-p1-c4-paco-1-36*",NA,"*"
"41","70s","p4","c4","paco","green","paco2",1,1,60,"","70s-p4-c4-paco-1-60","70s-p4-c4-paco-1-60","*70s-p4-c4-paco-1-60*",NA,"*"
"42","70s","p3","c4","paco","green","paco2",2,2,116,"","70s-p3-c4-paco-2-116","70s-p3-c4-paco-2-116","*70s-p3-c4-paco-2-116*",NA,"*"
"43","70s","p4","c4","paco","green","paco2",3,3,188,"","70s-p4-c4-paco-3-188","70s-p4-c4-paco-3-188","*70s-p4-c4-paco-3-188*",NA,"*"
"44","70s","p2","c4","paco","green","paco2",4,4,236,"","70s-p2-c4-paco-4-236","70s-p2-c4-paco-4-236","*70s-p2-c4-paco-4-236*",NA,"*"
"45","00s","p1","c4","paco","green","paco2",5,5,260,"","00s-p1-c4-paco-5-260","00s-p1-c4-paco-5-260","*00s-p1-c4-paco-5-260*",NA,"*"
"46","00s","p4","c4","paco","green","paco2",5,5,284,"","00s-p4-c4-paco-5-284","00s-p4-c4-paco-5-284","*00s-p4-c4-paco-5-284*",NA,"*"
"47","70s","p3","c4","paco","green","paco2",5,5,308,"","70s-p3-c4-paco-5-308","70s-p3-c4-paco-5-308","*70s-p3-c4-paco-5-308*",NA,"*"
"48","00s","p3","c4","paco","green","paco2",6,6,340,"","00s-p3-c4-paco-6-340","00s-p3-c4-paco-6-340","*00s-p3-c4-paco-6-340*",NA,"*"
