"","shade_00s_70s","phosphorous_p1.p4","c3_c4","species_code","usda_code","block","rep","individual","id_v0","id_v0_noncat","id_barcode_v0","X","X.1"
"1","00s","p1","c3","dicl","dicl",1,1,5,"00s-p1-c3-dicl-1-5","00s-p1-c3-dicl-1-5","*00s-p1-c3-dicl-1-5*",NA,"*"
"2","70s","p2","c4","paha","paha",1,1,42,"70s-p2-c4-paha-1-42","70s-p2-c4-paha-1-42","*70s-p2-c4-paha-1-42*",NA,"*"
"3","70s","p3","c3","diac","diac2",1,1,55,"70s-p3-c3-diac-1-55","70s-p3-c3-diac-1-55","*70s-p3-c3-diac-1-55*",NA,"*"
"4","70s","p4","c3","diac","diac2",1,1,63,"70s-p4-c3-diac-1-63","70s-p4-c3-diac-1-63","*70s-p4-c3-diac-1-63*",NA,"*"
"5","00s","p3","c4","paco","paco2",3,3,148,"00s-p3-c4-paco-3-148","00s-p3-c4-paco-3-148","*00s-p3-c4-paco-3-148*",NA,"*"
"6","00s","p3","c3","dicl","dicl",3,3,149,"00s-p3-c3-dicl-3-149","00s-p3-c3-dicl-3-149","*00s-p3-c3-dicl-3-149*",NA,"*"
"7","00s","p3","c3","diac","diac2",3,3,151,"00s-p3-c3-diac-3-151","00s-p3-c3-diac-3-151","*00s-p3-c3-diac-3-151*",NA,"*"
"8","70s","p3","c3","diac","diac2",3,3,183,"70s-p3-c3-diac-3-183","70s-p3-c3-diac-3-183","*70s-p3-c3-diac-3-183*",NA,"*"
"9","00s","p3","c3","dicl","dicl",4,4,213,"00s-p3-c3-dicl-4-213","00s-p3-c3-dicl-4-213","*00s-p3-c3-dicl-4-213*",NA,"*"
"10","70s","p2","c4","pavi","pavi2",4,4,233,"70s-p2-c4-pavi-4-233","70s-p2-c4-pavi-4-233","*70s-p2-c4-pavi-4-233*",NA,"*"
"11","70s","p3","c4","paha","paha",4,4,242,"70s-p3-c4-paha-4-242","70s-p3-c4-paha-4-242","*70s-p3-c4-paha-4-242*",NA,"*"
"12","70s","p1","c3","diol","diol",5,5,296,"70s-p1-c3-diol-5-296","70s-p1-c3-diol-5-296","*70s-p1-c3-diol-5-296*",NA,"*"
"13","70s","p2","c4","pavi","pavi2",5,5,297,"70s-p2-c4-pavi-5-297","70s-p2-c4-pavi-5-297","*70s-p2-c4-pavi-5-297*",NA,"*"
"14","70s","p4","c3","diac","diac2",5,5,319,"70s-p4-c3-diac-5-319","70s-p4-c3-diac-5-319","*70s-p4-c3-diac-5-319*",NA,"*"
"15","00s","p1","c3","diol","diol",6,6,328,"00s-p1-c3-diol-6-328","00s-p1-c3-diol-6-328","*00s-p1-c3-diol-6-328*",NA,"*"
"16","00s","p2","c4","paan","paan4",6,6,331,"00s-p2-c4-paan-6-331","00s-p2-c4-paan-6-331","*00s-p2-c4-paan-6-331*",NA,"*"
"17","70s","p3","c3","dicl","dicl",6,6,373,"70s-p3-c3-dicl-6-373","70s-p3-c3-dicl-6-373","*70s-p3-c3-dicl-6-373*",NA,"*"
"18","70s","p3","c3","diac","diac2",6,6,375,"70s-p3-c3-diac-6-375","70s-p3-c3-diac-6-375","*70s-p3-c3-diac-6-375*",NA,"*"
