shade_00s_70s,phosphorous_p1-p4,c3_c4,species_code,usda_code,block,rep,individual,id_v0,id_v0_noncat,id_barcode_v0,,
00s,p1,c4,pavi,pavi2,1,1,1,00s-p1-c4-pavi-1-1,00s-p1-c4-pavi-1-1,*00s-p1-c4-pavi-1-1*,,*
00s,p1,c4,paha,paha,1,1,2,00s-p1-c4-paha-1-2,00s-p1-c4-paha-1-2,*00s-p1-c4-paha-1-2*,,*
00s,p1,c4,paan,paan4,1,1,3,00s-p1-c4-paan-1-3,00s-p1-c4-paan-1-3,*00s-p1-c4-paan-1-3*,,*
00s,p1,c4,paco,paco2,1,1,4,00s-p1-c4-paco-1-4,00s-p1-c4-paco-1-4,*00s-p1-c4-paco-1-4*,,*
00s,p1,c3,dicl,dicl,1,1,5,00s-p1-c3-dicl-1-5,00s-p1-c3-dicl-1-5,*00s-p1-c3-dicl-1-5*,,*
00s,p1,c3,patr,patr3,1,1,6,00s-p1-c3-patr-1-6,00s-p1-c3-patr-1-6,*00s-p1-c3-patr-1-6*,,*
00s,p1,c3,diac,diac2,1,1,7,00s-p1-c3-diac-1-7,00s-p1-c3-diac-1-7,*00s-p1-c3-diac-1-7*,,*
00s,p1,c3,diol,diol,1,1,8,00s-p1-c3-diol-1-8,00s-p1-c3-diol-1-8,*00s-p1-c3-diol-1-8*,,*
00s,p2,c4,pavi,pavi2,1,1,9,00s-p2-c4-pavi-1-9,00s-p2-c4-pavi-1-9,*00s-p2-c4-pavi-1-9*,,*
00s,p2,c4,paha,paha,1,1,10,00s-p2-c4-paha-1-10,00s-p2-c4-paha-1-10,*00s-p2-c4-paha-1-10*,,*
00s,p2,c4,paan,paan4,1,1,11,00s-p2-c4-paan-1-11,00s-p2-c4-paan-1-11,*00s-p2-c4-paan-1-11*,,*
00s,p2,c4,paco,paco2,1,1,12,00s-p2-c4-paco-1-12,00s-p2-c4-paco-1-12,*00s-p2-c4-paco-1-12*,,*
00s,p2,c3,dicl,dicl,1,1,13,00s-p2-c3-dicl-1-13,00s-p2-c3-dicl-1-13,*00s-p2-c3-dicl-1-13*,,*
00s,p2,c3,patr,patr3,1,1,14,00s-p2-c3-patr-1-14,00s-p2-c3-patr-1-14,*00s-p2-c3-patr-1-14*,,*
00s,p2,c3,diac,diac2,1,1,15,00s-p2-c3-diac-1-15,00s-p2-c3-diac-1-15,*00s-p2-c3-diac-1-15*,,*
00s,p2,c3,diol,diol,1,1,16,00s-p2-c3-diol-1-16,00s-p2-c3-diol-1-16,*00s-p2-c3-diol-1-16*,,*
00s,p3,c4,pavi,pavi2,1,1,17,00s-p3-c4-pavi-1-17,00s-p3-c4-pavi-1-17,*00s-p3-c4-pavi-1-17*,,*
00s,p3,c4,paha,paha,1,1,18,00s-p3-c4-paha-1-18,00s-p3-c4-paha-1-18,*00s-p3-c4-paha-1-18*,,*
00s,p3,c4,paan,paan4,1,1,19,00s-p3-c4-paan-1-19,00s-p3-c4-paan-1-19,*00s-p3-c4-paan-1-19*,,*
00s,p3,c4,paco,paco2,1,1,20,00s-p3-c4-paco-1-20,00s-p3-c4-paco-1-20,*00s-p3-c4-paco-1-20*,,*
00s,p3,c3,dicl,dicl,1,1,21,00s-p3-c3-dicl-1-21,00s-p3-c3-dicl-1-21,*00s-p3-c3-dicl-1-21*,,*
00s,p3,c3,patr,patr3,1,1,22,00s-p3-c3-patr-1-22,00s-p3-c3-patr-1-22,*00s-p3-c3-patr-1-22*,,*
00s,p3,c3,diac,diac2,1,1,23,00s-p3-c3-diac-1-23,00s-p3-c3-diac-1-23,*00s-p3-c3-diac-1-23*,,*
00s,p3,c3,diol,diol,1,1,24,00s-p3-c3-diol-1-24,00s-p3-c3-diol-1-24,*00s-p3-c3-diol-1-24*,,*
00s,p4,c4,pavi,pavi2,1,1,25,00s-p4-c4-pavi-1-25,00s-p4-c4-pavi-1-25,*00s-p4-c4-pavi-1-25*,,*
00s,p4,c4,paha,paha,1,1,26,00s-p4-c4-paha-1-26,00s-p4-c4-paha-1-26,*00s-p4-c4-paha-1-26*,,*
00s,p4,c4,paan,paan4,1,1,27,00s-p4-c4-paan-1-27,00s-p4-c4-paan-1-27,*00s-p4-c4-paan-1-27*,,*
00s,p4,c4,paco,paco2,1,1,28,00s-p4-c4-paco-1-28,00s-p4-c4-paco-1-28,*00s-p4-c4-paco-1-28*,,*
00s,p4,c3,dicl,dicl,1,1,29,00s-p4-c3-dicl-1-29,00s-p4-c3-dicl-1-29,*00s-p4-c3-dicl-1-29*,,*
00s,p4,c3,patr,patr3,1,1,30,00s-p4-c3-patr-1-30,00s-p4-c3-patr-1-30,*00s-p4-c3-patr-1-30*,,*
00s,p4,c3,diac,diac2,1,1,31,00s-p4-c3-diac-1-31,00s-p4-c3-diac-1-31,*00s-p4-c3-diac-1-31*,,*
00s,p4,c3,diol,diol,1,1,32,00s-p4-c3-diol-1-32,00s-p4-c3-diol-1-32,*00s-p4-c3-diol-1-32*,,*
70s,p1,c4,pavi,pavi2,1,1,33,70s-p1-c4-pavi-1-33,70s-p1-c4-pavi-1-33,*70s-p1-c4-pavi-1-33*,,*
70s,p1,c4,paha,paha,1,1,34,70s-p1-c4-paha-1-34,70s-p1-c4-paha-1-34,*70s-p1-c4-paha-1-34*,,*
70s,p1,c4,paan,paan4,1,1,35,70s-p1-c4-paan-1-35,70s-p1-c4-paan-1-35,*70s-p1-c4-paan-1-35*,,*
70s,p1,c4,paco,paco2,1,1,36,70s-p1-c4-paco-1-36,70s-p1-c4-paco-1-36,*70s-p1-c4-paco-1-36*,,*
70s,p1,c3,dicl,dicl,1,1,37,70s-p1-c3-dicl-1-37,70s-p1-c3-dicl-1-37,*70s-p1-c3-dicl-1-37*,,*
70s,p1,c3,patr,patr3,1,1,38,70s-p1-c3-patr-1-38,70s-p1-c3-patr-1-38,*70s-p1-c3-patr-1-38*,,*
