type,individual,biomass_roots,note_roots
roots,1,6.0507,
roots,2,1.2949,
roots,3,3.4748,
roots,4,3.45,
roots,5,5.9836,
roots,6,1.8189,
roots,7,2.5173,
roots,8,3.97,
roots,9,4.5815,
roots,10,2.3818,
roots,11,9.41,
roots,12,10.43,
roots,13,6.6366,
roots,14,3.983,
roots,15,4.2481,
roots,16,5.2859,
roots,17,6.1093,
roots,18,1.31,
roots,19,11.66,
roots,20,6.1055,
roots,21,6.944,
roots,22,5.7,
roots,23,3.4895,
roots,25,11.14,
roots,26,2.2529,
roots,27,7.9113,
roots,28,2.55,
roots,29,8.9518,
roots,30,3.4083,
roots,31,3.1719,
roots,32,4.3662,
roots,33,0.45,
roots,34,0.2462,
roots,35,2.214,
roots,36,0.1651,
roots,37,1.4423,
roots,39,0.0383,
roots,40,0.2375,
roots,41,0.2181,
roots,42,0.0264,
roots,43,2.5953,
roots,44,0.2254,
roots,45,1.52,
roots,46,0.9359,
roots,47,0.433,
roots,48,0.3594,
roots,49,0.1864,
roots,50,0.3363,
roots,51,2.53,
roots,52,0.0839,
roots,53,1.5102,
roots,54,0.9252,
roots,55,0.0152,
roots,56,0.3617,
roots,57,0.3012,
roots,58,0.0345,
roots,59,1.8754,
roots,60,0.0309,
roots,61,1.8836,
roots,62,0.4367,
roots,63,0.0252,
roots,64,0.2135,
roots,65,7.96,
roots,66,0.8017,
roots,67,4.2,
roots,68,4.974,
roots,69,5.3242,
roots,70,2.69,
roots,71,4.1299,
roots,72,3.4021,
roots,73,13.717,
roots,74,2.3366,
roots,75,9.48,
roots,76,5.3583,
roots,77,6.3939,
roots,78,3.0128,
roots,79,1.5838,
roots,80,4.7425,
roots,81,6.0322,
roots,82,3.47,
roots,83,6.5015,
roots,84,6.6017,
roots,85,6.8447,
roots,86,3.7862,
roots,87,0.6753,
roots,88,3.54,
roots,89,8.2048,
roots,90,1.7301,
roots,91,7.8874,
roots,92,10.13,
roots,93,5.2277,
roots,94,4.2157,
roots,95,3.0045,
roots,96,3.5161,
roots,97,0.6926,
roots,98,0.0437,
roots,99,2.4429,
roots,100,0.1452,
roots,101,3.1283,
roots,102,0.6774,
roots,103,0.0255,
roots,104,0.3236,
roots,105,0.1766,
roots,106,0.0651,
roots,107,2.0232,
roots,108,0.9907,
roots,109,1.86,
roots,110,1.0396,
roots,111,0.3965,
roots,112,0.41,
roots,113,0.583,
roots,114,0.0843,
roots,115,7.794,
roots,116,0.1604,
roots,117,1.1785,
roots,118,1.4172,
roots,119,0.1488,
roots,120,0.13,
roots,121,0.4212,
roots,122,0.1435,
roots,123,4.6632,
roots,124,0.3677,
roots,125,1.4272,
roots,126,0.8548,
roots,127,0.2216,
roots,128,0.3384,
roots,129,3.49,
roots,130,1.47,
roots,131,3.07,
roots,132,2.97,
roots,133,4.7899,
roots,134,1.93,
roots,135,5.46,
roots,136,2.2196,
roots,137,6.9008,
roots,138,2.2,
roots,139,8.44,
roots,140,3.1204,
roots,141,4.5524,
roots,142,6.1,
roots,143,5.51,
roots,144,2.67,
roots,145,16.2,
roots,146,0.5873,
roots,147,9.02,
roots,148,5.4296,
roots,149,12.52,
roots,150,3.98,
roots,151,3.38,"on bag ""155"" written, but internal tag says 151… might be an issue/ "
roots,152,5.99,
roots,153,3.1655,
roots,154,1.34,
roots,155,9.78,
roots,156,5.1199,
roots,157,5.1255,
roots,158,4.78,
roots,159,3.9406,
roots,160,2.63,
roots,161,0.2338,
roots,162,0.0898,
roots,163,1.385,
roots,164,0.24,
roots,165,3.21,
roots,166,0.18,
roots,167,0.2152,
roots,168,0.3693,
roots,169,0.2826,
roots,170,0.0303,
roots,171,4.0149,
roots,172,0.2737,
roots,173,1.6073,
roots,174,0.4933,
roots,175,0.0569,
roots,176,0.2355,
roots,177,0.2224,
roots,178,0.0983,
roots,179,1.27,
roots,180,0.12,
roots,181,1.0054,
roots,182,0.4017,
roots,183,0.1285,
roots,184,0.4242,
roots,185,0,0.0249 - for roots
roots,186,0.0241,
roots,187,3.3147,
roots,188,0.08,
roots,189,1.2415,
roots,190,0.2741,
roots,191,0.1627,
roots,192,0.2068,
roots,193,3.6554,
roots,194,2.17,
roots,195,4.2421,
roots,196,2.6683,
roots,197,4.2591,
roots,198,1.93,
roots,199,0.8247,
roots,200,3.12,
roots,201,6.45,
roots,202,2,
roots,203,9.1893,
roots,204,3.18,
roots,205,6.2025,
roots,206,3.0255,
roots,207,10.18,
roots,208,4.03,
roots,209,12.2828,
roots,210,1.1723,
roots,211,8.53,
roots,212,6.5273,
roots,213,8.35,
roots,214,3.6278,
roots,215,2.9313,
roots,216,4.4736,
roots,217,2.9774,
roots,218,1.9473,
roots,219,7.74,
roots,220,9.49,
roots,221,7.51,
roots,222,4.99,
roots,223,3.3591,
roots,224,1.8305,
roots,225,0.1804,
roots,226,0.025,
roots,227,1.5509,
roots,228,0.45,
roots,229,2.9625,
roots,230,0.2416,
roots,231,0.3348,
roots,232,0.1454,
roots,233,0.4622,
roots,234,0.0317,
roots,235,2.7647,
roots,236,0.0141,
roots,237,1.066,
roots,238,0.3501,
roots,239,0.1784,
roots,240,0.1991,
roots,241,0.1649,
roots,242,0.0217,
roots,243,1.3988,
roots,244,0.2003,
roots,245,1.6765,
roots,247,0.579,
roots,248,0.0407,
roots,249,0.1479,
roots,250,0.0762,
roots,251,2.4659,
roots,252,0.1625,
roots,253,0.6355,
roots,254,0.325,
roots,255,0.528,
roots,256,0.6227,
roots,257,4.69,
roots,258,0.83,
roots,259,4.59,
roots,260,5.12,
roots,261,8.93,
roots,262,1.2384,
roots,263,1.1245,
roots,265,17.23,
roots,266,1.6457,
roots,267,13.87,
roots,268,7.38,
roots,269,5.589,
roots,270,6.6,
roots,271,3.2173,
roots,272,5.01,
roots,273,0.11,
roots,274,2.96,
roots,275,8.29,
roots,276,7.26,
roots,277,6.1314,
roots,279,4.7142,
roots,280,6.26,
roots,281,19.0402,
roots,282,5.11,
roots,283,14.4844,
roots,284,8.4554,
roots,285,7.4406,
roots,286,2.9922,
roots,287,4.2519,
roots,289,0,
roots,290,0.0027,
roots,291,1.04,
roots,292,0.0177,
roots,293,0.139,
roots,294,0.3308,
roots,295,0.0345,
roots,296,0.0589,
roots,299,2.0161,
roots,300,0.0192,
roots,301,0.3659,
roots,302,0.2093,
roots,303,0.04,
roots,304,0.0729,
roots,305,0.12,
roots,306,0.0007,
roots,307,0.8133,
roots,308,0.0032,
roots,309,0.5544,
roots,310,0.1111,
roots,311,0.0031,
roots,312,0.23,
roots,313,0.0475,
roots,314,0.0011,
roots,315,0.5708,
roots,316,0.005,
roots,317,0.6,
roots,318,0.0588,
roots,319,0.03,
roots,320,0.0677,
roots,321,5.7435,
roots,322,1.5397,
roots,323,3.866,
roots,324,2.7183,
roots,325,7.54,
roots,326,1.27,
roots,327,2.3029,
roots,328,4.311,
roots,329,9.2241,
roots,330,2.452,
roots,331,14.82,
roots,332,8.7928,
roots,333,10.82,
roots,334,5.5,
roots,335,2.9923,
roots,336,5.2186,
roots,337,18.95,
roots,338,3.2392,
roots,339,7.9466,
roots,340,11.41,
roots,341,7.3087,
roots,342,3.8397,
roots,343,4.98,
roots,344,3.9546,
roots,345,12.083,
roots,346,3.98,
roots,347,12.93,
roots,348,8.96,
roots,349,9.7809,
roots,350,4.6803,
roots,351,3.103,
roots,352,5.9964,
roots,353,0.188,
roots,354,0.01,
roots,355,1.64,
roots,357,0.2609,
roots,358,0.2324,
roots,359,0.37,
roots,360,0.2119,
roots,361,0.04,
roots,363,0.87,
roots,364,0.029,
roots,365,0.99,
roots,366,0.23,
roots,367,0.0461,
roots,368,0.0303,
roots,369,0.2112,
roots,370,0.02,
roots,371,0.9591,
roots,372,0.0087,
roots,373,0.59,
roots,374,0.1739,
roots,376,0.1221,
roots,377,0.0945,
roots,378,0.07,
roots,379,1.04,
roots,380,0.0024,
roots,381,0.36,
roots,382,0.2,
roots,383,0.16,
roots,384,0.26,
roots,278.5,3.8485,
roots,297.5,0.0052,
roots,264,0,no sample
roots,288,0,no sample
roots,297,0,no sample
roots,298,0,no sample
roots,24,0,no sample
roots,38,0,no sample
roots,356,0,no sample
roots,375,0,no sample
roots,362,0,no sample
